"Node1","Sign","Node2","Weight"
"ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1",1,"E2F3",100
"ADCK5",1,"SOX9",100
"AEBP2_EED_EZH2_RBBP4_SUZ12",-1,"KDM5B",80
"AKT1",-1,"GSK3A",100
"AKT1",-1,"TAL1",100
"AKT1",1,"BRCA1",100
"AKT1",1,"CDK2",1
"AKT1",1,"CHUK",100
"AKT1",1,"CTNNB1",100
"AKT1",1,"DLX5",100
"AKT1",1,"EP300",100
"AKT1",1,"GATA1",100
"AKT1",1,"HSF1",100
"AKT1",1,"NRF1",100
"AKT1",1,"POU5F1",100
"AKT1",1,"RARG",100
"AKT1",1,"SMAD3",100
"AKT1",1,"SOX2",100
"AKT1",1,"SP7",100
"AKT1",1,"TWIST1",100
"AKT1",1,"YBX1",100
"AMER1",1,"GSK3B",100
"AMER1",1,"WT1",100
"APEX1",1,"ARNT",100
"APEX1",1,"EGR1",100
"APEX1",1,"FOS",100
"APEX1",1,"FOSL1",100
"APEX1",1,"RELB",100
"APEX1",1,"STAT3",100
"ARNT",1,"HIF1A",100
"ASB4",-1,"ID2",100
"ATF2",1,"ATF3",100
"ATRX",1,"AEBP2_EED_EZH2_RBBP4_SUZ12",80
"BCL6",-1,"ZBTB17",100
"BIRC6_UBC",1,"DTX1",2
"BIRC6_UBC",1,"HUWE1",2
"BIRC6_UBC",1,"RLIM",2
"BIRC6_UBC",1,"SMURF1",2
"BIRC6_UBC",1,"TRIM25",2
"BIRC6_UBC",1,"WWP2",2
"BRCA1",1,"NFE2L2",100
"BRCA1",1,"SOX2",100
"CALM1",1,"RIT2",100
"CAPN1_CAPNS1",1,"CDK5",100
"CASP6",1,"SATB1",100
"CAV1",1,"HMGA1",2
"CCND1",1,"CDK6",17
"CCND2",-1,"RB1",67
"CCND2",1,"CDK6",67
"CDK10",-1,"ETS2",100
"CDK2",-1,"CDX2",98
"CDK2",-1,"GATA3",98
"CDK2",-1,"HMGA1",98
"CDK2",-1,"ID2",98
"CDK2",-1,"ID3",98
"CDK2",-1,"MYOD1",98
"CDK2",-1,"NCOR2",98
"CDK2",-1,"NR1I2",98
"CDK2",-1,"PGR",98
"CDK2",-1,"RB1",1
"CDK2",-1,"SMAD2",98
"CDK2",-1,"SMAD3",98
"CDK2",-1,"SMAD4",98
"CDK2",-1,"TFCP2",98
"CDK2",-1,"TP63",98
"CDK2",-1,"TP73",98
"CDK2",-1,"ZBTB16",1
"CDK2",1,"BRCA1",1
"CDK2",1,"CEBPB",1
"CDK2",1,"EZH2",1
"CDK2",1,"FOXM1",1
"CDK2",1,"MYBL2",1
"CDK2",1,"MYC",1
"CDK2",1,"NCOA1",1
"CDK2",1,"NFYA",1
"CDK2",1,"PARP1",18
"CDK2",1,"RNF4",1
"CDK2",1,"SOX2",1
"CDK2",1,"SP1",1
"CDK5",-1,"PARP1",20
"CDK5",-1,"RB1",100
"CDK5",1,"APEX1",100
"CDK5",1,"CLOCK",100
"CDK5",1,"CTNNB1",100
"CDK5",1,"HIF1A",100
"CDK5",1,"NFAT5",100
"CDK5",1,"SRC",100
"CDK5",1,"STAT3",100
"CDK6",-1,"RB1",100
"CDK6",1,"RUNX1",100
"CDK6",1,"TFE3",100
"CDK9",1,"NCOA2",100
"CDKN2C",1,"CDK6",16
"CEBPA",1,"SPI1",100
"CEBPA",1,"USF1",100
"CEBPB",1,"E2F4",100
"CEBPB",1,"RUNX2",100
"CEBPB",1,"STAT3",100
"CEBPE",1,"CEBPG",100
"CHUK",-1,"FOXA2",100
"CHUK",-1,"FOXO3",100
"CHUK",1,"NCOA3",100
"CHUK",1,"NFKB2",100
"CHUK",1,"RELA",100
"CHUK",1,"STAT1",100
"CHUK",1,"TP73",100
"CLK4",1,"NR5A1",100
"CSNK2A1",-1,"CALM1",100
"CSNK2A1",1,"AKT1",100
"CSNK2A1",1,"APEX1",100
"CSNK2A1",1,"CEBPD",100
"CSNK2A1",1,"CTNNB1",100
"CSNK2A1",1,"FOSB",100
