"Node1","Sign","Node2","Weight"
"ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1",1,"E2F3",100
"ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1",1,"TP53",100
"AEBP2_EED_EZH2_RBBP4_SUZ12",-1,"KDM5B",100
"AKT1",-1,"GSK3B",100
"AKT1",1,"CTNNB1",100
"AKT1",1,"DLX5",100
"AKT1",1,"HSF1",100
"AKT1",1,"PRKACA",100
"AKT1",1,"RARG",100
"AKT1",1,"SMAD3",100
"AKT1",1,"SP7",100
"AKT1",1,"YBX1",100
"ATRX",1,"AEBP2_EED_EZH2_RBBP4_SUZ12",100
"CASP6",1,"SATB1",100
"CBFB",1,"RUNX1",25
"CCND3_CDK6",1,"RUNX1",18.75
"CDK10",-1,"ETS2",100
"CEBPB",1,"E2F4",100
"CEBPB",1,"RUNX2",100
"CEBPB",1,"STAT3",100
"CEBPE",1,"CEBPG",100
"CLK4",1,"NR5A1",100
"CSNK2A2",1,"CTNNB1",100
"CSNK2A2",1,"HSF1",100
"CSNK2A2",1,"NKX3_1",100
"CSNK2A2",1,"RELA",100
"CSNK2A2",1,"TP53",100
"CTNNB1",1,"HNF1A",100
"CTNNB1",1,"NR4A3",100
"CTNNB1",1,"PITX2",100
"DCAF1",-1,"LATS1",60.4166666666667
"DPF2",-1,"RUNX1",16.6666666666667
"DUSP19",1,"MAPK8",100
"DUSP23",-1,"MAPK3",16.6666666666667
"DUSP9",-1,"MAPK8",37.5
"DUSP9",1,"MAPK3",37.5
"E2F1",1,"EZH2",100
"E2F1",1,"RELA",100
"E2F1",1,"TFDP1",100
"E2F1",1,"TP53",100
"E2F3",1,"TFDP1",100
"EGR1",1,"TP53",100
"ENC1",-1,"NFE2L2",100
"FOS",1,"JUN",100
