"Node","NodeType","ZeroAct","UpAct","DownAct","AvgAct"
"AHR","M",0,0,100,-100
"APEX1","M",0,100,0,100
"ARNT","M",0,0,100,-100
"ASCL1","M",0,100,0,100
"ATF1","M",0,100,0,100
"ATF2","M",0,100,0,100
"ATF3","M",0,100,0,100
"ATF4","M",0,100,0,100
"ATF6","M",0,100,0,100
"ATOH1","",0,0,100,-100
"BCL6","M",0,0,100,-100
"BMAL1","M",0,100,0,100
"BRAF","",0,100,0,100
"BRCA1","M",0,0,100,-100
"CALM1","",0,0,100,-100
"CASP6","",0,100,0,100
"CCND3","",64,36,0,36
"CDK10","P",0,0,100,-100
"CDK6","",0,100,0,100
"CDKN2C","",36,64,0,64
"CDX2","M",0,100,0,100
"CEBPA","M",0,100,0,100
"CEBPB","M",0,100,0,100
"CEBPE","P",0,100,0,100
"CEBPG","M",0,100,0,100
"CHUK","",0,100,0,100
"CLK4","P",50,50,0,50
"CLOCK","M",0,100,0,100
"CREM","M",0,100,0,100
"CSNK2A1","",0,100,0,100
"CSNK2A1_CSNK2B","P",0,0,100,-100
"CSNK2A2","P",0,0,100,-100
"CTCF","M",0,100,0,100
"CTNNB1","M",0,100,0,100
"DBP","M",0,100,0,100
"DCAF1","P",15,54,31,23
"DDIT3","M",0,100,0,100
"DLX5","M",0,100,0,100
"DNMT1","M",0,100,0,100
"DNMT3A","M",0,100,0,100
"DNMT3B","M",0,100,0,100
"DPF2","P",0,100,0,100
"DUSP10","P",40,19,41,-22
"DUSP19","P",1,0,99,-99
"DUSP22","P",64,1,35,-34
"DUSP23","P",81,19,0,19
"DUSP26","P",70,30,0,30
"DUSP7","P",69,31,0,31
"DUSP8","P",83,0,17,-17
"DUSP9","P",54,46,0,46
"E2F1","M",0,100,0,100
"E2F2","M",0,100,0,100
"E2F3","M",0,100,0,100
"E2F4","M",0,100,0,100
"EGR1","M",0,100,0,100
"EGR2","M",0,100,0,100
"EHMT2","P",0,100,0,100
"ELF4","M",0,0,100,-100
"ELK1","M",0,100,0,100
"EP300","M",0,100,0,100
"EP400","P",0,0,100,-100
"EPAS1","M",0,100,0,100
"ESRRA","M",0,0,100,-100
"ETS1","M",0,100,0,100
"ETS2","M",0,100,0,100
"ETV4","M",0,100,0,100
"EWSR1","M",0,100,0,100
"EZH2","M",0,100,0,100
"FBXO33","P",50,0,50,-50
"FBXO45","P",0,100,0,100
"FBXW11","P",54,0,46,-46
"FHL5","P",0,100,0,100
"FLI1","M",0,100,0,100
"FOSB","M",0,100,0,100
"FOSL1","M",0,100,0,100
"FOXA2","M",0,0,100,-100
"FOXM1","M",0,100,0,100
"FOXO3","M",0,0,100,-100
"FOXP3","M",0,0,100,-100
"GABPA","M",0,100,0,100
"GATA1","M",0,100,0,100
"GATA2","M",0,100,0,100
"GATA3","M",0,100,0,100
"GATA4","M",0,100,0,100
"GATA6","M",0,100,0,100
"GLI1","M",0,100,0,100
"GLI2","M",0,100,0,100
"GLI3","M",0,0,100,-100
"GPS2_HDAC3_NCOR1_TBL1XR1_TBL1Y","P",0,100,0,100
"GSK3B","",0,0,100,-100
"GTF2I","",0,100,0,100
"HBP1","M",0,0,100,-100
"HDLBP","P",0,100,0,100
"HES1","M",0,100,0,100
"HEY1","M",0,0,100,-100
"HIF1A","M",0,100,0,100
"HIF1AN","P",0,0,100,-100
"HIPK2","",0,0,100,-100
"HMGA1","M",0,100,0,100
"HNF1A","M",0,100,0,100
"HNF1B","M",0,100,0,100
"HOXA9","M",0,0,100,-100
"HOXB8","P",0,0,100,-100
"HSF1","M",0,100,0,100
"HSPA2","P",79,21,0,21
"ID1","M",0,100,0,100
