"Node","NodeType","ZeroAct","UpAct","DownAct","AvgAct"
"ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1","P",0,100,0,100
"AMER1","P",0,100,0,100
"ATF1","M",0,100,0,100
"ATF2","M",0,100,0,100
"ATF3","M",0,100,0,100
"ATF4","M",0,100,0,100
"BIRC6_UBC","P",0,0,100,-100
"BRCA1","M",0,0,100,-100
"CASP6","",0,100,0,100
"CASP9","",0,100,0,100
"CDK1","",0,0,100,-100
"CDK10","P",0,0,100,-100
"CDK4","",0,100,0,100
"CDX2","M",0,100,0,100
"CEBPB","M",0,100,0,100
"CEBPE","P",0,100,0,100
"CEBPG","M",0,100,0,100
"CHUK","",0,0,100,-100
"CLK4","P",0,100,0,100
"CRBN_CUL4A_DDB1_RBX1","",0,0,100,-100
"CREBBP","",0,0,100,-100
"CREBBP_EP300","",0,0,100,-100
"CSNK2A1","",0,100,0,100
"CSNK2A1_CSNK2B","P",0,0,100,-100
"CSNK2A2","P",0,100,0,100
"CTNNB1","",0,100,0,100
"CUX1","M",0,100,0,100
"DLX5","M",0,100,0,100
"DNMT1","M",0,100,0,100
"DNMT3B","M",0,100,0,100
"DPF2","P",0,100,0,100
"DUSP19","P",0,0,100,-100
"DUSP7","P",0,0,100,-100
"E2F1","M",0,100,0,100
"E2F3","M",0,100,0,100
"EHMT2","P",0,100,0,100
"ELK1","M",0,100,0,100
"EPAS1","M",0,100,0,100
"ESRRA","M",0,0,100,-100
"ETS1","M",0,100,0,100
"ETS2","M",0,100,0,100
"FBXO33","P",0,0,100,-100
"FBXO45","P",0,100,0,100
"FLI1","M",0,100,0,100
"FOXO3","M",0,0,100,-100
"GATA3","M",0,100,0,100
"GLI3","M",0,0,100,-100
"GSK3B","",0,100,0,100
"HIF1A","M",0,100,0,100
"HIF1AN","P",0,0,100,-100
"HMGA1","M",0,100,0,100
"HMGA2","M",0,100,0,100
"HNF1A","M",0,100,0,100
"HUWE1","",0,0,100,-100
"IRF1","M",0,0,100,-100
"JARID2","P",0,0,100,-100
"JDP2","M",0,0,100,-100
"JUN","M",0,100,0,100
"JUNB","M",0,100,0,100
"KLF5","M",0,100,0,100
"MAP3K2","P",0,0,100,-100
"MAPK1","",0,0,100,-100
"MAPK14","",0,100,0,100
"MAPK8","",0,0,100,-100
"MAZ","M",0,100,0,100
"MECP2","M",0,0,100,-100
"MED14","P",0,100,0,100
"MEF2C","M",0,100,0,100
"MITF","M",0,100,0,100
"MYC","M",0,100,0,100
"MYCN","M",0,100,0,100
"NCOA1","M",0,100,0,100
"NCOA3","",0,100,0,100
"NFATC1","M",0,100,0,100
"NFATC4","M",0,100,0,100
"NFKB2","M",0,100,0,100
"NFYA","M",0,100,0,100
"NFYB","M",0,100,0,100
"NKX2_1","M",0,0,100,-100
"NKX2_5","M",0,100,0,100
"NKX3_1","M",0,100,0,100
"NR0B2","P",0,100,0,100
"NR1H2","M",0,100,0,100
"NR1H3","M",0,100,0,100
"NR1I2","M",0,100,0,100
"NR1I3","M",0,100,0,100
"NR3C2","M",0,100,0,100
"NR4A3","M",0,100,0,100
"NR5A1","M",0,100,0,100
"NR5A2","M",0,100,0,100
"PBX1","M",0,0,100,-100
"PDHX","P",0,0,100,-100
"PHIP","P",0,0,100,-100
"PIM2","P",33.3333333333333,66.6666666666667,0,66.6666666666667
"PIM3","P",33.3333333333333,66.6666666666667,0,66.6666666666667
"PLK1","",0,0,100,-100
"POU1F1","M",0,0,100,-100
"PPARGC1A","M",0,100,0,100
"PRDM1","M",0,0,100,-100
"PROX1","M",0,100,0,100
"PRP4K","P",0,100,0,100
"PTMS","P",0,100,0,100
"RARA","M",0,100,0,100
"RARB","M",0,100,0,100
"RARG","M",0,100,0,100
"RBPJ","M",0,100,0,100
"RELB","M",0,100,0,100
"REST","M",0,100,0,100
"RIOX1","P",0,0,100,-100
"RITA1","P",0,0,100,-100
"SATB1","M",0,100,0,100
"SIRT1","M",0,100,0,100
"SMAD1","M",0,100,0,100
"SMAD3","M",0,100,0,100
"SMARCA1","M",0,100,0,100
"SNAI2","M",0,0,100,-100
"SP1","M",0,100,0,100
"SP2","P",0,0,100,-100
"SP7","M",0,100,0,100
"SPI1","M",0,100,0,100
"SRF","M",0,100,0,100
"SRY","M",0,100,0,100
"SSRP1","M",0,100,0,100
"STAT2","M",0,100,0,100
"STK40","P",0,0,100,-100
"TBP","M",0,100,0,100
"TCF3","M",0,100,0,100
"TFAP2A","M",0,100,0,100
"TFE3","M",0,100,0,100
"TP53","",0,0,100,-100
"TSC22D3","P",0,0,100,-100
"UBC_UBE2Q1","P",0,100,0,100
"ULK3","P",0,0,100,-100
"USF2","M",0,100,0,100
"VDR","M",0,100,0,100
"WEE2","P",0,100,0,100
"WT1","M",0,100,0,100
"WWP1","",0,100,0,100
"YBX1","M",0,100,0,100
"ZBTB17","M",0,100,0,100
"ZEB1","M",0,0,100,-100
"ZNF462","P",0,100,0,100
