"Node1","Sign","Node2","Weight"
"Perturbation",-1,"APEX1",40
"Perturbation",-1,"AR",40
"Perturbation",-1,"ARNT",60
"Perturbation",-1,"ATF1",40
"Perturbation",-1,"ATF2",40
"Perturbation",-1,"ATF3",40
"Perturbation",-1,"ATF4",40
"Perturbation",-1,"BCL6",60
"Perturbation",-1,"BMAL1",40
"Perturbation",-1,"BRCA1",60
"Perturbation",-1,"CDX2",40
"Perturbation",-1,"CEBPA",40
"Perturbation",-1,"CEBPB",40
"Perturbation",-1,"CLOCK",40
"Perturbation",-1,"CREB1",40
"Perturbation",-1,"CREBBP",40
"Perturbation",-1,"CREM",40
"Perturbation",-1,"CTNNB1",40
"Perturbation",-1,"DDIT3",40
"Perturbation",-1,"DLX5",40
"Perturbation",-1,"DNMT3A",40
"Perturbation",-1,"E2F1",40
"Perturbation",-1,"E2F2",40
"Perturbation",-1,"E2F3",40
"Perturbation",-1,"E2F4",40
"Perturbation",-1,"E2F6",60
"Perturbation",-1,"EGFR",20
"Perturbation",-1,"EGR1",40
"Perturbation",-1,"EP300",40
"Perturbation",-1,"EPAS1",40
"Perturbation",-1,"ESR1",40
"Perturbation",-1,"ESR2",40
"Perturbation",-1,"ETS1",40
"Perturbation",-1,"ETS2",40
"Perturbation",-1,"EZH2",40
"Perturbation",-1,"FLI1",40
"Perturbation",-1,"FOS",40
"Perturbation",-1,"FOXA1",40
"Perturbation",-1,"FOXA2",60
"Perturbation",-1,"FOXM1",40
"Perturbation",-1,"FOXO1",60
"Perturbation",-1,"FOXO3",60
"Perturbation",-1,"GABPA",40
"Perturbation",-1,"GATA1",40
"Perturbation",-1,"GATA2",40
"Perturbation",-1,"GATA3",40
"Perturbation",-1,"GFI1",40
"Perturbation",-1,"GLI1",40
"Perturbation",-1,"GLI2",40
"Perturbation",-1,"GLI3",60
"Perturbation",-1,"HBP1",60
"Perturbation",-1,"HES1",40
"Perturbation",-1,"HIF1A",40
"Perturbation",-1,"HMGA1",40
"Perturbation",-1,"HMGA2",40
"Perturbation",-1,"HNF1A",40
"Perturbation",-1,"HNF1B",40
"Perturbation",-1,"HOXA9",60
"Perturbation",-1,"HSF1",40
"Perturbation",-1,"ID1",40
"Perturbation",-1,"ID3",40
"Perturbation",-1,"IRF1",60
"Perturbation",-1,"IRF3",40
"Perturbation",-1,"JDP2",60
"Perturbation",-1,"JUN",40
"Perturbation",-1,"JUNB",40
"Perturbation",-1,"KAT5",40
"Perturbation",-1,"KDM5B",40
"Perturbation",-1,"KLF2",60
"Perturbation",-1,"KLF4",40
"Perturbation",-1,"KMT2A",40
"Perturbation",-1,"LEF1",60
"Perturbation",-1,"LHX2",60
"Perturbation",-1,"MAF",40
"Perturbation",-1,"MAX",60
"Perturbation",-1,"MECP2",60
"Perturbation",-1,"MEF2A",40
"Perturbation",-1,"MEF2C",40
"Perturbation",-1,"MSX2",60
"Perturbation",-1,"MTA1",40
"Perturbation",-1,"MYB",40
"Perturbation",-1,"MYBL2",60
"Perturbation",-1,"MYC",40
"Perturbation",-1,"MYCN",40
"Perturbation",-1,"MYOD1",40
"Perturbation",-1,"MYOG",60
"Perturbation",-1,"NCOA1",40
