"Node","NodeType","ZeroAct","UpAct","DownAct","AvgAct"
"APEX1","M",0,100,0,100
"AR","M",0,100,0,100
"ARNT","M",0,0,100,-100
"ATF1","M",0,100,0,100
"ATF2","M",0,100,0,100
"ATF3","M",0,100,0,100
"ATF4","M",0,100,0,100
"BCL6","M",0,0,100,-100
"BMAL1","M",0,100,0,100
"BRCA1","M",0,0,100,-100
"CDX2","M",0,100,0,100
"CEBPA","M",0,100,0,100
"CEBPB","M",0,100,0,100
"CLOCK","M",0,100,0,100
"CREB1","M",0,100,0,100
"CREBBP","M",0,100,0,100
"CREM","M",0,100,0,100
"CTNNB1","M",0,100,0,100
"DDIT3","M",0,100,0,100
"DLX5","M",0,100,0,100
"DNMT3A","M",0,100,0,100
"E2F1","M",0,100,0,100
"E2F2","M",0,100,0,100
"E2F3","M",0,100,0,100
"E2F4","M",0,100,0,100
"E2F6","M",0,0,100,-100
"EGFR","",40,60,0,60
"EGR1","M",0,100,0,100
"EP300","M",0,100,0,100
"EPAS1","M",0,100,0,100
"ESR1","M",0,100,0,100
"ESR2","M",0,100,0,100
"ETS1","M",0,100,0,100
"ETS2","M",0,100,0,100
"EZH2","M",0,100,0,100
"FLI1","M",0,100,0,100
"FOS","M",0,100,0,100
"FOXA1","M",0,100,0,100
"FOXA2","M",0,0,100,-100
"FOXM1","M",0,100,0,100
"FOXO1","M",0,0,100,-100
"FOXO3","M",0,0,100,-100
"GABPA","M",0,100,0,100
"GATA1","M",0,100,0,100
"GATA2","M",0,100,0,100
"GATA3","M",0,100,0,100
"GFI1","M",0,100,0,100
"GLI1","M",0,100,0,100
"GLI2","M",0,100,0,100
"GLI3","M",0,0,100,-100
"HBP1","M",0,0,100,-100
"HES1","M",0,100,0,100
"HIF1A","M",0,100,0,100
"HMGA1","M",0,100,0,100
"HMGA2","M",0,100,0,100
"HNF1A","M",0,100,0,100
"HNF1B","M",0,100,0,100
"HOXA9","M",0,0,100,-100
"HSF1","M",0,100,0,100
"ID1","M",0,100,0,100
"ID3","M",0,100,0,100
"IRF1","M",0,0,100,-100
"IRF3","M",0,100,0,100
"JDP2","M",0,0,100,-100
"JUN","M",0,100,0,100
"JUNB","M",0,100,0,100
"KAT5","M",0,100,0,100
"KDM5B","M",0,100,0,100
"KLF2","M",0,0,100,-100
"KLF4","M",0,100,0,100
"KMT2A","M",0,100,0,100
"LEF1","M",0,0,100,-100
"LHX2","M",0,0,100,-100
"MAF","M",0,100,0,100
"MAX","M",0,0,100,-100
"MECP2","M",0,0,100,-100
"MEF2A","M",0,100,0,100
"MEF2C","M",0,100,0,100
"MSX2","M",0,0,100,-100
"MTA1","M",0,100,0,100
"MYB","M",0,100,0,100
"MYBL2","M",0,0,100,-100
"MYC","M",0,100,0,100
"MYCN","M",0,100,0,100
"MYOD1","M",0,100,0,100
"MYOG","M",0,0,100,-100
"NCOA1","M",0,100,0,100
"NCOA2","M",0,100,0,100
"NCOA3","M",0,100,0,100
"NCOR1","M",0,100,0,100
"NCOR2","M",0,100,0,100
"NEUROD1","M",0,0,100,-100
"NFAT5","M",0,100,0,100
"NFATC2","M",0,100,0,100
"NFE2L2","M",0,100,0,100
"NFKB1","M",0,100,0,100
"NFKB2","M",0,100,0,100
"NFYA","M",0,100,0,100
"NKX3_1","M",0,100,0,100
"NOTCH1","M",0,100,0,100
"NR0B2","M",0,0,100,-100
"NR1H2","M",0,100,0,100
"NR1H3","M",0,100,0,100
"NR1I2","M",0,100,0,100
"NR1I3","M",0,100,0,100
"NR2C2","M",0,100,0,100
"NR2F1","M",0,0,100,-100
"NR2F2","M",0,100,0,100
"NR3C2","M",0,100,0,100
"NR4A1","M",0,100,0,100
"NR4A2","M",0,0,100,-100
"NR4A3","M",0,100,0,100
"NR5A1","M",0,100,0,100
"NRF1","M",0,100,0,100
"NRG1","M",0,0,100,-100
"PAX3","M",0,100,0,100
"PAX5","M",0,100,0,100
"PAX6","M",0,0,100,-100
"PBX1","M",0,0,100,-100
"POU2F1","M",0,100,0,100
"POU4F1","M",0,0,100,-100
"POU4F2","M",0,0,100,-100
"POU5F1","M",0,100,0,100
"PPARA","M",0,100,0,100
"PPARD","M",0,0,100,-100
"PPARG","M",0,0,100,-100
"PPARGC1A","M",0,100,0,100
"PRDM1","M",0,0,100,-100
"PROX1","M",0,100,0,100
"Perturbation","P",0,60,40,20
