"ensembl","entrez","hgnc_symbol","P16902_146","P16902_147","P16902_148","P16902_144","P16902_145","P16902_149"
"ENSG00000000003",7105,"TSPAN6",9.69955466223707,9.70830257160587,9.998157460385,10.7174246144321,10.0144304954956,11.721402821217
"ENSG00000000005",64102,"TNMD",6.16034128042322,6.186010907159,6.16047993900056,5.84564325546448,5.14598214718274,7.09336464344323
"ENSG00000000419",8813,"DPM1",8.78339954100118,8.90919490513826,8.89296569000798,9.02327280947709,8.7750649344155,9.04595924739587
"ENSG00000000457",57147,"SCYL3",9.34326690275064,9.49215142528393,9.13532862400988,9.06757785674507,9.14299568041629,9.07561901939888
"ENSG00000000460",55732,"C1orf112",7.58817079353714,7.94651162791852,8.15243586610618,8.36301724296441,7.92591053402303,8.68657213707634
"ENSG00000000971",3075,"CFH",5.3344412562722,5.62971160557788,5.2426758087291,6.11225279239186,5.39908280147121,7.17633604835938
"ENSG00000001036",2519,"FUCA2",8.31878558396344,8.20026757039308,8.67177440372227,9.01796958571533,8.35166441534884,10.0639895833384
"ENSG00000001084",2729,"GCLC",8.60657871996245,8.67784833156328,8.78207944247593,8.83552536934532,8.67159164285877,9.36562143148929
"ENSG00000001167",4800,"NFYA",9.30243196170721,9.214359116568,9.81343315344366,9.77506204680653,9.6584331827196,9.7536512651057
"ENSG00000001460",90529,"STPG1",7.76836569039717,7.59423896180188,6.38235023120535,7.32802183081119,7.47304188353518,8.55220489792328
"ENSG00000001461",57185,"NIPAL3",8.80697211819201,8.87578558812551,7.36043382064508,8.41650445406491,9.02745391118211,8.74316368628158
"ENSG00000001497",81887,"LAS1L",8.89097541870595,8.8896365274247,8.55228367163176,9.08162456332603,8.88845660449804,8.99167177571807
"ENSG00000001561",22875,"ENPP4",9.13946528525982,9.08110158900792,8.48299253765297,8.39206598500318,8.97787672927678,7.81263346922393
"ENSG00000001617",6405,"SEMA3F",8.84617881199788,8.3541074292864,8.0347402825363,8.12155403783591,8.9476107633801,5.94713050764567
"ENSG00000001626",1080,"CFTR",4.80259831140558,4.95891832408665,4.7660846074949,4.33057497578978,4.66714835127326,4.33057497578978
"ENSG00000001629",54467,"ANKIB1",11.6881548726969,11.7995307639062,11.6326551978947,11.5663011534523,11.7421093869177,11.6256479620404
"ENSG00000001630",1595,"CYP51A1",7.17640770575393,6.53516475243763,6.91830170473145,6.89838247972714,7.14293189495132,6.41697671329194
"ENSG00000001631",889,"KRIT1",10.0246621028444,10.123908530629,10.2256119665688,9.95977415061213,9.93475116537527,10.1904865942671
"ENSG00000002016",5893,"RAD52",8.4743216125901,8.47734963347558,8.69452362345421,8.90901242107945,8.95082681945545,8.93345524101333
"ENSG00000002330",572,"BAD",8.05225889084432,7.60879611156309,8.27851112581537,8.45436588749645,8.54311018388493,8.1635382126702
"ENSG00000002549",51056,"LAP3",8.77863825715064,8.80445499341524,8.75141856655928,9.29390536859931,8.92979271367827,9.85870437921206
"ENSG00000002586",4267,"CD99",9.04950768501134,8.89749183849585,9.40304613797014,10.0370939772658,9.41727749064228,10.9029819550142
"ENSG00000002587",9957,"HS3ST1",7.22704432932557,6.72179300651678,6.25772181162451,6.99568221814795,7.30502131614998,5.86456156907527
"ENSG00000002746",23072,"HECW1",11.5545163248043,11.5832236110589,11.035514715739,10.6324712899771,11.3657506369737,8.95844157919663
"ENSG00000002822",8379,"MAD1L1",8.96825130732817,8.63617355566335,9.2205497782648,9.09930610414443,9.31124899917331,9.06908060194216
"ENSG00000002834",3927,"LASP1",11.162928690377,11.025169211933,10.75151468674,11.2022595136774,11.2853669795058,11.5625492254422
"ENSG00000002919",29916,"SNX11",8.36087775999536,8.28376756721044,8.31678371072775,8.61071852248022,8.57267226240335,8.502036828472
"ENSG00000003056",4074,"M6PR",9.57346879762078,9.61383368388071,9.55261775317147,9.797653148053,9.53221042460333,10.3356296819452
"ENSG00000003096",90293,"KLHL13",11.2174933962004,11.269084732264,10.8202070684523,10.6415397948261,11.074508247347,10.5006269007453
"ENSG00000003137",56603,"CYP26B1",9.25013325340414,9.17614540245084,10.1861089872186,7.88451135220615,7.75875174609447,6.06819675099262
"ENSG00000003147",3382,"ICA1",8.94082279178687,9.00863330186558,8.29989991996498,8.54762949855517,8.91340061362166,6.71726694632154
"ENSG00000003249",79007,"DBNDD1",9.62205308417768,9.20014760361899,8.88733802173831,8.61424117511111,9.47421614400509,7.14500941893176
"ENSG00000003393",57679,"ALS2",10.9737327221111,11.1111394528523,11.1826735997048,11.090975736245,11.1226388538174,11.2913322608189
"ENSG00000003400",843,"CASP10",5.79147317606317,5.77685464919912,5.75456202992873,5.23135019106063,5.46935070319513,5.18746296578136
"ENSG00000003402",8837,"CFLAR",9.54854811851031,9.85853759482996,9.50568946027502,9.53652504919907,9.45171006637177,10.2630965458149
"ENSG00000003436",7035,"TFPI",8.06408889101343,8.35696456156378,8.93993177466995,9.61407844575712,9.10309721063196,10.5477728470799
"ENSG00000003509",55471,"NDUFAF7",9.46666224003285,9.47127114675612,9.60321835291775,9.32535773924337,9.58175597949263,9.10467966039144
"ENSG00000003756",10181,"RBM5",12.0387281776404,11.9435361264995,12.073346705447,12.1687687088323,12.2290052792561,12.3384709146967
"ENSG00000003987",9108,"MTMR7",10.3154313246061,10.3678407133487,9.81787180706001,9.0980503178252,9.7951842866457,7.40966184429143
"ENSG00000003989",6542,"SLC7A2",6.89097298392508,6.56643692587744,7.16642702427941,5.68460767469218,5.97641267591333,4.88837907797739
"ENSG00000004059",381,"ARF5",9.7526402833544,9.42315348053761,9.43229960109338,10.1117208746245,9.89861287266088,9.81837658300377
"ENSG00000004139",23098,"SARM1",10.4515385461804,10.4259341689723,10.3935723598018,10.0351287368923,10.3103595679851,9.51132507964023
"ENSG00000004142",26073,"POLDIP2",10.0923006394801,9.88245133855313,9.81639377419634,10.0904297010374,10.0036452801548,10.2623810952519
"ENSG00000004399",23129,"PLXND1",5.57553933579376,5.45795213323723,6.73671357377245,6.52481329577584,5.37441071259404,6.6089740508496
"ENSG00000004455",204,"AK2",9.55133846675851,9.5764420233294,9.63207500609705,9.71739328287373,9.49857331418491,10.0713614548392
"ENSG00000004468",952,"CD38",4.7165496130104,5.09718127405855,4.63910910251109,5.92458453824114,4.80549449477315,7.3724833288726
"ENSG00000004478",2288,"FKBP4",10.9304748171616,10.7709316981501,10.6489958260076,10.7620607513254,10.9664164625171,10.700291158035
"ENSG00000004487",23028,"KDM1A",12.2613226382954,12.3097054716565,12.3016741660493,12.5389474817111,12.5308299002604,12.1719310362062
"ENSG00000004534",10180,"RBM6",11.5086249254959,11.4871098881865,11.2400024567844,11.7811946078302,11.6031157621282,11.815102765187
"ENSG00000004660",84254,"CAMKK1",8.17365727026333,7.70219100840178,7.62936499745985,7.86086919678128,8.29951959972912,6.75149995617342
"ENSG00000004700",5965,"RECQL",9.10377391234151,9.11348541993678,9.24933341612418,9.42683171310674,8.91504825945384,9.66220286852171
"ENSG00000004766",55610,"CCDC132",10.8472552411297,10.9308856300242,10.7956730483771,10.4814453406556,10.6506562754435,10.3505166092427
"ENSG00000004776",126393,"HSPB6",4.33057497578978,4.33057497578978,4.33057497578978,4.55239249687834,4.33057497578978,4.33057497578978
"ENSG00000004777",115703,"ARHGAP33",8.81164057880624,8.58109853610596,9.33031373473615,8.44449893134492,8.95723743288725,7.10645774094267
"ENSG00000004779",4706,"NDUFAB1",9.06522230888423,9.00500312466709,8.94264728331416,9.15953453801556,9.06503104899544,9.06086556910967
"ENSG00000004799",5166,"PDK4",5.49214979402744,5.45795213323723,5.13786241172375,5.94973919615279,5.8583162996779,6.22970329815221
"ENSG00000004838",51364,"ZMYND10",6.92676259669851,7.00968649119216,7.23113467566778,9.98917260584,8.00886940284763,10.8784494059036
"ENSG00000004864",10165,"SLC25A13",8.7594337343783,8.8678104264034,8.83274669203781,9.02062364169454,8.59753521253932,9.5715059570082
"ENSG00000004866",102466616,"ST7",10.5552094139652,10.6863187032502,10.6613936014538,10.2688132129043,10.4861020246974,9.42823835938712
"ENSG00000004897",996,"CDC27",11.4854844170577,11.6126989028166,11.2678345159655,11.3101802832283,11.4022719245555,11.1576984377968
"ENSG00000004948",799,"CALCR",5.70087603390657,6.0388771203416,5.86366298223323,5.12120644125242,5.26812364332126,4.76371589021208
"ENSG00000004961",3052,"HCCS",7.85282058766129,7.74228866356456,7.66959197425824,7.8578860856929,7.93899227619341,7.9901940216119
"ENSG00000004975",1856,"DVL2",9.14131947832749,8.86179988105892,9.27324718940175,9.76639951275231,9.6554825588174,9.62036360214618
"ENSG00000005007",5976,"UPF1",9.60066206938061,9.16154956259911,9.58075482190222,9.74651611081057,10.0723486567461,9.60914831416535
"ENSG00000005020",8935,"SKAP2",8.06015644934267,8.01339992660753,7.72150846225944,7.62472430504499,7.90938740898269,6.89563633808235
"ENSG00000005022",292,"SLC25A5",10.2704387816257,10.1585911452419,10.1975064197881,10.4404629093679,10.2174153178956,10.7129129148841
