"Node1","Node2","Weight"
"A2M","1",0
"A2M","-1",0
"AAAS_AHCTF1_GLE1_NDC1_NUP107_NUP133_NUP153_NUP155_NUP160_NUP188_NUP205_NUP210_NUP214_NUP35_NUP37_NUP42_NUP43_NUP50_NUP54_NUP58_NUP62_NUP85_NUP88_NUP93_NUP98_POM121_RAE1_RANBP2_SEC13_SEH1L_TPR","1",0
"AAK1","1",0
"AANAT","1",0
"AATK","1",0
"AATK","-1",0
"ABCA7","1",0
"ABCC4","1",0
"ABCE1","-1",0
"ABI1","1",0
"ABI1_BRK1_CYFIP1_NCKAP1_WASF1","1",0
"ABI1_BRK1_CYFIP1_NCKAP1_WASF2","1",0
"ABI1_EPS8_SOS1","1",0
"ABL1","1",0
"ABL1","-1",0
"ABL2","1",0
"ABL2","-1",0
"ABR","-1",0
"ABRAXAS1","1",0
"ACAA2","-1",0
"ACAN","1",0
"ACAT1","1",0
"ACAT1","-1",0
"ACD","1",0
"ACD","-1",0
"ACD_POT1_TERF1_TERF2_TERF2IP_TINF2","-1",0
"ACE","1",0
"ACE2","1",0
"ACOX1","-1",0
"ACP1","1",0
"ACP1","-1",0
"ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4","1",0
"ACTB","1",0
"ACTB","-1",0
"ACTB_ACTL6A_ACTR5_ACTR8_INO80_INO80B_INO80C_INO80D_INO80E_MCRS1_NFRKB_RUVBL1_RUVBL2_TFPT_UCHL5_YY1","1",0
"ACTB_ACTL6A_BRD8_DMAP1_EP400_EPC1_EPC2_ING3_KAT5_MBTD1_MEAF6_MORF4L1_MORF4L2_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4","-1",0
"ACTL6A","1",0
"ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1","1",0
"ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1","1",0
"ACTN1","-1",0
"ACTR2","1",0
"ACTR2_ACTR3_ARPC1A_ARPC1B_ARPC2_ARPC3_ARPC4_ARPC5_ARPC5L","1",0
"ACVR1","1",0
"ACVR1B","1",0
"ACVR1C","1",0
"ACVR2A","1",0
"ACVR2B","1",0
"ACVRL1","1",0
"ADA","1",0
"ADAM10","1",0
"ADAM12","1",0
"ADAM15","1",0
"ADAM17","1",0
"ADAM17","-1",0
"ADAM2","1",0
"ADAM23","1",0
"ADAM9","1",0
"ADAM9","-1",0
"ADAMTS1","1",0
"ADAMTS13","-1",0
"ADAMTS4","-1",0
"ADAMTS5","-1",0
"ADARB1","1",0
"ADCK5","1",0
"ADCY5","1",0
"ADCYAP1","1",0
"ADD1_ADD2_EPB41_GYPC_SLC2A1_SLC4A1_STOM","1",0
"ADGRG1","1",0
"ADGRV1","1",0
"ADGRV1","-1",0
"ADIPOQ","1",0
"ADIPOR1","1",0
"ADIPOR2","1",0
"ADM","1",0
"ADM2","1",0
"ADNP","1",0
"ADNP","-1",0
"ADORA1","1",0
"ADORA2A","1",0
"ADORA2B","1",0
"ADORA3","1",0
"ADRA1A","1",0
"ADRA1B","1",0
"ADRA1D","1",0
"ADRA2A","1",0
"ADRA2B","1",0
"ADRA2C","1",0
"ADRB1","1",0
"ADRB2","1",0
"ADRB3","1",0
"ADRM1","1",0
