"id","activity_D28"
"1",0
"-1",0
"A2M",0
"AAAS_AHCTF1_GLE1_NDC1_NUP107_NUP133_NUP153_NUP155_NUP160_NUP188_NUP205_NUP210_NUP214_NUP35_NUP37_NUP42_NUP43_NUP50_NUP54_NUP58_NUP62_NUP85_NUP88_NUP93_NUP98_POM121_RAE1_RANBP2_SEC13_SEH1L_TPR",0
"AAK1",0
"AANAT",0
"AATK",0
"ABCA7",0
"ABCC4",0
"ABCE1",0
"ABI1",0
"ABI1_BRK1_CYFIP1_NCKAP1_WASF1",0
"ABI1_BRK1_CYFIP1_NCKAP1_WASF2",0
"ABI1_EPS8_SOS1",0
"ABL1",0
"ABL2",0
"ABR",0
"ABRAXAS1",0
"ACAA2",0
"ACAN",0
"ACAT1",0
"ACD",0
"ACD_POT1_TERF1_TERF2_TERF2IP_TINF2",0
"ACE",0
"ACE2",0
"ACOX1",0
"ACP1",0
"ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4",0
"ACTB",0
"ACTB_ACTL6A_ACTR5_ACTR8_INO80_INO80B_INO80C_INO80D_INO80E_MCRS1_NFRKB_RUVBL1_RUVBL2_TFPT_UCHL5_YY1",0
"ACTB_ACTL6A_BRD8_DMAP1_EP400_EPC1_EPC2_ING3_KAT5_MBTD1_MEAF6_MORF4L1_MORF4L2_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4",0
"ACTL6A",0
"ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1",0
"ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1",0
"ACTN1",0
"ACTR2",0
"ACTR2_ACTR3_ARPC1A_ARPC1B_ARPC2_ARPC3_ARPC4_ARPC5_ARPC5L",0
"ACVR1",0
"ACVR1B",0
"ACVR1C",0
"ACVR2A",0
"ACVR2B",0
"ACVRL1",0
"ADA",0
"ADAM10",0
"ADAM12",0
"ADAM15",0
"ADAM17",0
"ADAM2",0
"ADAM23",0
"ADAM9",0
"ADAMTS1",0
"ADAMTS13",0
"ADAMTS4",0
"ADAMTS5",0
"ADARB1",0
"ADCK5",0
"ADCY5",0
"ADCYAP1",0
"ADD1_ADD2_EPB41_GYPC_SLC2A1_SLC4A1_STOM",0
"ADGRG1",0
"ADGRV1",0
"ADIPOQ",0
"ADIPOR1",0
"ADIPOR2",0
"ADM",0
"ADM2",0
"ADNP",0
"ADORA1",0
"ADORA2A",0
"ADORA2B",0
"ADORA3",0
"ADRA1A",0
"ADRA1B",0
"ADRA1D",0
"ADRA2A",0
"ADRA2B",0
"ADRA2C",0
"ADRB1",0
"ADRB2",0
"ADRB3",0
"ADRM1",0
"ADRM1_PSMA1_PSMA2_PSMA3_PSMA4_PSMA5_PSMA6_PSMA7_PSMB1_PSMB2_PSMB3_PSMB4_PSMB5_PSMB6_PSMB7_PSMC1_PSMC2_PSMC3_PSMC4_PSMC5_PSMC6_PSMD1_PSMD11_PSMD12_PSMD13_PSMD14_PSMD2_PSMD3_PSMD4_PSMD6_PSMD7_PSMD8_SEM1",0
"AEBP2_EED_EZH2_RBBP4_SUZ12",0
"AFAP1L2",0
"AFDN",0
"AFF2",0
"AGRN",0
"AGRP",0
"AGT",0
"AGTR1",0
"AGTR2",0
"AHCYL1",0
"AHCYL2",0
"AHSA1",0
"AHSP",0
"AIM2_CASP1_PYCARD",0
"AIMP1",0
"AKAP11",0
"AKAP12",0
"AKAP13",0
"AKAP5",0
"AKAP8",0
"AKAP8L",0
"AKAP9",0
"AKT1",0
"AKT1S1",0
"AKT1S1_DEPTOR_MLST8_MTOR_RPTOR",0
"AKT2",0
"AKT3",0
