# background genes,# genes,category,chart color,description,FDR value,genes,network.SUID,nodes.SUID,p-value,PMID,term name,transferred FDR value,year,FDR (-log10)
44,10,WikiPathways,,Integrated cancer pathway,9.64E-17,SMAD2|CDK2|TP53|PLK1|CASP3|SMAD3|E2F1|CDK1|AKT1|MYC,10163,10267|10303|10291|10297|10333|10252|10264|10327|10330|10318,1.23E-19,,WP1971,1.601592297,0,16.01592297
1146,20,COMPARTMENTS,,Nucleoplasm,1.05E-15,CSNK2A1|STUB1|SMAD2|RCOR1|CDK2|TP53|PLK1|CEBPB|PRKACA|CASP3|SMAD3|MYB|E2F1|SKI|E2F4|CDK1|SUMO2|AKT1|MYC|CTNNB1,10163,10306|10315|10267|10324|10303|10291|10297|10312|10261|10333|10252|10288|10264|10270|10321|10327|10273|10330|10318|10285,4.57E-19,,GOCC:0005654,1.49788107,0,14.9788107
517,16,GO Cellular Component,,Transcription regulator complex,2.98E-15,CSNK2A1|RBL2|SMAD2|RCOR1|CDK2|TP53|CEBPB|SMAD1|SMAD3|MYB|E2F1|SKI|E2F4|SMAD5|MYC|CTNNB1,10163,10306|10276|10267|10324|10303|10291|10312|10282|10252|10288|10264|10270|10321|10258|10318|10285,1.46E-18,,GO:0005667,1.452578374,0,14.52578374
1850,22,COMPARTMENTS,,Nuclear lumen,6.96E-15,CSNK2A1|STUB1|RBL2|SMAD2|RCOR1|CASP6|CDK2|TP53|PLK1|CEBPB|PRKACA|CASP3|SMAD3|MYB|E2F1|SKI|E2F4|CDK1|SUMO2|AKT1|MYC|CTNNB1,10163,10306|10315|10276|10267|10324|10309|10303|10291|10297|10312|10261|10333|10252|10288|10264|10270|10321|10327|10273|10330|10318|10285,6.05E-18,,GOCC:0031981,1.415739076,0,14.15739076
322,14,TISSUES,,Cervical carcinoma cell,1.04E-14,STUB1|SMAD2|RCOR1|CDK2|PLK1|PRKACA|CASP3|SMAD3|E2F1|E2F4|CDK1|AKT1|MYC|CTNNB1,10163,10315|10267|10324|10303|10297|10261|10333|10252|10264|10321|10327|10330|10318|10285,4.27E-18,,BTO:0000180,1.398296666,0,13.98296666
1215,19,Reactome Pathways,,Generic Transcription Pathway,1.08E-13,CSNK2A1|STUB1|RBL2|SMAD2|CASP6|CDK2|TP53|CEBPB|SMAD1|PRKACA|SMAD3|MYB|E2F1|SKI|E2F4|CDK1|AKT1|MYC|CTNNB1,10163,10306|10315|10276|10267|10309|10303|10291|10312|10282|10261|10252|10288|10264|10270|10321|10327|10330|10318|10285,4.74E-17,,HSA-212436,1.296657624,0,12.96657624
78,10,GO Molecular Function,,SMAD binding,1.12E-13,STUB1|SMAD2|SMAD1|SMAD3|BMPR1A|SKI|BMPR1B|ACVR1|SMAD5|CTNNB1,10163,10315|10267|10282|10252|10300|10270|10294|10279|10258|10285,2.26E-17,,GO:0046332,1.295078198,0,12.95078198
109,10,WikiPathways,,Androgen receptor network in prostate cancer,2.03E-13,SMAD2|CDK2|TP53|PLK1|CASP3|SMAD3|E2F1|CDK1|AKT1|MYC,10163,10267|10303|10291|10297|10333|10252|10264|10327|10330|10318,5.20E-16,,WP2263,1.269250396,0,12.69250396
120,10,WikiPathways,,Cell cycle,3.36E-13,RBL2|SMAD2|CDK2|TP53|PLK1|SMAD3|E2F1|E2F4|CDK1|MYC,10163,10276|10267|10303|10291|10297|10252|10264|10321|10327|10318,1.29E-15,,WP179,1.247366072,0,12.47366072
120,10,KEGG Pathways,,Cell cycle,4.33E-13,RBL2|SMAD2|CDK2|TP53|PLK1|SMAD3|E2F1|E2F4|CDK1|MYC,10163,10276|10267|10303|10291|10297|10252|10264|10321|10327|10318,1.29E-15,,hsa04110,1.23635121,0,12.3635121
141,10,KEGG Pathways,,Signaling pathways regulating pluripotency of stem cells,1.00E-12,SMAD2|SMAD1|SMAD3|BMPR1A|BMPR1B|ACVR1|SMAD5|AKT1|MYC|CTNNB1,10163,10267|10282|10252|10300|10294|10279|10258|10330|10318|10285,5.96E-15,,hsa04550,1.2,0,12
121,10,Reactome Pathways,,Signaling by TGFB family members,1.06E-12,STUB1|SMAD2|SMAD1|SMAD3|BMPR1A|SKI|E2F4|BMPR1B|SMAD5|MYC,10163,10315|10267|10282|10252|10300|10270|10321|10294|10258|10318,1.39E-15,,HSA-9006936,1.197469413,0,11.97469413
150,10,KEGG Pathways,,Cellular senescence,1.09E-12,RBL2|SMAD2|CDK2|TP53|SMAD3|E2F1|E2F4|CDK1|AKT1|MYC,10163,10276|10267|10303|10291|10252|10264|10321|10327|10330|10318,1.07E-14,,hsa04218,1.19625735,0,11.9625735
91,9,KEGG Pathways,,TGF-beta signaling pathway,1.09E-12,SMAD2|SMAD1|SMAD3|BMPR1A|E2F4|BMPR1B|ACVR1|SMAD5|MYC,10163,10267|10282|10252|10300|10321|10294|10279|10258|10318,9.75E-15,,hsa04350,1.19625735,0,11.9625735
2540,22,Reactome Pathways,,Signal Transduction,2.27E-12,CSNK2A1|STUB1|SMAD2|RCOR1|CDK2|TP53|PLK1|SMAD1|PRKACA|CASP3|SMAD3|MYB|E2F1|BMPR1A|SKI|E2F4|CDK1|BMPR1B|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10315|10267|10324|10303|10291|10297|10282|10261|10333|10252|10288|10264|10300|10270|10321|10327|10294|10258|10330|10318|10285,4.97E-15,,HSA-162582,1.164397414,0,11.64397414
1067,17,TISSUES,,Leukemia cell,4.93E-12,STUB1|RBL2|SMAD2|RCOR1|CDK2|TP53|PLK1|PRKACA|CASP3|SMAD3|MYB|E2F1|E2F4|CDK1|AKT1|MYC|CTNNB1,10163,10315|10276|10267|10324|10303|10291|10297|10261|10333|10252|10288|10264|10321|10327|10330|10318|10285,4.06E-15,,BTO:0001271,1.130715308,0,11.30715308
42,8,STRING Clusters,,"Signaling by BMP, and TGF-beta propeptide",1.29E-11,SMAD2|SMAD1|SMAD3|BMPR1A|SKI|BMPR1B|ACVR1|SMAD5,10163,10267|10282|10252|10300|10270|10294|10279|10258,2.83E-15,,CL:21275,1.088941029,0,10.88941029
1582,19,GO Biological Process,,Regulation of cell differentiation,1.56E-11,CYP27B1|SMAD2|RCOR1|TP53|CEBPB|SMAD1|PRKACA|SMAD3|MYB|E2F1|BMPR1A|SKI|CDK1|BMPR1B|ACVR1|SMAD5|AKT1|MYC|CTNNB1,10163,10255|10267|10324|10291|10312|10282|10261|10252|10288|10264|10300|10270|10327|10294|10279|10258|10330|10318|10285,5.81E-15,,GO:0045595,1.08068754,0,10.8068754
125,10,GO Biological Process,,Regulation of osteoblast differentiation,1.56E-11,CEBPB|SMAD1|PRKACA|SMAD3|BMPR1A|SKI|BMPR1B|ACVR1|SMAD5|CTNNB1,10163,10312|10282|10261|10252|10300|10270|10294|10279|10258|10285,1.90E-15,,GO:0045667,1.08068754,0,10.8068754
3166,24,GO Biological Process,,Positive regulation of nitrogen compound metabolic process,1.56E-11,CSNK2A1|STUB1|SMAD2|CASP6|CDK2|TP53|PLK1|CEBPB|SMAD1|CASP3|SMAD3|MYB|E2F1|BMPR1A|SKI|E2F4|CDK1|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10315|10267|10309|10303|10291|10297|10312|10282|10333|10252|10288|10264|10300|10270|10321|10327|10294|10279|10273|10258|10330|10318|10285,9.96E-16,,GO:0051173,1.08068754,0,10.8068754
1069,17,GO Biological Process,,Epithelium development,1.56E-11,SMAD2|CASP6|TP53|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|BMPR1A|SKI|E2F4|CDK1|ACVR1|SMAD5|AKT1|MYC|CTNNB1,10163,10267|10309|10291|10312|10282|10261|10333|10252|10300|10270|10321|10327|10279|10258|10330|10318|10285,4.19E-15,,GO:0060429,1.08068754,0,10.8068754
503,14,GO Biological Process,,Response to growth factor,1.56E-11,SMAD2|TP53|SMAD1|CASP3|SMAD3|E2F1|BMPR1A|SKI|BMPR1B|ACVR1|SMAD5|AKT1|MYC|CTNNB1,10163,10267|10291|10282|10333|10252|10264|10300|10270|10294|10279|10258|10330|10318|10285,1.74E-15,,GO:0070848,1.08068754,0,10.8068754
5899,28,GO Biological Process,,Regulation of primary metabolic process,1.56E-11,CSNK2A1|STUB1|CYP27B1|RBL2|SMAD2|RCOR1|CASP6|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|MYB|E2F1|BMPR1A|SKI|E2F4|CDK1|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10315|10255|10276|10267|10324|10309|10303|10291|10297|10312|10282|10261|10333|10252|10288|10264|10300|10270|10321|10327|10294|10279|10273|10258|10330|10318|10285,2.28E-15,,GO:0080090,1.08068754,0,10.8068754
3533,24,GO Biological Process,,Positive regulation of macromolecule metabolic process,2.82E-11,CSNK2A1|STUB1|SMAD2|CASP6|CDK2|TP53|PLK1|CEBPB|SMAD1|CASP3|SMAD3|MYB|E2F1|BMPR1A|SKI|E2F4|CDK1|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10315|10267|10309|10303|10291|10297|10312|10282|10333|10252|10288|10264|10300|10270|10321|10327|10294|10279|10273|10258|10330|10318|10285,1.26E-14,,GO:0010604,1.054975089,0,10.54975089
132,9,WikiPathways,,TGF-beta signaling pathway,4.52E-11,RBL2|SMAD2|TP53|SMAD3|SKI|E2F4|CDK1|AKT1|MYC,10163,10276|10267|10291|10252|10270|10321|10327|10330|10318,2.31E-13,,WP366,1.034486157,0,10.34486157
1723,19,GO Biological Process,,Tissue development,5.34E-11,CYP27B1|SMAD2|CASP6|TP53|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|BMPR1A|SKI|E2F4|CDK1|BMPR1B|ACVR1|SMAD5|AKT1|MYC|CTNNB1,10163,10255|10267|10309|10291|10312|10282|10261|10333|10252|10300|10270|10321|10327|10294|10279|10258|10330|10318|10285,2.73E-14,,GO:0009888,1.027245874,0,10.27245874
473,13,GO Biological Process,,Cellular response to growth factor stimulus,5.34E-11,SMAD2|TP53|SMAD1|CASP3|SMAD3|E2F1|BMPR1A|SKI|BMPR1B|ACVR1|SMAD5|AKT1|CTNNB1,10163,10267|10291|10282|10333|10252|10264|10300|10270|10294|10279|10258|10330|10285,2.81E-14,,GO:0071363,1.027245874,0,10.27245874
5584,27,GO Biological Process,,Positive regulation of cellular process,5.52E-11,CSNK2A1|STUB1|CYP27B1|SMAD2|RCOR1|CASP6|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|MYB|E2F1|BMPR1A|SKI|E2F4|CDK1|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10315|10255|10267|10324|10309|10303|10291|10297|10312|10282|10261|10333|10252|10288|10264|10300|10270|10321|10327|10294|10279|10273|10258|10330|10318|10285,3.52E-14,,GO:0048522,1.025806092,0,10.25806092
5681,27,GO Biological Process,,Regulation of cellular metabolic process,7.93E-11,CSNK2A1|STUB1|CYP27B1|RBL2|SMAD2|RCOR1|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|MYB|E2F1|BMPR1A|SKI|E2F4|CDK1|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10315|10255|10276|10267|10324|10303|10291|10297|10312|10282|10261|10333|10252|10288|10264|10300|10270|10321|10327|10294|10279|10273|10258|10330|10318|10285,5.56E-14,,GO:0031323,1.010072681,0,10.10072681
5734,27,GO Biological Process,,Regulation of nitrogen compound metabolic process,9.30E-11,CSNK2A1|STUB1|RBL2|SMAD2|RCOR1|CASP6|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|MYB|E2F1|BMPR1A|SKI|E2F4|CDK1|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10315|10276|10267|10324|10309|10303|10291|10297|10312|10282|10261|10333|10252|10288|10264|10300|10270|10321|10327|10294|10279|10273|10258|10330|10318|10285,7.11E-14,,GO:0051171,1.003151705,0,10.03151705
1103,16,GO Biological Process,,Cellular response to endogenous stimulus,1.73E-10,SMAD2|CASP6|TP53|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|E2F1|BMPR1A|SKI|BMPR1B|ACVR1|SMAD5|AKT1|CTNNB1,10163,10267|10309|10291|10312|10282|10261|10333|10252|10264|10300|10270|10294|10279|10258|10330|10285,1.65E-13,,GO:0071495,0.97619539,0,9.761953897
206,10,GO Biological Process,,Transmembrane receptor protein serine/threonine kinase signaling pathway,2.10E-10,STUB1|SMAD2|TP53|SMAD1|SMAD3|BMPR1A|SKI|BMPR1B|ACVR1|SMAD5,10163,10315|10267|10291|10282|10252|10300|10270|10294|10279|10258,2.22E-13,,GO:0007178,0.967778071,0,9.677780705
