"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"1285","90","GO Cellular Component","","Chromatin","1.27E-67","SNAI2|CEBPE|SIRT1|CSNK2A1|RELB|USF2|SPI1|TBP|NFYB|IRF1|DPF2|RARA|NR0B2|CDK4|ATF1|CREBBP|CSNK2A2|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|SRF|JDP2|TP53|SSRP1|MYCN|PLK1|JUNB|CEBPB|SMAD1|TFE3|STAT2|SP1|RARB|SMAD3|NR1I2|ATF4|FOXO3|MEF2C|POU1F1|ATF3|RBPJ|E2F1|NFYA|NR3C2|DNMT1|ETS2|CUX1|ZEB1|PROX1|NR5A2|NR1I3|NFKB2|SMARCA1|JUN|NCOA3|NR5A1|SP2|ELK1|KLF5|GATA3|CDX2|SRY|ETS1|EHMT2|HMX1|ESRRA|NCOA1|RARG|NFATC4|NFATC1|MITF|MECP2|SATB1|HMGA1|PBX1|FLI1|HMGA2|HIF1A|HNF1A|SP7|CEBPG|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","46276","46391|46569|46381|46549|46513|46565|46527|46413|46501|46537|46339|46533|46553|46449|46415|46557|46359|46357|46445|46571|46411|46443|46563|46403|46539|46547|46491|46331|46493|46341|46529|46373|46333|46427|46509|46447|46483|46433|46453|46455|46461|46351|46315|46311|46385|46523|46387|46327|46543|46441|46321|46329|46389|46369|46561|46519|46485|46531|46457|46437|46481|46383|46325|46313|46511|46335|46487|46463|46347|46375|46377|46525|46397|46349|46429|46401|46435|46337|46419|46355|46361|46345|46395|46393|46431|46567|46469|46425|46323|46343","6.21E-71","","GO:0000785","6.6896196279044045","0"
"1250","87","GO Biological Process","","Positive regulation of transcription by RNA polymerase II","1.63E-63","CEBPE|SIRT1|RELB|USF2|SPI1|MAPK14|TBP|NFYB|IRF1|DPF2|RARA|ATF1|CREBBP|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|SRF|TP53|PHIP|ZNF462|MYCN|JUNB|CEBPB|SMAD1|REST|TFE3|STAT2|MED14|SP1|RARB|SMAD3|NR1I2|ATF4|FOXO3|MEF2C|POU1F1|ATF3|RBPJ|E2F1|NFYA|ETS2|ZEB1|PROX1|NR5A2|NR1I3|NFKB2|CHUK|SMARCA1|JUN|NCOA3|YBX1|NR5A1|ZBTB17|ELK1|KLF5|WT1|GATA3|CDX2|SRY|PTMS|ETS1|GLI3|ESRRA|NCOA1|RARG|NFATC4|NFATC1|MITF|MECP2|HMGA1|PBX1|BRCA1|FLI1|HMGA2|HIF1A|HNF1A|SP7|CEBPG|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","46276","46569|46381|46513|46565|46527|46499|46413|46501|46537|46339|46533|46415|46557|46357|46445|46571|46411|46443|46563|46539|46515|46479|46491|46493|46341|46529|46379|46373|46333|46559|46427|46509|46447|46483|46433|46453|46455|46461|46351|46315|46311|46385|46327|46441|46321|46329|46389|46369|46473|46561|46519|46485|46477|46531|46303|46437|46481|46471|46383|46325|46313|46439|46511|46407|46463|46347|46375|46377|46525|46397|46349|46401|46435|46421|46337|46419|46355|46361|46345|46395|46393|46431|46567|46469|46425|46323|46343","1.04E-67","","GO:0045944","6.2787812395596045","0"
"2299","103","UniProt Keywords","","Transcription regulation","2.59E-63","SNAI2|CEBPE|SIRT1|MAPK1|CSNK2A1|MAZ|RELB|USF2|SPI1|MAPK14|TBP|NFYB|IRF1|DPF2|RARA|NR0B2|TRIP4|ATF1|CREBBP|CSNK2A2|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|SRF|JDP2|TP53|ZNF462|SSRP1|MYCN|HIF1AN|JUNB|CEBPB|SMAD1|REST|TFE3|STAT2|MED14|SP1|RARB|SMAD3|NR1I2|ATF4|FOXO3|MEF2C|JARID2|POU1F1|ATF3|RBPJ|E2F1|NFYA|NR3C2|DNMT1|ETS2|CUX1|ZEB1|PROX1|NR5A2|NR1I3|PRDM1|NFKB2|SMARCA1|JUN|NCOA3|YBX1|NR5A1|ZBTB17|SP2|ELK1|KLF5|WT1|GATA3|CDX2|SRY|URI1|ETS1|GLI3|HMX1|ESRRA|NCOA1|RARG|NFATC4|NFATC1|MITF|MECP2|SATB1|HMGA1|PBX1|BRCA1|FLI1|HIF1A|HNF1A|SP7|CEBPG|RIOX1|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","46276","46391|46569|46381|46489|46549|46545|46513|46565|46527|46499|46413|46501|46537|46339|46533|46553|46317|46415|46557|46359|46357|46445|46571|46411|46443|46563|46403|46539|46479|46547|46491|46497|46493|46341|46529|46379|46373|46333|46559|46427|46509|46447|46483|46433|46453|46455|46495|46461|46351|46315|46311|46385|46523|46387|46327|46543|46441|46321|46329|46389|46551|46369|46561|46519|46485|46477|46531|46303|46457|46437|46481|46471|46383|46325|46313|46365|46511|46407|46487|46463|46347|46375|46377|46525|46397|46349|46429|46401|46435|46421|46337|46355|46361|46345|46395|46535|46393|46431|46567|46469|46425|46323|46343","3.85E-66","","KW-0805","6.258670023591875","0"
"2586","107","GO Biological Process","","Regulation of transcription by RNA polymerase II","1.19E-62","SNAI2|CEBPE|SIRT1|MAZ|RELB|USF2|SPI1|MAPK14|TBP|NFYB|IRF1|DPF2|RARA|NR0B2|CDK4|ATF1|CREBBP|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|SRF|JDP2|TP53|PHIP|ZNF462|MYCN|HIF1AN|PLK1|JUNB|CEBPB|SMAD1|REST|TFE3|STAT2|MED14|DNMT3B|SP1|RARB|SMAD3|NR1I2|ATF4|FOXO3|MEF2C|JARID2|POU1F1|ATF3|RBPJ|E2F1|NFYA|NR3C2|DNMT1|ETS2|CUX1|ZEB1|PROX1|NR5A2|NR1I3|PRDM1|NFKB2|CHUK|SMARCA1|JUN|NCOA3|TSC22D3|YBX1|NR5A1|ZBTB17|SP2|ELK1|KLF5|WT1|GATA3|CDX2|SRY|PTMS|URI1|ETS1|EHMT2|GLI3|HMX1|ESRRA|NCOA1|RARG|NFATC4|NFATC1|MITF|MECP2|SATB1|HMGA1|PBX1|BRCA1|FLI1|HMGA2|HIF1A|HNF1A|SP7|RITA1|CEBPG|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","46276","46391|46569|46381|46545|46513|46565|46527|46499|46413|46501|46537|46339|46533|46553|46449|46415|46557|46357|46445|46571|46411|46443|46563|46403|46539|46515|46479|46491|46497|46331|46493|46341|46529|46379|46373|46333|46559|46423|46427|46509|46447|46483|46433|46453|46455|46495|46461|46351|46315|46311|46385|46523|46387|46327|46543|46441|46321|46329|46389|46551|46369|46473|46561|46519|46485|46451|46477|46531|46303|46457|46437|46481|46471|46383|46325|46313|46439|46365|46511|46335|46407|46487|46463|46347|46375|46377|46525|46397|46349|46429|46401|46435|46421|46337|46419|46355|46361|46345|46353|46395|46393|46431|46567|46469|46425|46323|46343","1.52E-66","","GO:0006357","6.1924453038607465","0"
"1710","92","GO Biological Process","","Positive regulation of transcription, DNA-templated","1.91E-59","CEBPE|SIRT1|MAZ|RELB|USF2|SPI1|MAPK14|TBP|NFYB|IRF1|DPF2|RARA|NR0B2|TRIP4|ATF1|CREBBP|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|SRF|TP53|PHIP|ZNF462|MYCN|JUNB|CEBPB|SMAD1|REST|TFE3|STAT2|MED14|SP1|RARB|SMAD3|NR1I2|ATF4|FOXO3|MEF2C|POU1F1|ATF3|RBPJ|E2F1|NFYA|ETS2|ZEB1|PROX1|NR5A2|NR1I3|NFKB2|CHUK|SMARCA1|JUN|NCOA3|YBX1|NR5A1|ZBTB17|PIM2|ELK1|KLF5|WT1|GATA3|CDX2|SRY|PTMS|ETS1|GLI3|ESRRA|NCOA1|MAP3K2|RARG|NFATC4|NFATC1|MITF|MECP2|HMGA1|PBX1|BRCA1|FLI1|HMGA2|HIF1A|HNF1A|SP7|CEBPG|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","46276","46569|46381|46545|46513|46565|46527|46499|46413|46501|46537|46339|46533|46553|46317|46415|46557|46357|46445|46571|46411|46443|46563|46539|46515|46479|46491|46493|46341|46529|46379|46373|46333|46559|46427|46509|46447|46483|46433|46453|46455|46461|46351|46315|46311|46385|46327|46441|46321|46329|46389|46369|46473|46561|46519|46485|46477|46531|46303|46555|46437|46481|46471|46383|46325|46313|46439|46511|46407|46463|46347|46307|46375|46377|46525|46397|46349|46401|46435|46421|46337|46419|46355|46361|46345|46395|46393|46431|46567|46469|46425|46323|46343","3.65E-63","","GO:0045893","5.871896663275227","0"
"1850","93","GO Cellular Component","","Chromosome","1.58E-58","SNAI2|CEBPE|SIRT1|CSNK2A1|RELB|USF2|SPI1|TBP|NFYB|IRF1|DPF2|RARA|NR0B2|CDK4|ATF1|CREBBP|CSNK2A2|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|SRF|JDP2|TP53|SSRP1|MYCN|PLK1|JUNB|CEBPB|SMAD1|TFE3|STAT2|SP1|RARB|SMAD3|NR1I2|ATF4|PRPF4B|FOXO3|MEF2C|POU1F1|ATF3|RBPJ|E2F1|NFYA|NR3C2|DNMT1|ETS2|CUX1|ZEB1|PROX1|NR5A2|NR1I3|NFKB2|SMARCA1|JUN|NCOA3|NR5A1|SP2|ELK1|KLF5|GATA3|CDX2|SRY|ETS1|CDK1|EHMT2|HMX1|ESRRA|NCOA1|RARG|NFATC4|NFATC1|MITF|MECP2|SATB1|HMGA1|PBX1|BRCA1|FLI1|HMGA2|HIF1A|HNF1A|SP7|CEBPG|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","46276","46391|46569|46381|46549|46513|46565|46527|46413|46501|46537|46339|46533|46553|46449|46415|46557|46359|46357|46445|46571|46411|46443|46563|46403|46539|46547|46491|46331|46493|46341|46529|46373|46333|46427|46509|46447|46483|46433|46467|46453|46455|46461|46351|46315|46311|46385|46523|46387|46327|46543|46441|46321|46329|46389|46369|46561|46519|46485|46531|46457|46437|46481|46383|46325|46313|46511|46503|46335|46487|46463|46347|46375|46377|46525|46397|46349|46429|46401|46435|46421|46337|46419|46355|46361|46345|46395|46393|46431|46567|46469|46425|46323|46343","1.55E-61","","GO:0005694","5.780134291304558","0"
"3460","113","GO Biological Process","","Regulation of transcription, DNA-templated","3.59E-58","SNAI2|CEBPE|SIRT1|MAZ|RELB|USF2|SPI1|MAPK14|TBP|NFYB|IRF1|DPF2|RARA|NR0B2|CDK4|TRIP4|ATF1|CREBBP|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|SRF|JDP2|TP53|PHIP|ZNF462|MYCN|HIF1AN|PLK1|JUNB|CEBPB|SMAD1|REST|TFE3|STAT2|MED14|DNMT3B|SP1|RARB|SMAD3|NR1I2|ATF4|FOXO3|MEF2C|JARID2|POU1F1|ATF3|RBPJ|E2F1|NFYA|NR3C2|DNMT1|ETS2|CUX1|ZEB1|PROX1|NR5A2|NR1I3|PRDM1|NFKB2|CHUK|SMARCA1|JUN|NCOA3|TSC22D3|YBX1|NR5A1|ZBTB17|PIM2|SP2|ELK1|KLF5|WT1|GATA3|CDX2|SRY|PTMS|URI1|ETS1|MAPK8|EHMT2|GLI3|HMX1|ESRRA|NCOA1|MAP3K2|RARG|NFATC4|NFATC1|MITF|MECP2|SATB1|HMGA1|PBX1|BRCA1|WWP1|FLI1|HMGA2|HIF1A|HNF1A|SP7|RITA1|CEBPG|RIOX1|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","46276","46391|46569|46381|46545|46513|46565|46527|46499|46413|46501|46537|46339|46533|46553|46449|46317|46415|46557|46357|46445|46571|46411|46443|46563|46403|46539|46515|46479|46491|46497|46331|46493|46341|46529|46379|46373|46333|46559|46423|46427|46509|46447|46483|46433|46453|46455|46495|46461|46351|46315|46311|46385|46523|46387|46327|46543|46441|46321|46329|46389|46551|46369|46473|46561|46519|46485|46451|46477|46531|46303|46555|46457|46437|46481|46471|46383|46325|46313|46439|46365|46511|46507|46335|46407|46487|46463|46347|46307|46375|46377|46525|46397|46349|46429|46401|46435|46421|46475|46337|46419|46355|46361|46345|46353|46395|46535|46393|46431|46567|46469|46425|46323|46343","1.37E-61","","GO:0006355","5.7444905551421686","0"
"3166","109","GO Biological Process","","Positive regulation of nitrogen compound metabolic process","4.17E-57","SNAI2|CEBPE|SIRT1|MAPK1|CSNK2A1|MAZ|RELB|USF2|SPI1|MAPK14|TBP|NFYB|IRF1|DPF2|RARA|NR0B2|TRIP4|ATF1|CREBBP|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|CASP6|SRF|JDP2|TP53|PHIP|ZNF462|MYCN|FBXO33|PLK1|JUNB|CEBPB|SMAD1|REST|TFE3|STAT2|MED14|GSK3B|DNMT3B|SP1|CASP9|RARB|SMAD3|NR1I2|ATF4|FOXO3|HUWE1|MEF2C|JARID2|POU1F1|ATF3|RBPJ|E2F1|NFYA|DUSP19|DNMT1|ETS2|ZEB1|PROX1|NR5A2|NR1I3|NFKB2|CHUK|SMARCA1|JUN|NCOA3|YBX1|NR5A1|AMER1|ZBTB17|PIM2|ELK1|KLF5|WT1|GATA3|CDX2|SRY|PTMS|ETS1|CDK1|MAPK8|GLI3|ESRRA|NCOA1|MAP3K2|RARG|NFATC4|NFATC1|MITF|MECP2|HMGA1|PBX1|BRCA1|FLI1|HMGA2|HIF1A|HNF1A|SP7|CEBPG|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","46276","46391|46569|46381|46489|46549|46545|46513|46565|46527|46499|46413|46501|46537|46339|46533|46553|46317|46415|46557|46357|46445|46571|46411|46443|46417|46563|46403|46539|46515|46479|46491|46573|46331|46493|46341|46529|46379|46373|46333|46559|46541|46423|46427|46363|46509|46447|46483|46433|46453|46409|46455|46495|46461|46351|46315|46311|46385|46517|46387|46327|46441|46321|46329|46389|46369|46473|46561|46519|46485|46477|46531|46309|46303|46555|46437|46481|46471|46383|46325|46313|46439|46511|46503|46507|46407|46463|46347|46307|46375|46377|46525|46397|46349|46401|46435|46421|46337|46419|46355|46361|46345|46395|46393|46431|46567|46469|46425|46323|46343","2.59E-60","","GO:0051173","5.637986394502624","0"
"1935","93","GO Biological Process","","Positive regulation of macromolecule biosynthetic process","1.06E-56","CEBPE|SIRT1|MAPK1|MAZ|RELB|USF2|SPI1|MAPK14|TBP|NFYB|IRF1|DPF2|RARA|NR0B2|TRIP4|ATF1|CREBBP|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|SRF|TP53|PHIP|ZNF462|MYCN|JUNB|CEBPB|SMAD1|REST|TFE3|STAT2|MED14|SP1|RARB|SMAD3|NR1I2|ATF4|FOXO3|MEF2C|POU1F1|ATF3|RBPJ|E2F1|NFYA|ETS2|ZEB1|PROX1|NR5A2|NR1I3|NFKB2|CHUK|SMARCA1|JUN|NCOA3|YBX1|NR5A1|ZBTB17|PIM2|ELK1|KLF5|WT1|GATA3|CDX2|SRY|PTMS|ETS1|GLI3|ESRRA|NCOA1|MAP3K2|RARG|NFATC4|NFATC1|MITF|MECP2|HMGA1|PBX1|BRCA1|FLI1|HMGA2|HIF1A|HNF1A|SP7|CEBPG|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","46276","46569|46381|46489|46545|46513|46565|46527|46499|46413|46501|46537|46339|46533|46553|46317|46415|46557|46357|46445|46571|46411|46443|46563|46539|46515|46479|46491|46493|46341|46529|46379|46373|46333|46559|46427|46509|46447|46483|46433|46453|46455|46461|46351|46315|46311|46385|46327|46441|46321|46329|46389|46369|46473|46561|46519|46485|46477|46531|46303|46555|46437|46481|46471|46383|46325|46313|46439|46511|46407|46463|46347|46307|46375|46377|46525|46397|46349|46401|46435|46421|46337|46419|46355|46361|46345|46395|46393|46431|46567|46469|46425|46323|46343","7.45E-60","","GO:0010557","5.597469413473523","0"
"3759","114","GO Biological Process","","Regulation of RNA metabolic process","5.8E-56","SNAI2|CEBPE|SIRT1|MAZ|RELB|USF2|SPI1|MAPK14|TBP|NFYB|IRF1|DPF2|RARA|NR0B2|CDK4|TRIP4|ATF1|CREBBP|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|SRF|JDP2|TP53|PHIP|ZNF462|MYCN|HIF1AN|PLK1|JUNB|CEBPB|SMAD1|REST|TFE3|STAT2|CLK4|MED14|DNMT3B|SP1|RARB|SMAD3|NR1I2|ATF4|FOXO3|MEF2C|JARID2|POU1F1|ATF3|RBPJ|E2F1|NFYA|NR3C2|DNMT1|ETS2|CUX1|ZEB1|PROX1|NR5A2|NR1I3|PRDM1|NFKB2|CHUK|SMARCA1|JUN|NCOA3|TSC22D3|YBX1|NR5A1|ZBTB17|PIM2|SP2|ELK1|KLF5|WT1|GATA3|CDX2|SRY|PTMS|URI1|ETS1|MAPK8|EHMT2|GLI3|HMX1|ESRRA|NCOA1|MAP3K2|RARG|NFATC4|NFATC1|MITF|MECP2|SATB1|HMGA1|PBX1|BRCA1|WWP1|FLI1|HMGA2|HIF1A|HNF1A|SP7|RITA1|CEBPG|RIOX1|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","46276","46391|46569|46381|46545|46513|46565|46527|46499|46413|46501|46537|46339|46533|46553|46449|46317|46415|46557|46357|46445|46571|46411|46443|46563|46403|46539|46515|46479|46491|46497|46331|46493|46341|46529|46379|46373|46333|46367|46559|46423|46427|46509|46447|46483|46433|46453|46455|46495|46461|46351|46315|46311|46385|46523|46387|46327|46543|46441|46321|46329|46389|46551|46369|46473|46561|46519|46485|46451|46477|46531|46303|46555|46457|46437|46481|46471|46383|46325|46313|46439|46365|46511|46507|46335|46407|46487|46463|46347|46307|46375|46377|46525|46397|46349|46429|46401|46435|46421|46475|46337|46419|46355|46361|46345|46353|46395|46535|46393|46431|46567|46469|46425|46323|46343","4.44E-59","","GO:0051252","5.523657200643706","0"
