"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"1285","90","GO Cellular Component","","Chromatin","1.27E-67","SNAI2|CEBPE|SIRT1|CSNK2A1|RELB|USF2|SPI1|TBP|NFYB|IRF1|DPF2|RARA|NR0B2|CDK4|ATF1|CREBBP|CSNK2A2|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|SRF|JDP2|TP53|SSRP1|MYCN|PLK1|JUNB|CEBPB|SMAD1|TFE3|STAT2|SP1|RARB|SMAD3|NR1I2|ATF4|FOXO3|MEF2C|POU1F1|ATF3|RBPJ|E2F1|NFYA|NR3C2|DNMT1|ETS2|CUX1|ZEB1|PROX1|NR5A2|NR1I3|NFKB2|SMARCA1|JUN|NCOA3|NR5A1|SP2|ELK1|KLF5|GATA3|CDX2|SRY|ETS1|EHMT2|HMX1|ESRRA|NCOA1|RARG|NFATC4|NFATC1|MITF|MECP2|SATB1|HMGA1|PBX1|FLI1|HMGA2|HIF1A|HNF1A|SP7|CEBPG|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","2013","2234|2501|2219|2471|2417|2495|2438|2267|2399|2453|2156|2447|2477|2321|2270|2483|2186|2183|2315|2504|2264|2312|2492|2252|2456|2468|2384|2144|2387|2159|2441|2207|2147|2288|2411|2318|2372|2297|2327|2330|2339|2174|2120|2114|2225|2432|2228|2138|2462|2309|2129|2141|2231|2201|2489|2426|2375|2444|2333|2303|2369|2222|2135|2117|2414|2150|2378|2342|2168|2210|2213|2435|2243|2171|2291|2249|2300|2153|2276|2180|2189|2165|2240|2237|2294|2498|2351|2285|2132|2162","6.21E-71","","GO:0000785","6.6896196279044045","0"
"1250","87","GO Biological Process","","Positive regulation of transcription by RNA polymerase II","1.63E-63","CEBPE|SIRT1|RELB|USF2|SPI1|MAPK14|TBP|NFYB|IRF1|DPF2|RARA|ATF1|CREBBP|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|SRF|TP53|PHIP|ZNF462|MYCN|JUNB|CEBPB|SMAD1|REST|TFE3|STAT2|MED14|SP1|RARB|SMAD3|NR1I2|ATF4|FOXO3|MEF2C|POU1F1|ATF3|RBPJ|E2F1|NFYA|ETS2|ZEB1|PROX1|NR5A2|NR1I3|NFKB2|CHUK|SMARCA1|JUN|NCOA3|YBX1|NR5A1|ZBTB17|ELK1|KLF5|WT1|GATA3|CDX2|SRY|PTMS|ETS1|GLI3|ESRRA|NCOA1|RARG|NFATC4|NFATC1|MITF|MECP2|HMGA1|PBX1|BRCA1|FLI1|HMGA2|HIF1A|HNF1A|SP7|CEBPG|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","2013","2501|2219|2417|2495|2438|2396|2267|2399|2453|2156|2447|2270|2483|2183|2315|2504|2264|2312|2492|2456|2420|2366|2384|2387|2159|2441|2216|2207|2147|2486|2288|2411|2318|2372|2297|2327|2330|2339|2174|2120|2114|2225|2138|2309|2129|2141|2231|2201|2357|2489|2426|2375|2363|2444|2102|2303|2369|2354|2222|2135|2117|2306|2414|2258|2342|2168|2210|2213|2435|2243|2171|2249|2300|2279|2153|2276|2180|2189|2165|2240|2237|2294|2498|2351|2285|2132|2162","1.04E-67","","GO:0045944","6.2787812395596045","0"
"2586","107","GO Biological Process","","Regulation of transcription by RNA polymerase II","1.19E-62","SNAI2|CEBPE|SIRT1|MAZ|RELB|USF2|SPI1|MAPK14|TBP|NFYB|IRF1|DPF2|RARA|NR0B2|CDK4|ATF1|CREBBP|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|SRF|JDP2|TP53|PHIP|ZNF462|MYCN|HIF1AN|PLK1|JUNB|CEBPB|SMAD1|REST|TFE3|STAT2|MED14|DNMT3B|SP1|RARB|SMAD3|NR1I2|ATF4|FOXO3|MEF2C|JARID2|POU1F1|ATF3|RBPJ|E2F1|NFYA|NR3C2|DNMT1|ETS2|CUX1|ZEB1|PROX1|NR5A2|NR1I3|PRDM1|NFKB2|CHUK|SMARCA1|JUN|NCOA3|TSC22D3|YBX1|NR5A1|ZBTB17|SP2|ELK1|KLF5|WT1|GATA3|CDX2|SRY|PTMS|URI1|ETS1|EHMT2|GLI3|HMX1|ESRRA|NCOA1|RARG|NFATC4|NFATC1|MITF|MECP2|SATB1|HMGA1|PBX1|BRCA1|FLI1|HMGA2|HIF1A|HNF1A|SP7|RITA1|CEBPG|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","2013","2234|2501|2219|2465|2417|2495|2438|2396|2267|2399|2453|2156|2447|2477|2321|2270|2483|2183|2315|2504|2264|2312|2492|2252|2456|2420|2366|2384|2393|2144|2387|2159|2441|2216|2207|2147|2486|2282|2288|2411|2318|2372|2297|2327|2330|2390|2339|2174|2120|2114|2225|2432|2228|2138|2462|2309|2129|2141|2231|2474|2201|2357|2489|2426|2375|2324|2363|2444|2102|2333|2303|2369|2354|2222|2135|2117|2306|2195|2414|2150|2258|2378|2342|2168|2210|2213|2435|2243|2171|2291|2249|2300|2279|2153|2276|2180|2189|2165|2177|2240|2237|2294|2498|2351|2285|2132|2162","1.52E-66","","GO:0006357","6.1924453038607465","0"
"1710","92","GO Biological Process","","Positive regulation of transcription, DNA-templated","1.91E-59","CEBPE|SIRT1|MAZ|RELB|USF2|SPI1|MAPK14|TBP|NFYB|IRF1|DPF2|RARA|NR0B2|TRIP4|ATF1|CREBBP|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|SRF|TP53|PHIP|ZNF462|MYCN|JUNB|CEBPB|SMAD1|REST|TFE3|STAT2|MED14|SP1|RARB|SMAD3|NR1I2|ATF4|FOXO3|MEF2C|POU1F1|ATF3|RBPJ|E2F1|NFYA|ETS2|ZEB1|PROX1|NR5A2|NR1I3|NFKB2|CHUK|SMARCA1|JUN|NCOA3|YBX1|NR5A1|ZBTB17|PIM2|ELK1|KLF5|WT1|GATA3|CDX2|SRY|PTMS|ETS1|GLI3|ESRRA|NCOA1|MAP3K2|RARG|NFATC4|NFATC1|MITF|MECP2|HMGA1|PBX1|BRCA1|FLI1|HMGA2|HIF1A|HNF1A|SP7|CEBPG|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","2013","2501|2219|2465|2417|2495|2438|2396|2267|2399|2453|2156|2447|2477|2123|2270|2483|2183|2315|2504|2264|2312|2492|2456|2420|2366|2384|2387|2159|2441|2216|2207|2147|2486|2288|2411|2318|2372|2297|2327|2330|2339|2174|2120|2114|2225|2138|2309|2129|2141|2231|2201|2357|2489|2426|2375|2363|2444|2102|2480|2303|2369|2354|2222|2135|2117|2306|2414|2258|2342|2168|2108|2210|2213|2435|2243|2171|2249|2300|2279|2153|2276|2180|2189|2165|2240|2237|2294|2498|2351|2285|2132|2162","3.65E-63","","GO:0045893","5.871896663275227","0"
"1850","93","GO Cellular Component","","Chromosome","1.58E-58","SNAI2|CEBPE|SIRT1|CSNK2A1|RELB|USF2|SPI1|TBP|NFYB|IRF1|DPF2|RARA|NR0B2|CDK4|ATF1|CREBBP|CSNK2A2|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|SRF|JDP2|TP53|SSRP1|MYCN|PLK1|JUNB|CEBPB|SMAD1|TFE3|STAT2|SP1|RARB|SMAD3|NR1I2|ATF4|PRPF4B|FOXO3|MEF2C|POU1F1|ATF3|RBPJ|E2F1|NFYA|NR3C2|DNMT1|ETS2|CUX1|ZEB1|PROX1|NR5A2|NR1I3|NFKB2|SMARCA1|JUN|NCOA3|NR5A1|SP2|ELK1|KLF5|GATA3|CDX2|SRY|ETS1|CDK1|EHMT2|HMX1|ESRRA|NCOA1|RARG|NFATC4|NFATC1|MITF|MECP2|SATB1|HMGA1|PBX1|BRCA1|FLI1|HMGA2|HIF1A|HNF1A|SP7|CEBPG|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","2013","2234|2501|2219|2471|2417|2495|2438|2267|2399|2453|2156|2447|2477|2321|2270|2483|2186|2183|2315|2504|2264|2312|2492|2252|2456|2468|2384|2144|2387|2159|2441|2207|2147|2288|2411|2318|2372|2297|2348|2327|2330|2339|2174|2120|2114|2225|2432|2228|2138|2462|2309|2129|2141|2231|2201|2489|2426|2375|2444|2333|2303|2369|2222|2135|2117|2414|2402|2150|2378|2342|2168|2210|2213|2435|2243|2171|2291|2249|2300|2279|2153|2276|2180|2189|2165|2240|2237|2294|2498|2351|2285|2132|2162","1.55E-61","","GO:0005694","5.780134291304558","0"
"3460","113","GO Biological Process","","Regulation of transcription, DNA-templated","3.59E-58","SNAI2|CEBPE|SIRT1|MAZ|RELB|USF2|SPI1|MAPK14|TBP|NFYB|IRF1|DPF2|RARA|NR0B2|CDK4|TRIP4|ATF1|CREBBP|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|SRF|JDP2|TP53|PHIP|ZNF462|MYCN|HIF1AN|PLK1|JUNB|CEBPB|SMAD1|REST|TFE3|STAT2|MED14|DNMT3B|SP1|RARB|SMAD3|NR1I2|ATF4|FOXO3|MEF2C|JARID2|POU1F1|ATF3|RBPJ|E2F1|NFYA|NR3C2|DNMT1|ETS2|CUX1|ZEB1|PROX1|NR5A2|NR1I3|PRDM1|NFKB2|CHUK|SMARCA1|JUN|NCOA3|TSC22D3|YBX1|NR5A1|ZBTB17|PIM2|SP2|ELK1|KLF5|WT1|GATA3|CDX2|SRY|PTMS|URI1|ETS1|MAPK8|EHMT2|GLI3|HMX1|ESRRA|NCOA1|MAP3K2|RARG|NFATC4|NFATC1|MITF|MECP2|SATB1|HMGA1|PBX1|BRCA1|WWP1|FLI1|HMGA2|HIF1A|HNF1A|SP7|RITA1|CEBPG|RIOX1|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","2013","2234|2501|2219|2465|2417|2495|2438|2396|2267|2399|2453|2156|2447|2477|2321|2123|2270|2483|2183|2315|2504|2264|2312|2492|2252|2456|2420|2366|2384|2393|2144|2387|2159|2441|2216|2207|2147|2486|2282|2288|2411|2318|2372|2297|2327|2330|2390|2339|2174|2120|2114|2225|2432|2228|2138|2462|2309|2129|2141|2231|2474|2201|2357|2489|2426|2375|2324|2363|2444|2102|2480|2333|2303|2369|2354|2222|2135|2117|2306|2195|2414|2408|2150|2258|2378|2342|2168|2108|2210|2213|2435|2243|2171|2291|2249|2300|2279|2360|2153|2276|2180|2189|2165|2177|2240|2450|2237|2294|2498|2351|2285|2132|2162","1.37E-61","","GO:0006355","5.7444905551421686","0"
"3166","109","GO Biological Process","","Positive regulation of nitrogen compound metabolic process","4.17E-57","SNAI2|CEBPE|SIRT1|MAPK1|CSNK2A1|MAZ|RELB|USF2|SPI1|MAPK14|TBP|NFYB|IRF1|DPF2|RARA|NR0B2|TRIP4|ATF1|CREBBP|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|CASP6|SRF|JDP2|TP53|PHIP|ZNF462|MYCN|FBXO33|PLK1|JUNB|CEBPB|SMAD1|REST|TFE3|STAT2|MED14|GSK3B|DNMT3B|SP1|CASP9|RARB|SMAD3|NR1I2|ATF4|FOXO3|HUWE1|MEF2C|JARID2|POU1F1|ATF3|RBPJ|E2F1|NFYA|DUSP19|DNMT1|ETS2|ZEB1|PROX1|NR5A2|NR1I3|NFKB2|CHUK|SMARCA1|JUN|NCOA3|YBX1|NR5A1|AMER1|ZBTB17|PIM2|ELK1|KLF5|WT1|GATA3|CDX2|SRY|PTMS|ETS1|CDK1|MAPK8|GLI3|ESRRA|NCOA1|MAP3K2|RARG|NFATC4|NFATC1|MITF|MECP2|HMGA1|PBX1|BRCA1|FLI1|HMGA2|HIF1A|HNF1A|SP7|CEBPG|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","2013","2234|2501|2219|2381|2471|2465|2417|2495|2438|2396|2267|2399|2453|2156|2447|2477|2123|2270|2483|2183|2315|2504|2264|2312|2273|2492|2252|2456|2420|2366|2384|2507|2144|2387|2159|2441|2216|2207|2147|2486|2459|2282|2288|2192|2411|2318|2372|2297|2327|2261|2330|2390|2339|2174|2120|2114|2225|2423|2228|2138|2309|2129|2141|2231|2201|2357|2489|2426|2375|2363|2444|2111|2102|2480|2303|2369|2354|2222|2135|2117|2306|2414|2402|2408|2258|2342|2168|2108|2210|2213|2435|2243|2171|2249|2300|2279|2153|2276|2180|2189|2165|2240|2237|2294|2498|2351|2285|2132|2162","2.59E-60","","GO:0051173","5.637986394502624","0"
"1935","93","GO Biological Process","","Positive regulation of macromolecule biosynthetic process","1.06E-56","CEBPE|SIRT1|MAPK1|MAZ|RELB|USF2|SPI1|MAPK14|TBP|NFYB|IRF1|DPF2|RARA|NR0B2|TRIP4|ATF1|CREBBP|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|SRF|TP53|PHIP|ZNF462|MYCN|JUNB|CEBPB|SMAD1|REST|TFE3|STAT2|MED14|SP1|RARB|SMAD3|NR1I2|ATF4|FOXO3|MEF2C|POU1F1|ATF3|RBPJ|E2F1|NFYA|ETS2|ZEB1|PROX1|NR5A2|NR1I3|NFKB2|CHUK|SMARCA1|JUN|NCOA3|YBX1|NR5A1|ZBTB17|PIM2|ELK1|KLF5|WT1|GATA3|CDX2|SRY|PTMS|ETS1|GLI3|ESRRA|NCOA1|MAP3K2|RARG|NFATC4|NFATC1|MITF|MECP2|HMGA1|PBX1|BRCA1|FLI1|HMGA2|HIF1A|HNF1A|SP7|CEBPG|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","2013","2501|2219|2381|2465|2417|2495|2438|2396|2267|2399|2453|2156|2447|2477|2123|2270|2483|2183|2315|2504|2264|2312|2492|2456|2420|2366|2384|2387|2159|2441|2216|2207|2147|2486|2288|2411|2318|2372|2297|2327|2330|2339|2174|2120|2114|2225|2138|2309|2129|2141|2231|2201|2357|2489|2426|2375|2363|2444|2102|2480|2303|2369|2354|2222|2135|2117|2306|2414|2258|2342|2168|2108|2210|2213|2435|2243|2171|2249|2300|2279|2153|2276|2180|2189|2165|2240|2237|2294|2498|2351|2285|2132|2162","7.45E-60","","GO:0010557","5.597469413473523","0"
"3759","114","GO Biological Process","","Regulation of RNA metabolic process","5.8E-56","SNAI2|CEBPE|SIRT1|MAZ|RELB|USF2|SPI1|MAPK14|TBP|NFYB|IRF1|DPF2|RARA|NR0B2|CDK4|TRIP4|ATF1|CREBBP|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|SRF|JDP2|TP53|PHIP|ZNF462|MYCN|HIF1AN|PLK1|JUNB|CEBPB|SMAD1|REST|TFE3|STAT2|CLK4|MED14|DNMT3B|SP1|RARB|SMAD3|NR1I2|ATF4|FOXO3|MEF2C|JARID2|POU1F1|ATF3|RBPJ|E2F1|NFYA|NR3C2|DNMT1|ETS2|CUX1|ZEB1|PROX1|NR5A2|NR1I3|PRDM1|NFKB2|CHUK|SMARCA1|JUN|NCOA3|TSC22D3|YBX1|NR5A1|ZBTB17|PIM2|SP2|ELK1|KLF5|WT1|GATA3|CDX2|SRY|PTMS|URI1|ETS1|MAPK8|EHMT2|GLI3|HMX1|ESRRA|NCOA1|MAP3K2|RARG|NFATC4|NFATC1|MITF|MECP2|SATB1|HMGA1|PBX1|BRCA1|WWP1|FLI1|HMGA2|HIF1A|HNF1A|SP7|RITA1|CEBPG|RIOX1|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","2013","2234|2501|2219|2465|2417|2495|2438|2396|2267|2399|2453|2156|2447|2477|2321|2123|2270|2483|2183|2315|2504|2264|2312|2492|2252|2456|2420|2366|2384|2393|2144|2387|2159|2441|2216|2207|2147|2198|2486|2282|2288|2411|2318|2372|2297|2327|2330|2390|2339|2174|2120|2114|2225|2432|2228|2138|2462|2309|2129|2141|2231|2474|2201|2357|2489|2426|2375|2324|2363|2444|2102|2480|2333|2303|2369|2354|2222|2135|2117|2306|2195|2414|2408|2150|2258|2378|2342|2168|2108|2210|2213|2435|2243|2171|2291|2249|2300|2279|2360|2153|2276|2180|2189|2165|2177|2240|2450|2237|2294|2498|2351|2285|2132|2162","4.44E-59","","GO:0051252","5.523657200643706","0"
"2056","94","GO Biological Process","","Positive regulation of nucleobase-containing compound metabolic process","9.24E-56","CEBPE|SIRT1|MAPK1|MAZ|RELB|USF2|SPI1|MAPK14|TBP|NFYB|IRF1|DPF2|RARA|NR0B2|TRIP4|ATF1|CREBBP|E2F3|TCF3|EPAS1|ATF2|PPARGC1A|SRF|TP53|PHIP|ZNF462|MYCN|JUNB|CEBPB|SMAD1|REST|TFE3|STAT2|MED14|SP1|RARB|SMAD3|NR1I2|ATF4|FOXO3|MEF2C|POU1F1|ATF3|RBPJ|E2F1|NFYA|ETS2|ZEB1|PROX1|NR5A2|NR1I3|NFKB2|CHUK|SMARCA1|JUN|NCOA3|YBX1|NR5A1|ZBTB17|PIM2|ELK1|KLF5|WT1|GATA3|CDX2|SRY|PTMS|ETS1|CDK1|GLI3|ESRRA|NCOA1|MAP3K2|RARG|NFATC4|NFATC1|MITF|MECP2|HMGA1|PBX1|BRCA1|FLI1|HMGA2|HIF1A|HNF1A|SP7|CEBPG|NR1H3|MYC|NR4A3|CTNNB1|DLX5|NR1H2|TFAP2A","2013","2501|2219|2381|2465|2417|2495|2438|2396|2267|2399|2453|2156|2447|2477|2123|2270|2483|2183|2315|2504|2264|2312|2492|2456|2420|2366|2384|2387|2159|2441|2216|2207|2147|2486|2288|2411|2318|2372|2297|2327|2330|2339|2174|2120|2114|2225|2138|2309|2129|2141|2231|2201|2357|2489|2426|2375|2363|2444|2102|2480|2303|2369|2354|2222|2135|2117|2306|2414|2402|2258|2342|2168|2108|2210|2213|2435|2243|2171|2249|2300|2279|2153|2276|2180|2189|2165|2240|2237|2294|2498|2351|2285|2132|2162","7.66E-59","","GO:0045935","5.50343280287799","0"
