"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"1250","92","GO Biological Process","","Positive regulation of transcription by RNA polymerase II","3.28E-61","MYBL2|RELB|GSK3A|GLI1|NANOG|MAPK14|NFYB|MYOD1|RARA|ATF1|SMAD2|E2F3|MAPK3|EP300|EPAS1|ATF2|TP63|SRF|ASCL1|RB1|GATA6|WNT1|RUNX1|CEBPB|SMAD1|FOS|SP3|REST|TFE3|MAF|SP1|SMAD3|ATF4|HEY1|MYB|STAT5A|SMAD4|FOXM1|RBPJ|E2F1|NFYA|SREBF1|STAT1|E2F2|PARP1|PROX1|POU2F1|NFKB2|SMARCA1|RUNX2|NCOA3|ATRX|HDAC1|LHX2|TFDP1|ZBTB17|TP73|WT1|GATA3|E2F4|RPS6KA3|SRY|PAX3|ETS1|POU2AF1|NR2F2|GLI3|SOX10|NFE2L2|RELA|GLI2|NFIC|ERG|WWTR1|RNF4|CLOCK|FLI1|SMAD5|NKRF|AKT1|MRTFB|IRF3|NR1H3|MYC|NR2C2|TCF7L2|SIX1|CTNNB1|DLX5|NR1H2|TFAP2A|LDB1","67439","67603|67909|67582|67792|67849|67891|67894|67585|67939|67744|67681|67636|67567|67786|68002|67741|67705|67984|67897|67858|67888|67684|67774|67606|67933|67528|67804|67687|67669|67690|67765|67801|67783|67882|67942|67813|67876|67738|67558|67546|67708|67921|67594|67579|67642|67570|67657|67663|67981|67867|67870|67927|67654|67864|67948|67531|67753|67846|67699|67978|67777|67555|67993|67900|67843|67639|67726|67885|67810|67789|67714|67972|67552|67918|67834|67828|67597|67672|67819|67990|67780|67963|67717|67771|67633|67852|67693|67837|67759|67573|67609|67735","2.09E-65","","GO:0045944","6.048412615628832","0"
"1710","100","GO Biological Process","","Positive regulation of transcription, DNA-templated","1.63E-59","MYBL2|RELB|GSK3A|GLI1|NANOG|MAPK14|NFYB|SNAI1|MYOD1|RARA|NR0B2|DTX1|ATF1|SMAD2|E2F3|MAPK3|EP300|EPAS1|ATF2|TP63|SRF|PATZ1|ASCL1|RB1|GATA6|WNT1|RUNX1|CEBPB|SMAD1|FOS|SP3|REST|NSD3|TFE3|MAF|SP1|SMAD3|ATF4|HEY1|MYB|STAT5A|SMAD4|FOXM1|RBPJ|E2F1|NFYA|RET|SREBF1|STAT1|E2F2|PARP1|PROX1|POU2F1|NFKB2|SMARCA1|RUNX2|NCOA3|ATRX|HDAC1|LHX2|TFDP1|ZBTB17|TP73|WT1|GATA3|E2F4|RPS6KA3|SRY|PAX3|ETS1|POU2AF1|NR2F2|GLI3|SOX10|NFE2L2|RELA|MAP3K2|GLI2|NFIC|ERG|WWTR1|RNF4|CLOCK|FLI1|SMAD5|NKRF|AKT1|MRTFB|IRF3|NR1H3|MYC|NR2C2|TCF7L2|CTCF|SIX1|CTNNB1|DLX5|NR1H2|TFAP2A|LDB1","67439","67603|67909|67582|67792|67849|67891|67894|67906|67585|67939|67966|67924|67744|67681|67636|67567|67786|68002|67741|67705|67984|67621|67897|67858|67888|67684|67774|67606|67933|67528|67804|67687|67576|67669|67690|67765|67801|67783|67882|67942|67813|67876|67738|67558|67546|67708|67825|67921|67594|67579|67642|67570|67657|67663|67981|67867|67870|67927|67654|67864|67948|67531|67753|67846|67699|67978|67777|67555|67993|67900|67843|67639|67726|67885|67810|67789|67537|67714|67972|67552|67918|67834|67828|67597|67672|67819|67990|67780|67963|67717|67771|67633|67852|67855|67693|67837|67759|67573|67609|67735","2.07E-63","","GO:0045893","5.878781239559604","0"
"2586","113","GO Biological Process","","Regulation of transcription by RNA polymerase II","5.38E-58","MYBL2|RELB|GSK3A|CCND1|GLI1|NANOG|MAPK14|NFYB|SNAI1|MYOD1|RARA|NR0B2|DUSP26|ATF1|SMAD2|E2F3|MAPK3|EP300|EPAS1|ATF2|DNMT3A|TP63|SRF|CDK6|PATZ1|ASCL1|RB1|GATA6|JAZF1|WNT1|TLX3|PLK1|RUNX1|CEBPB|SMAD1|FOS|SP3|REST|TFE3|MAF|RLIM|SP1|IKZF1|SMAD3|ATF4|HEY1|MYB|STAT5A|SMAD4|FOXM1|RBPJ|E2F1|NFYA|SREBF1|DNMT1|STAT1|E2F2|PARP1|PROX1|POU2F1|NFKB2|SMARCA1|RUNX2|NCOA3|TSC22D3|ATRX|HDAC1|LHX2|TFDP1|ZBTB17|TP73|WT1|GATA3|E2F4|RPS6KA3|SRY|PAX3|URI1|ETS1|POU2AF1|NR2F2|GLI3|SOX10|NFE2L2|HMX1|RELA|BCL6|HOXD12|GLI2|NFIC|SATB1|ERG|WWTR1|RNF4|CLOCK|FLI1|SMAD5|NKRF|RITA1|AKT1|MRTFB|IRF3|NR1H3|MYC|NR2C2|TCF7L2|CTCF|SIX1|CTNNB1|DLX5|NR1H2|TFAP2A|LDB1","67439","67603|67909|67582|67732|67792|67849|67891|67894|67906|67585|67939|67966|67822|67744|67681|67636|67567|67786|68002|67741|67987|67705|67984|67615|67621|67897|67858|67888|67729|67684|67600|67588|67774|67606|67933|67528|67804|67687|67669|67690|67930|67765|67954|67801|67783|67882|67942|67813|67876|67738|67558|67546|67708|67921|67711|67594|67579|67642|67570|67657|67663|67981|67867|67870|67807|67927|67654|67864|67948|67531|67753|67846|67699|67978|67777|67555|67993|67660|67900|67843|67639|67726|67885|67810|67873|67789|67624|67543|67714|67972|67768|67552|67918|67834|67828|67597|67672|67819|67618|67990|67780|67963|67717|67771|67633|67852|67855|67693|67837|67759|67573|67609|67735","1.71E-61","","GO:0006357","5.726921772433361","0"
"1935","102","GO Biological Process","","Positive regulation of macromolecule biosynthetic process","1.93E-57","MAPK1|MYBL2|RELB|GSK3A|GLI1|NANOG|MAPK14|NFYB|SNAI1|MYOD1|RARA|NR0B2|DTX1|ATF1|SMAD2|E2F3|MAPK3|EP300|EPAS1|ATF2|TP63|SRF|PATZ1|ASCL1|RB1|GATA6|WNT1|RUNX1|CEBPB|SMAD1|FOS|SP3|REST|NSD3|TFE3|MAF|SP1|SMAD3|ATF4|HEY1|MYB|STAT5A|SMAD4|FOXM1|RBPJ|E2F1|NFYA|RET|SREBF1|STAT1|E2F2|PARP1|PROX1|POU2F1|NFKB2|SMARCA1|RUNX2|NCOA3|ATRX|HDAC1|LHX2|TFDP1|ZBTB17|TP73|WT1|GATA3|E2F4|RPS6KA3|SRY|PAX3|ETS1|POU2AF1|NR2F2|GLI3|SOX10|NFE2L2|RELA|MAP3K2|GLI2|NFIC|ERG|WWTR1|UHMK1|RNF4|CLOCK|FLI1|SMAD5|NKRF|AKT1|MRTFB|IRF3|NR1H3|MYC|NR2C2|TCF7L2|CTCF|SIX1|CTNNB1|DLX5|NR1H2|TFAP2A|LDB1","67439","67879|67603|67909|67582|67792|67849|67891|67894|67906|67585|67939|67966|67924|67744|67681|67636|67567|67786|68002|67741|67705|67984|67621|67897|67858|67888|67684|67774|67606|67933|67528|67804|67687|67576|67669|67690|67765|67801|67783|67882|67942|67813|67876|67738|67558|67546|67708|67825|67921|67594|67579|67642|67570|67657|67663|67981|67867|67870|67927|67654|67864|67948|67531|67753|67846|67699|67978|67777|67555|67993|67900|67843|67639|67726|67885|67810|67789|67537|67714|67972|67552|67918|67999|67834|67828|67597|67672|67819|67990|67780|67963|67717|67771|67633|67852|67855|67693|67837|67759|67573|67609|67735","7.38E-61","","GO:0010557","5.671444269099223","0"
"1931","102","GO Molecular Function","","Transcription regulator activity","3.0E-57","MYBL2|RELB|CCND1|GLI1|NANOG|NFYB|SNAI1|MYOD1|RARA|NR0B2|DTX1|ATF1|SMAD2|E2F3|EP300|EPAS1|ATF2|DNMT3A|TP63|SRF|PATZ1|ASCL1|RB1|GATA6|JAZF1|TLX3|RUNX1|CEBPB|SMAD1|FOS|SP3|REST|TFE3|MAF|RLIM|SP1|IKZF1|SMAD3|ATF4|HEY1|MYB|STAT5A|SMAD4|FOXM1|RBPJ|E2F1|NFYA|SREBF1|STAT1|E2F2|PROX1|KDM5B|POU2F1|NFKB2|RUNX2|NCOA3|HDAC1|LHX2|TFDP1|ZBTB17|SF1|TP73|WT1|GATA3|E2F4|SRY|PAX3|URI1|ETS1|POU2AF1|NR2F2|GLI3|SOX10|NFE2L2|HMX1|RELA|BCL6|HOXD12|GLI2|NFIC|SATB1|EWSR1|ERG|WWTR1|RNF4|CLOCK|FLI1|SMAD5|NKRF|MRTFB|IRF3|NR1H3|MYC|NR2C2|TCF7L2|CTCF|SIX1|CTNNB1|DLX5|NR1H2|TFAP2A|LDB1","67439","67603|67909|67732|67792|67849|67894|67906|67585|67939|67966|67924|67744|67681|67636|67786|68002|67741|67987|67705|67984|67621|67897|67858|67888|67729|67600|67774|67606|67933|67528|67804|67687|67669|67690|67930|67765|67954|67801|67783|67882|67942|67813|67876|67738|67558|67546|67708|67921|67594|67579|67570|67951|67657|67663|67867|67870|67654|67864|67948|67531|67678|67753|67846|67699|67978|67555|67993|67660|67900|67843|67639|67726|67885|67810|67873|67789|67624|67543|67714|67972|67768|67612|67552|67918|67834|67828|67597|67672|67819|67780|67963|67717|67771|67633|67852|67855|67693|67837|67759|67573|67609|67735","6.08E-61","","GO:0140110","5.652287874528033","0"
"2041","102","GO Biological Process","","Positive regulation of cellular biosynthetic process","2.06E-55","MAPK1|MYBL2|RELB|GSK3A|GLI1|NANOG|MAPK14|NFYB|SNAI1|MYOD1|RARA|NR0B2|DTX1|ATF1|SMAD2|E2F3|MAPK3|EP300|EPAS1|ATF2|TP63|SRF|PATZ1|ASCL1|RB1|GATA6|WNT1|RUNX1|CEBPB|SMAD1|FOS|SP3|REST|NSD3|TFE3|MAF|SP1|SMAD3|ATF4|HEY1|MYB|STAT5A|SMAD4|FOXM1|RBPJ|E2F1|NFYA|RET|SREBF1|STAT1|E2F2|PARP1|PROX1|POU2F1|NFKB2|SMARCA1|RUNX2|NCOA3|ATRX|HDAC1|LHX2|TFDP1|ZBTB17|TP73|WT1|GATA3|E2F4|RPS6KA3|SRY|PAX3|ETS1|POU2AF1|NR2F2|GLI3|SOX10|NFE2L2|RELA|MAP3K2|GLI2|NFIC|ERG|WWTR1|UHMK1|RNF4|CLOCK|FLI1|SMAD5|NKRF|AKT1|MRTFB|IRF3|NR1H3|MYC|NR2C2|TCF7L2|CTCF|SIX1|CTNNB1|DLX5|NR1H2|TFAP2A|LDB1","67439","67879|67603|67909|67582|67792|67849|67891|67894|67906|67585|67939|67966|67924|67744|67681|67636|67567|67786|68002|67741|67705|67984|67621|67897|67858|67888|67684|67774|67606|67933|67528|67804|67687|67576|67669|67690|67765|67801|67783|67882|67942|67813|67876|67738|67558|67546|67708|67825|67921|67594|67579|67642|67570|67657|67663|67981|67867|67870|67927|67654|67864|67948|67531|67753|67846|67699|67978|67777|67555|67993|67900|67843|67639|67726|67885|67810|67789|67537|67714|67972|67552|67918|67999|67834|67828|67597|67672|67819|67990|67780|67963|67717|67771|67633|67852|67855|67693|67837|67759|67573|67609|67735","1.05E-58","","GO:0031328","5.468613277963085","0"
"3460","122","GO Biological Process","","Regulation of transcription, DNA-templated","3.6E-55","MYBL2|RELB|GSK3A|CCND1|GLI1|NANOG|MAPK14|NFYB|SNAI1|MYOD1|RARA|NR0B2|DUSP26|DTX1|ATF1|SMAD2|E2F3|MAPK3|EP300|EPAS1|ATF2|DNMT3A|TP63|SRF|CDK6|PATZ1|ASCL1|RB1|GATA6|JAZF1|WNT1|TLX3|PLK1|RUNX1|CEBPB|SMAD1|FOS|SP3|REST|NSD3|TFE3|MAF|RLIM|PRKCH|SP1|IKZF1|SMAD3|ATF4|HEY1|MYB|STAT5A|SMAD4|FOXM1|RBPJ|E2F1|NFYA|RET|SREBF1|DNMT1|STAT1|E2F2|PARP1|PROX1|KDM5B|POU2F1|NFKB2|SMARCA1|RUNX2|NCOA3|TSC22D3|ATRX|HDAC1|LHX2|TFDP1|ZBTB17|SF1|TP73|WT1|GATA3|E2F4|RPS6KA3|SRY|PAX3|URI1|ETS1|POU2AF1|NR2F2|GLI3|SOX10|NFE2L2|HMX1|RELA|BCL6|HOXD12|MAP3K2|GLI2|NFIC|SATB1|EWSR1|ERG|WWTR1|CDK5|RNF4|CLOCK|FLI1|SMAD5|NKRF|RITA1|AKT1|MRTFB|IRF3|NR1H3|MYC|NR2C2|TCF7L2|CTCF|SIX1|CTNNB1|DLX5|NR1H2|TFAP2A|LDB1","67439","67603|67909|67582|67732|67792|67849|67891|67894|67906|67585|67939|67966|67822|67924|67744|67681|67636|67567|67786|68002|67741|67987|67705|67984|67615|67621|67897|67858|67888|67729|67684|67600|67588|67774|67606|67933|67528|67804|67687|67576|67669|67690|67930|67549|67765|67954|67801|67783|67882|67942|67813|67876|67738|67558|67546|67708|67825|67921|67711|67594|67579|67642|67570|67951|67657|67663|67981|67867|67870|67807|67927|67654|67864|67948|67531|67678|67753|67846|67699|67978|67777|67555|67993|67660|67900|67843|67639|67726|67885|67810|67873|67789|67624|67543|67537|67714|67972|67768|67612|67552|67918|67675|67834|67828|67597|67672|67819|67618|67990|67780|67963|67717|67771|67633|67852|67855|67693|67837|67759|67573|67609|67735","2.06E-58","","GO:0006355","5.444369749923271","0"
"3166","118","GO Biological Process","","Positive regulation of nitrogen compound metabolic process","6.51E-55","MAPK1|MYBL2|CSNK2A1|RELB|GSK3A|CCND1|GLI1|USP5|NANOG|MAPK14|SKP1|NFYB|SNAI1|MYOD1|RARA|NR0B2|DTX1|CCND2|CSNK1A1|ATF1|SMAD2|E2F3|MAPK3|EP300|EPAS1|ATF2|TP63|CASP6|SRF|PATZ1|ASCL1|RB1|GATA6|WNT1|FBXO33|PLK1|RUNX1|CEBPB|SMAD1|FOS|SP3|REST|NSD3|TFE3|GSK3B|MAF|SP1|CASP9|SMAD3|ATF4|HEY1|MYB|STAT5A|SMAD4|FOXM1|RBPJ|E2F1|NFYA|RET|SREBF1|DNMT1|STAT1|SMURF1|E2F2|PARP1|PROX1|POU2F1|NFKB2|SMARCA1|RUNX2|NCOA3|ATRX|HDAC1|LHX2|AMER1|TFDP1|ZBTB17|TP73|WT1|GATA3|E2F4|RPS6KA3|SRY|PAX3|ETS1|POU2AF1|NR2F2|GLI3|SOX10|NFE2L2|RELA|BCL6|MAP3K2|GLI2|NFIC|ERG|WWTR1|CDK5|UHMK1|RNF4|CLOCK|FLI1|SMAD5|NKRF|AKT1|MRTFB|IRF3|NR1H3|MYC|NR2C2|TCF7L2|CTCF|SIX1|CTNNB1|DLX5|NR1H2|TFAP2A|LDB1","67439","67879|67603|67957|67909|67582|67732|67792|67720|67849|67891|67960|67894|67906|67585|67939|67966|67924|67627|67996|67744|67681|67636|67567|67786|68002|67741|67705|67747|67984|67621|67897|67858|67888|67684|68005|67588|67774|67606|67933|67528|67804|67687|67576|67669|67945|67690|67765|67648|67801|67783|67882|67942|67813|67876|67738|67558|67546|67708|67825|67921|67711|67594|67903|67579|67642|67570|67657|67663|67981|67867|67870|67927|67654|67864|67540|67948|67531|67753|67846|67699|67978|67777|67555|67993|67900|67843|67639|67726|67885|67810|67789|67624|67537|67714|67972|67552|67918|67675|67999|67834|67828|67597|67672|67819|67990|67780|67963|67717|67771|67633|67852|67855|67693|67837|67759|67573|67609|67735","4.98E-58","","GO:0051173","5.418641901143181","0"
"3533","122","GO Biological Process","","Positive regulation of macromolecule metabolic process","2.39E-54","MAPK1|MYBL2|CSNK2A1|RELB|GSK3A|CCND1|GLI1|USP5|NANOG|MAPK14|SKP1|NFYB|SNAI1|MYOD1|RARA|NR0B2|DTX1|CCND2|CSNK1A1|ATF1|SMAD2|E2F3|MAPK3|EP300|EPAS1|ATF2|TP63|CASP6|SRF|CDK6|PATZ1|ASCL1|RB1|GATA6|WNT1|FBXO33|PLK1|RUNX1|CEBPB|SMAD1|FOS|SP3|REST|NSD3|TFE3|GSK3B|MAF|SP1|CASP9|SMAD3|ATF4|HEY1|MYB|STAT5A|SMAD4|FOXM1|RBPJ|E2F1|NFYA|RET|SREBF1|DNMT1|STAT1|SMURF1|E2F2|PARP1|PROX1|KDM5B|POU2F1|NFKB2|GLMN|SMARCA1|RUNX2|NCOA3|ATRX|HDAC1|LHX2|AMER1|TFDP1|ZBTB17|TP73|WT1|GATA3|E2F4|RPS6KA3|SRY|PAX3|ETS1|POU2AF1|NR2F2|GLI3|SOX10|NFE2L2|RELA|BCL6|MAP3K2|GLI2|NFIC|ERG|WWTR1|CDK5|UHMK1|RPS6KA2|RNF4|CLOCK|FLI1|SMAD5|NKRF|AKT1|MRTFB|IRF3|NR1H3|MYC|NR2C2|TCF7L2|CTCF|SIX1|CTNNB1|DLX5|NR1H2|TFAP2A|LDB1","67439","67879|67603|67957|67909|67582|67732|67792|67720|67849|67891|67960|67894|67906|67585|67939|67966|67924|67627|67996|67744|67681|67636|67567|67786|68002|67741|67705|67747|67984|67615|67621|67897|67858|67888|67684|68005|67588|67774|67606|67933|67528|67804|67687|67576|67669|67945|67690|67765|67648|67801|67783|67882|67942|67813|67876|67738|67558|67546|67708|67825|67921|67711|67594|67903|67579|67642|67570|67951|67657|67663|67840|67981|67867|67870|67927|67654|67864|67540|67948|67531|67753|67846|67699|67978|67777|67555|67993|67900|67843|67639|67726|67885|67810|67789|67624|67537|67714|67972|67552|67918|67675|67999|67915|67834|67828|67597|67672|67819|67990|67780|67963|67717|67771|67633|67852|67855|67693|67837|67759|67573|67609|67735","2.13E-57","","GO:0010604","5.362160209905186","0"
"2056","101","GO Biological Process","","Positive regulation of nucleobase-containing compound metabolic process","3.09E-54","MAPK1|MYBL2|RELB|GSK3A|GLI1|NANOG|MAPK14|NFYB|SNAI1|MYOD1|RARA|NR0B2|DTX1|ATF1|SMAD2|E2F3|MAPK3|EP300|EPAS1|ATF2|TP63|SRF|PATZ1|ASCL1|RB1|GATA6|WNT1|RUNX1|CEBPB|SMAD1|FOS|SP3|REST|NSD3|TFE3|MAF|SP1|SMAD3|ATF4|HEY1|MYB|STAT5A|SMAD4|FOXM1|RBPJ|E2F1|NFYA|RET|SREBF1|STAT1|E2F2|PARP1|PROX1|POU2F1|NFKB2|SMARCA1|RUNX2|NCOA3|ATRX|HDAC1|LHX2|TFDP1|ZBTB17|TP73|WT1|GATA3|E2F4|RPS6KA3|SRY|PAX3|ETS1|POU2AF1|NR2F2|GLI3|SOX10|NFE2L2|RELA|MAP3K2|GLI2|NFIC|ERG|WWTR1|RNF4|CLOCK|FLI1|SMAD5|NKRF|AKT1|MRTFB|IRF3|NR1H3|MYC|NR2C2|TCF7L2|CTCF|SIX1|CTNNB1|DLX5|NR1H2|TFAP2A|LDB1","67439","67879|67603|67909|67582|67792|67849|67891|67894|67906|67585|67939|67966|67924|67744|67681|67636|67567|67786|68002|67741|67705|67984|67621|67897|67858|67888|67684|67774|67606|67933|67528|67804|67687|67576|67669|67690|67765|67801|67783|67882|67942|67813|67876|67738|67558|67546|67708|67825|67921|67594|67579|67642|67570|67657|67663|67981|67867|67870|67927|67654|67864|67948|67531|67753|67846|67699|67978|67777|67555|67993|67900|67843|67639|67726|67885|67810|67789|67537|67714|67972|67552|67918|67834|67828|67597|67672|67819|67990|67780|67963|67717|67771|67633|67852|67855|67693|67837|67759|67573|67609|67735","2.95E-57","","GO:0045935","5.3510041520575164","0"
