# background genes,# genes,category,chart color,description,FDR value,genes,network.SUID,nodes.SUID,p-value,PMID,term name,transferred FDR value,year
515,9,KEGG Pathways,,Pathways in cancer,8.20E-10,RARA|SMAD2|CDK2|GSK3B|SMAD3|JUN|RXRB|MYC|CTNNB1,29626,29739|29730|29727|29745|29715|29733|29724|29736|29742,4.03E-12,,hsa05200,1,0
146,7,KEGG Pathways,,Gastric cancer,8.20E-10,SMAD2|CDK2|GSK3B|SMAD3|RXRB|MYC|CTNNB1,29626,29730|29727|29745|29715|29724|29736|29742,2.44E-12,,hsa05226,1,0
82,6,KEGG Pathways,,Colorectal cancer,1.25E-09,SMAD2|GSK3B|SMAD3|JUN|MYC|CTNNB1,29626,29730|29745|29715|29733|29736|29742,1.11E-11,,hsa05210,0.979848953,0
256,8,GO Cellular Component,,RNA polymerase II transcription regulator complex,2.32E-09,RARA|SMAD2|SMAD3|MYB|JUN|RXRB|MYC|CTNNB1,29626,29739|29730|29715|29748|29733|29724|29736|29742,1.13E-12,,GO:0090575,0.95029002,0
72,6,WikiPathways,,Chromosomal and microsatellite instability in colorectal cancer ,4.14E-09,SMAD2|GSK3B|SMAD3|JUN|MYC|CTNNB1,29626,29730|29745|29715|29733|29736|29742,5.30E-12,,WP4216,0.92260928,0
517,9,GO Cellular Component,,Transcription regulator complex,4.27E-09,RARA|SMAD2|CDK2|SMAD3|MYB|JUN|RXRB|MYC|CTNNB1,29626,29739|29730|29727|29715|29748|29733|29724|29736|29742,4.17E-12,,GO:0005667,0.921131483,0
1215,11,Reactome Pathways,,Generic Transcription Pathway,8.19E-09,RARA|SMAD2|CDK2|GSK3B|SMAD3|MYB|JUN|RXRB|WWP1|MYC|CTNNB1,29626,29739|29730|29727|29745|29715|29748|29733|29724|29751|29736|29742,3.59E-12,,HSA-212436,0.890001148,0
2540,12,Reactome Pathways,,Signal Transduction,1.42E-07,RARA|SMAD2|CDK2|GSK3B|PRKCD|SMAD3|MYB|JUN|RXRB|WWP1|MYC|CTNNB1,29626,29739|29730|29727|29745|29721|29715|29748|29733|29724|29751|29736|29742,2.48E-10,,HSA-162582,0.753639816,0
99,5,KEGG Pathways,,Th17 cell differentiation,3.88E-07,RARA|SMAD2|SMAD3|JUN|RXRB,29626,29739|29730|29715|29733|29724,4.62E-09,,hsa04659,0.705595084,0
120,5,KEGG Pathways,,Cell cycle,7.86E-07,SMAD2|CDK2|GSK3B|SMAD3|MYC,29626,29730|29727|29745|29715|29736,1.17E-08,,hsa04110,0.671852563,0
