,stat
AR,0.935006587187087
CEBPA,1.50755122903921
CREB1,0.461942573513353
CTCF,-0.422884228584946
E2F1,2.91843222151264
E2F4,6.65683839110738
EGR1,1.4282213789548
ESR1,0.951219164069008
ETS1,2.643244405713
FOS,3.20781471855315
FOXM1,3.2937158203528
FOXO3,1.07193404368718
FOXP1,4.00439351098889
GATA3,0.0556996922809335
HIF1A,2.92336893901179
HNF4A,0.742732358171507
JUN,2.76071257622569
MYC,5.86946531272789
NFKB1,2.68617663426898
PRDM14,1.39663174833229
RELA,1.922225631971
SP1,5.5896458488312
SP3,1.25488287566216
SPI1,1.18194587523699
STAT1,-1.44917910987331
STAT3,2.0821093426955
TFAP2A,1.62100582904776
TP53,2.18231277082984
USF1,4.14105833983107
YY1,1.65996268719643
ZNF263,0.828344198459867
