"Node1","Sign","Node2","Weight"
"ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1",1,"E2F3",100
"AEBP2_EED_EZH2_RBBP4_SUZ12",-1,"KDM5B",48.8372093023256
"AKT1",-1,"GSK3B",27.906976744186
"AKT1",1,"CTNNB1",27.906976744186
"AKT1",1,"DLX5",27.906976744186
"AKT1",1,"DNMT1",27.906976744186
"AKT1",1,"EP300",27.906976744186
"AKT1",1,"SMAD3",27.906976744186
"AMER1",1,"GSK3B",2.32558139534884
"AMER1",1,"WT1",100
"ATRX",1,"AEBP2_EED_EZH2_RBBP4_SUZ12",48.8372093023256
"BCL6",-1,"ZBTB17",100
"BIRC6_UBA52",1,"RNF4",69.7674418604651
"BTRC_CUL1_SKP1",-1,"ATF4",25.5813953488372
"BTRC_CUL1_SKP1",-1,"CDC25A",4.65116279069767
"BTRC_CUL1_SKP1",-1,"CTNNB1",25.5813953488372
"BTRC_CUL1_SKP1",-1,"SMAD3",25.5813953488372
"BTRC_CUL1_SKP1",-1,"WWTR1",25.5813953488372
"CAPN1_CAPNS1",1,"CDK5",97.6744186046512
"CASP6",1,"SATB1",100
"CASP9",1,"CASP6",76.7441860465116
"CCND1",1,"CDK6",90.6976744186046
"CCND2",-1,"RB1",2.32558139534884
"CCND2",1,"CDK6",2.32558139534884
"CCND3_CDK6",-1,"CDC25A",4.65116279069767
"CDC25A",1,"CDK6",6.97674418604651
"CDK5",1,"CLOCK",97.6744186046512
"CDK6",-1,"RB1",100
"CDK6",1,"RUNX1",100
"CDK6",1,"TFE3",100
"CEBPB",1,"E2F4",100
"CEBPB",1,"RUNX2",100
"CSNK1A1",-1,"CTNNB1",2.32558139534884
"CSNK1A1",-1,"ERG",2.32558139534884
"CSNK1A1",-1,"GLI2",2.32558139534884
"CSNK1A1",-1,"GLI3",2.32558139534884
"CSNK1A1",-1,"MYC",2.32558139534884
"CSNK2A1",-1,"IKZF1",100
"CSNK2A1",1,"AKT1",27.906976744186
"CSNK2A1",1,"CTNNB1",100
"CSNK2A1",1,"NKX2_5",100
"CSNK2A1",1,"RELA",100
"CSNK2A1",1,"SNAI1",100
"CSNK2A1",1,"SRF",100
"CSNK2A1",1,"TCF7L2",100
"CSNK2A1",1,"TFAP2A",100
"CSNK2A1",1,"VDR",100
"CSNK2A1_CSNK2B",-1,"SIX1",2.32558139534884
"CSNK2A1_CSNK2B",1,"CTNNB1",16.2790697674419
"CSNK2A1_CSNK2B",1,"MYC",16.2790697674419
"CSNK2A2",1,"CTNNB1",100
"CSNK2A2",1,"NKX3_1",100
"CSNK2A2",1,"RELA",100
"CSNK2A2",1,"TCF7L2",100
"CTNNB1",1,"MYOD1",100
"CTNNB1",1,"TCF7L2",100
"CUL1_FBXW7_RBX1_SKP1",-1,"MYBL2",100
"CUL1_FBXW7_RBX1_SKP1",-1,"MYC",100
"DTX1",-1,"ASCL1",74.4186046511628
"DUSP10",-1,"IRF3",2.32558139534884
"DUSP10",-1,"MAPK14",2.32558139534884
"DUSP26",-1,"MAPK14",2.32558139534884
"DUSP7",-1,"MAPK1",16.2790697674419
"DUSP7",-1,"MAPK14",4.65116279069767
"DUSP8",1,"MAPK14",2.32558139534884
"DUSP9",1,"MAPK1",9.30232558139535
"DUSP9",1,"MAPK3",2.32558139534884
"E2F1",1,"RELA",100
"E2F1",1,"TFDP1",100
"E2F1",1,"TP73",23.2558139534884
"E2F2",1,"TFDP1",100
"E2F3",1,"TFDP1",100
"EP300",-1,"BCL6",100
"EP300",1,"CTNNB1",100
"EP300",1,"FLI1",100
"EP300",1,"MYB",100
"EP300",1,"MYOD1",100
"EP300",1,"RELA",100
"EP300",1,"RUNX2",100
"EP300",1,"SMAD1",100
"EP300",1,"SMAD2",100
"EP300",1,"SMAD3",100
"EP300",1,"SMAD4",100
"EP300",1,"STAT5A",100
"EP300",1,"TP63",100
"ETS1",1,"STAT1",100
"FAM83B",1,"CSNK1A1",2.32558139534884
"FBXO33",1,"BTRC_CUL1_SKP1",25.5813953488372
"FOXM1",1,"CCND1",90.6976744186046
"FOXM1",1,"CDC25A",6.97674418604651
"FOXM1",1,"CTNNB1",100
"FOXM1",1,"FOS",100
"FOXM1",1,"MYC",100
"FRZB",1,"WNT1",60.4651162790698
"GLI1",1,"NANOG",100
"GLI2",1,"GLI1",100
"GLI2",1,"NANOG",100
