"Node","NodeType","ZeroAct","UpAct","DownAct","AvgAct"
"ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1","P",0,100,0,100
"AKT1","",3.2258064516129,96.7741935483871,0,96.7741935483871
"CAV1","",54.8387096774194,45.1612903225806,0,45.1612903225806
"CDC37_HSP90AA1","P",93.5483870967742,6.45161290322581,0,6.45161290322581
"CDK2","",96.7741935483871,0,3.2258064516129,-3.2258064516129
"CDK20","P",0,0,100,-100
"CEBPB","",0,100,0,100
"CTDSP2","P",0,0,100,-100
"CTNNB1","",0,100,0,100
"DLX5","M",0,100,0,100
"E2F1","M",0,100,0,100
"E2F3","M",0,100,0,100
"E2F4","M",0,100,0,100
"ETS1","M",0,100,0,100
"FBXO3","P",93.5483870967742,6.45161290322581,0,6.45161290322581
"FOS","M",0,100,0,100
"FRZB","P",0,100,0,100
"GSK3B","",87.0967741935484,0,12.9032258064516,-12.9032258064516
"GTF2H1","P",0,0,100,-100
"HIPK1","P",0,0,100,-100
"HIPK2","",87.0967741935484,0,12.9032258064516,-12.9032258064516
"HMGA1","M",0,100,0,100
"INPP4B","P",93.5483870967742,0,6.45161290322581,-6.45161290322581
"JUN","M",0,100,0,100
"KLF5","M",0,100,0,100
"MED14","P",0,100,0,100
"MRTFB","P",0,100,0,100
"MTCP1","P",93.5483870967742,6.45161290322581,0,6.45161290322581
"MYB","M",0,100,0,100
"MYC","M",0,100,0,100
"NFATC2","M",0,100,0,100
"NFKB2","M",0,100,0,100
"NFYA_NFYB_NFYC","P",0,0,100,-100
"NKRF","P",0,0,100,-100
"NR0B2","P",0,100,0,100
"NR1H3","M",0,100,0,100
"NR4A3","M",0,100,0,100
"PDK2","P",93.5483870967742,6.45161290322581,0,6.45161290322581
"PDPK2P","P",93.5483870967742,6.45161290322581,0,6.45161290322581
"PHLPP2","P",93.5483870967742,0,6.45161290322581,-6.45161290322581
"PLK1","",0,0,100,-100
"PPP2CA_PPP2R1A_PPP2R2A","P",93.5483870967742,0,6.45161290322581,-6.45161290322581
"PRKCD","",61.2903225806452,0,38.7096774193548,-38.7096774193548
"PRKDC_XRCC6","P",93.5483870967742,6.45161290322581,0,6.45161290322581
"PTPA","P",93.5483870967742,0,6.45161290322581,-6.45161290322581
"PTPN14","P",54.8387096774194,0,45.1612903225806,-45.1612903225806
"PTPRG","P",51.6129032258064,9.67741935483871,38.7096774193548,-29.0322580645161
"RARA","M",0,100,0,100
"REL","M",0,100,0,100
"REST","M",0,100,0,100
"RIOX1","P",0,0,100,-100
"RPS27A_UBE2V2","P",0,100,0,100
"RUNX2","M",0,100,0,100
"RXRB","",0,100,0,100
"SAE1_UBA2","P",0,0,100,-100
"SENP1","P",93.5483870967742,0,6.45161290322581,-6.45161290322581
"SMAD1","M",0,100,0,100
"SMAD2","M",0,100,0,100
"SMAD3","M",0,100,0,100
"SMURF2","",93.5483870967742,0,6.45161290322581,-6.45161290322581
"SP1","M",0,100,0,100
"SP7","M",0,100,0,100
"SRF","M",0,100,0,100
"STAT2","M",0,100,0,100
"STK40","P",0,0,100,-100
"TCL1B","P",74.1935483870968,25.8064516129032,0,25.8064516129032
"THEM4","P",93.5483870967742,0,6.45161290322581,-6.45161290322581
"TLX3","P",0,0,100,-100
"UBC_UBE2V1","P",80.6451612903226,0,19.3548387096774,-19.3548387096774
"VDR","M",0,100,0,100
"VRK2","P",0,100,0,100
"WNT1","",96.7741935483871,3.2258064516129,0,3.2258064516129
"WSB1","P",93.5483870967742,6.45161290322581,0,6.45161290322581
"WWP1","",19.3548387096774,80.6451612903226,0,80.6451612903226
