"Node","NodeType","ZeroAct","UpAct","DownAct","AvgAct"
"ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1","P",0,100,0,100
"ADCK5","P",0,100,0,100
"AEBP2_EED_EZH2_RBBP4_SUZ12","",20,0,80,-80
"AHR","M",0,100,0,100
"AKT1","",0,100,0,100
"AMER1","P",0,100,0,100
"APEX1","M",0,100,0,100
"ARNT","M",0,100,0,100
"ASB4","P",0,0,100,-100
"ASCL1","M",0,100,0,100
"ATF1","M",0,100,0,100
"ATF2","M",0,100,0,100
"ATF3","M",0,100,0,100
"ATF4","M",0,100,0,100
"ATF6","M",0,100,0,100
"ATRX","P",20,0,80,-80
"BCL6","M",0,0,100,-100
"BIRC6_UBC","P",98,0,2,-2
"BMAL1","M",0,100,0,100
"BRCA1","M",0,100,0,100
"CALM1","",0,0,100,-100
"CAPN1_CAPNS1","P",0,100,0,100
"CASP6","",0,100,0,100
"CAV1","",98,2,0,2
"CCND1","",83,17,0,17
"CCND2","",33,67,0,67
"CDK10","P",0,0,100,-100
"CDK2","",1,1,98,-97
"CDK5","",0,100,0,100
"CDK6","",0,100,0,100
"CDK9","",0,100,0,100
"CDKN2C","",84,16,0,16
"CDX2","M",0,100,0,100
"CEBPA","M",0,100,0,100
"CEBPB","M",0,100,0,100
"CEBPD","M",0,100,0,100
"CEBPE","P",0,100,0,100
"CEBPG","M",0,100,0,100
"CHUK","",0,100,0,100
"CLK4","P",0,100,0,100
"CLOCK","M",0,100,0,100
"CREM","M",0,0,100,-100
"CSNK2A1","",0,100,0,100
"CSNK2A1_CSNK2B","P",0,0,100,-100
"CSNK2A2","P",0,0,100,-100
"CTCF","M",0,100,0,100
"CTNNB1","M",0,100,0,100
"CUL1_FBXW7_RBX1_SKP1","P",0,0,100,-100
"DBP","M",0,100,0,100
"DCAF1","P",35,1,64,-63
"DLX5","M",0,100,0,100
"DNMT3B","M",0,100,0,100
"DTX1","",0,0,100,-100
"DUSP10","P",99,0,1,-1
"DUSP19","P",0,0,100,-100
"DUSP22","P",48,5,47,-42
"DUSP23","P",86,0,14,-14
"DUSP7","P",96,4,0,4
"DUSP8","P",97,0,3,-3
