"ensembl","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","hgnc_symbol"
"ENSG00000132204",161.570682110236,7.66278821611868,0.541926624837873,14.1398998774255,2.15590900906331e-45,4.58216900786315e-41,NA,"LINC00470"
"ENSG00000215105",170.001686756833,3.65721604584714,0.268844713745147,13.603451579539,3.81972663816465e-42,4.05922349837758e-38,NA,"TTC3P1"
"ENSG00000259129",222.821157484941,2.95780252205821,0.225020348626135,13.1446002111236,1.82768955639176e-39,1.29485712771835e-35,100506433,"LINC00648"
"ENSG00000102383",157.235078920365,5.04858884636893,0.390180002246405,12.9391276264863,2.70685690335937e-38,1.4382884156e-34,158866,"ZDHHC15"
"ENSG00000022556",465.160452629033,11.8265044052879,0.929676252759726,12.7210998131673,4.51460662173202e-37,1.91906898276585e-33,55655,"NLRP2"
"ENSG00000099290",275.053492160181,1.84425263737476,0.155293705436531,11.8759007790468,1.57923716356549e-32,4.79501523920299e-29,101930591,"FAM21A"
"ENSG00000166446",155.635904311181,3.81879595502431,0.333286357783009,11.4580026030066,2.14402330505187e-30,5.69613391569656e-27,124359,"CDYL2"
"ENSG00000226752",285.250909085545,2.62760472635121,0.241556861320492,10.8777896516256,1.47086338724494e-27,3.47352560361154e-24,253039,"PSMD5-AS1"
"ENSG00000152583",1203.22108454898,5.94052550861882,0.558180560215708,10.642659261231,1.88666500623387e-26,4.00991780424947e-23,8404,"SPARCL1"
"ENSG00000152402",2229.74266431004,1.80387203473135,0.17035188643486,10.5890933906454,3.34818832919368e-26,6.4693086135166e-23,2977,"GUCY1A2"
"ENSG00000262074",141.221621541106,2.13639453928687,0.202239303584016,10.5636960839284,4.39027352686989e-26,7.77590612834106e-23,780852,"SNORD3B-2"
"ENSG00000130414",1417.94370302444,-0.616698490394095,0.0595688052438441,-10.3527087352121,4.06810262043301e-25,6.65103485343717e-22,4705,"NDUFA10"
"ENSG00000187145",864.091165307614,-1.17420004477345,0.113906211343668,-10.3084812577144,6.45127230773913e-25,9.79395297347767e-22,54460,"MRPS21"
"ENSG00000185829",191.724967892109,-1.84086549412777,0.188133186767159,-9.78490571366392,1.30717061199251e-22,1.73641276170554e-19,100506084,"ARL17A"
"ENSG00000092377",43.2202768066615,4.16204035370067,0.43329063580718,9.60565498016631,7.56752485058897e-22,8.93556517635655e-19,90665,"TBL1Y"
"ENSG00000158270",410.873415422061,7.18836486439149,0.758122958055067,9.48179287807474,2.49951000670298e-21,2.7960308253929e-18,81035,"COLEC12"
"ENSG00000197565",501.598515032832,2.68221435393463,0.2836522098192,9.4559966786237,3.19959068400306e-21,3.40020501989005e-18,1288,"COL4A6"
"ENSG00000224897",116.562926082697,-1.91827748466539,0.203573905755703,-9.4230028035489,4.3836840805057e-21,4.43670578319372e-18,NA,"POT1-AS1"
"ENSG00000183098",1037.70145638389,2.23086174552081,0.240938349748789,9.25905630152605,2.06246964579693e-20,1.99253317508036e-17,10082,"GPC6"
"ENSG00000011465",519.288537801258,7.79594412180137,0.845419243406524,9.22139421665927,2.93261887712702e-20,2.59835937210621e-17,1634,"DCN"
"ENSG00000229676",76.7846110340771,8.84298923568209,0.95898030963538,9.22124171563475,2.93679329162093e-20,2.59835937210621e-17,57615,"ZNF492"
"ENSG00000178573",423.070195200167,2.76381472529874,0.300439634006425,9.19923476287964,3.60507896029348e-20,2.94701339315683e-17,4094,"MAF"
"ENSG00000168542",20288.5176211853,4.57463056183412,0.497800364867168,9.18968904945421,3.93978577883762e-20,3.10134099790425e-17,1281,"COL3A1"
"ENSG00000143869",36.3243504581735,6.17671896044448,0.674940962424839,9.15149517411653,5.61509219030896e-20,4.11528170389058e-17,151449,"GDF7"
"ENSG00000226864",29.8552255057213,-4.05178511542341,0.447406378154431,-9.05616306172743,1.35120019952327e-19,9.5728030135559e-17,100130887,"ATE1-AS1"
"ENSG00000085276",277.835073291721,5.80110825350057,0.641084802345743,9.04889373804244,1.44424040182168e-19,9.90189854848967e-17,2122,"MECOM"
"ENSG00000145681",247.894893498066,8.62563650351587,0.953849022958475,9.04297881100978,1.52459432048159e-19,1.01261649023486e-16,1404,"HAPLN1"
"ENSG00000126822",347.722598545791,2.90186844435069,0.322023838836168,9.01134665942242,2.03541533099419e-19,1.31093083166517e-16,26030,"PLEKHG3"
"ENSG00000164976",183.294146240884,-1.45062227173115,0.161089764893713,-9.00505548995165,2.15556776995196e-19,1.34748345242821e-16,57462,"KIAA1161"
"ENSG00000250312",415.28258162059,0.962212425976713,0.109864410471,8.75818130595352,1.98425826456771e-18,1.10982697776637e-15,NA,"ZNF718"
"ENSG00000188681",51.0196317778739,8.494100112512,0.973109272543258,8.72882455462822,2.57333051404581e-18,1.40239914732127e-15,100233156,"TEKT4P2"
"ENSG00000166435",275.528068357247,1.1911746728193,0.136597590080329,8.72031982496033,2.7741706386659e-18,1.47405556885512e-15,143570,"XRRA1"
"ENSG00000226278",43.4476382983592,8.18559809674507,0.94129636529251,8.69609019918119,3.43515418080225e-18,1.78075041362856e-15,NA,"PSPHP1"
"ENSG00000249669",61.8454657381052,6.17867572401939,0.717541956620981,8.61089120574323,7.24947644727275e-18,3.66858029548417e-15,728264,"MIR143HG"
"ENSG00000089472",280.44763166946,6.98708072881883,0.813378347617943,8.59019759904007,8.68198828953331e-18,4.29132509548235e-15,9843,"HEPH"
"ENSG00000255571",456.066203767586,-3.22766120115034,0.377189688454118,-8.55713000633357,1.15712021354167e-17,5.53365907143236e-15,254559,"LINC00925"
"ENSG00000163359",860.700026473654,7.23081644673077,0.845295865888274,8.55418408929791,1.18705339855083e-17,5.53365907143236e-15,1293,"COL6A3"
"ENSG00000134548",72.1738096108412,5.17745722081152,0.605326910528185,8.55315884815672,1.19764899447581e-17,5.53365907143236e-15,80763,"C12orf39"
"ENSG00000151617",269.45848346619,4.09001824199796,0.478639130502016,8.54509792734286,1.28427326983951e-17,5.60077555441005e-15,1909,"EDNRA"
"ENSG00000260075",26.2756864481369,4.17718243841375,0.48887531533651,8.54447403534468,1.29122989633054e-17,5.60077555441005e-15,728806,"NSFP1"
"ENSG00000187624",70.1494731754959,1.85326396508237,0.220353095234571,8.41042855835326,4.08515327547843e-17,1.73651695434037e-14,400566,"C17orf97"
"ENSG00000185585",121.835724989082,4.51901766973267,0.538136742695699,8.39752670872364,4.55980852111361e-17,1.90027784917154e-14,169611,"OLFML2A"
"ENSG00000213988",171.362275601025,1.58525730427129,0.189735429402094,8.35509377066187,6.53807546824261e-17,2.67231261542363e-14,7643,"ZNF90"
"ENSG00000185304",139.060533153165,1.21815674459714,0.146193819431729,8.33247772944332,7.91677543358018e-17,3.17477632198704e-14,729857,"RGPD2"
"ENSG00000100311",147.685557801025,4.82872423206897,0.58003639001077,8.32486429339255,8.44254052577497e-17,3.3229214136078e-14,5155,"PDGFB"
"ENSG00000179542",223.144387683781,5.61926426980425,0.682348693209166,8.23517993912495,1.79287952706285e-16,6.80022213352605e-14,139065,"SLITRK4"
"ENSG00000146674",1114.78308618572,4.46639529564726,0.542490020232592,8.23313817594709,1.82371629627828e-16,6.80022213352605e-14,3486,"IGFBP3"
"ENSG00000022267",1499.0328938235,1.26843036625532,0.155054112301172,8.18056578719795,2.82514198351698e-16,1.03526840892534e-13,2273,"FHL1"
"ENSG00000232561",95.965229947699,1.53969205080333,0.188364943232137,8.17398409907861,2.98369159293097e-16,1.07483696807042e-13,NA,"GTF2IP1"
