"","statistic"
"TSPAN6",2.64670096082334
"TNMD",0.300343053177413
"DPM1",0.665272726733834
"SCYL3",-1.24978870671896
"C1orf112",1.58317400579843
"CFH",2.63352525043685
"FUCA2",2.03387266307389
"GCLC",1.24415839823636
"NFYA",1.16822579284241
"STPG1",1.12491958561167
"NIPAL3",0.634868694275579
"LAS1L",1.22160661355643
"ENPP4",-1.18622376348874
"SEMA3F",-0.444346880814835
"ANKIB1",-0.251616488943272
"CYP51A1",-0.112140587094044
"KRIT1",-0.375899992904375
"RAD52",2.53160100386141
"BAD",1.58003487493062
"LAP3",2.22085304306425
"CD99",2.6959527578076
"HS3ST1",0.16426875708508
"HECW1",-1.36589306813784
"MAD1L1",0.966566042085088
"LASP1",1.83209544492504
"SNX11",1.88226786166472
"M6PR",1.35826073052462
"KLHL13",-1.31960877959773
"CYP26B1",-3.74229368971202
"ICA1",-0.777033719393472
"DBNDD1",-0.974138175585247
"ALS2",0.638547096578275
"CASP10",-2.68869922355743
"CFLAR",0.592233434645112
"TFPI",3.1244139048619
"NDUFAF7",-0.711276483208697
"RBM5",1.69697029094651
"MTMR7",-1.92585420881209
"SLC7A2",-3.24861631393349
"ARF5",2.13029533331382
"SARM1",-1.58439639004327
"POLDIP2",1.16308038945724
"PLXND1",0.48632482349551
"AK2",0.973417995979579
"CD38",3.42923060330099
"FKBP4",0.298089269612946
"KDM1A",0.879164815993277
"RBM6",1.9579612823152
"CAMKK1",-0.152508287906033
"RECQL",0.894067898447477
"CCDC132",-2.11941600369264
"ARHGAP33",-1.14334163601225
"NDUFAB1",0.819689137380082
"PDK4",3.21287750978116
"ZMYND10",5.10514957807212
"SLC25A13",1.0629784325749
"ST7",-1.5065438943043
"CDC27",-0.799127842471188
"CALCR",-3.60499834766448
"HCCS",1.25944229519926
"DVL2",3.0591390247922
"UPF1",1.60489691281411
"SKAP2",-1.20646360533504
"SLC25A5",1.35854077764608
"CCDC109B",3.68354669226412
"POLR2J",2.82368345127398
"DHX33",0.468034188904102
"THSD7A",-0.765596044399401
"LIG3",0.507701876832217
"RPAP3",0.368726207455852
"ACSM3",1.16622045445677
"CIAPIN1",1.39630941730764
"SPPL2B",2.39304322644019
"FAM214B",1.33141524190884
"COPZ2",2.92345956188359
"PRKAR2B",-1.01684704440472
"MSL3",2.16927266930386
"CREBBP",-1.34008668940122
"BZRAP1",-0.485619281398261
"PON1",0.153375444040526
"GCFC2",0.761606478257753
"WDR54",3.14792907175901
"CROT",-0.507822935513032
"ABCB4",-0.924899455832485
"KMT2E",-1.66043634380577
"RHBDD2",2.32728704617149
"SOX8",-1.87414622819342
"IBTK",-0.632855644147045
"ZNF195",-1.62088597610883
"MYCBP2",-2.00964849467168
"FBXL3",-0.840982524371027
"PDK2",2.37983778501689
