"ensembl","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","hgnc_symbol"
"ENSG00000000003",2220.80579485653,1.21271792210745,0.48102601583729,2.52110672225607,0.0116986365008003,0.0744408406745202,7105,"TSPAN6"
"ENSG00000000005",63.1761916070075,0.221790785837088,0.907227672578387,0.244470922284312,0.806866119502609,0.894223771673844,64102,"TNMD"
"ENSG00000000419",685.586875900063,0.0851715201769824,0.168418021322601,0.505715003110257,0.613056734411684,0.772069968389369,8813,"DPM1"
"ENSG00000000457",863.363389783893,-0.267761015454629,0.1534257406097,-1.74521572710401,0.0809473246426429,0.237849390144335,57147,"SCYL3"
"ENSG00000000460",382.728191133256,0.502598720261391,0.342456022698982,1.46762996398862,0.142204764205242,0.333418911764539,55732,"C1orf112"
"ENSG00000000971",49.3981633213632,2.09345606039268,0.867074211319233,2.41439087111994,0.0157615437075044,0.0898237058722512,3075,"CFH"
"ENSG00000001036",702.32629577177,0.987908682867063,0.516745510227004,1.91178958174804,0.0559031886041235,0.192596283542333,2519,"FUCA2"
"ENSG00000001084",655.363827142682,0.315900601472045,0.278515579388882,1.13422955428631,0.256698269989584,0.468165587698541,2729,"GCLC"
"ENSG00000001167",1148.15237583334,0.26058402852743,0.240554498928167,1.0832639991707,0.278691259921368,0.490843512810437,4800,"NFYA"
"ENSG00000001460",254.513879538803,0.644298593753319,0.630573822801742,1.02176552602611,0.306891889404656,0.517960870790489,90529,"STPG1"
"ENSG00000001461",552.192868814282,0.268837959291586,0.498062800426582,0.539767192131858,0.589357595210033,0.756735597303243,57185,"NIPAL3"
"ENSG00000001497",675.842861042093,0.206707157710105,0.178104741092057,1.16059323543366,0.245807357681491,0.457051296819793,81887,"LAS1L"
"ENSG00000001561",591.923347982121,-0.526271294186447,0.40112935490034,-1.31197402473125,0.189528898956975,0.392899670929626,22875,"ENPP4"
"ENSG00000001617",425.642657076959,-0.39877375785105,0.82836157358288,-0.481400599168608,0.630231810926575,0.783207247671502,6405,"SEMA3F"
"ENSG00000001629",5023.76963829388,-0.0781613123683981,0.110076568830304,-0.710063124232126,0.477664992422397,0.671649714536502,54467,"ANKIB1"
"ENSG00000001630",125.049452814812,-0.0876721519733178,0.403215278459078,-0.21743261393359,0.827871216865247,0.905662541503512,1595,"CYP51A1"
"ENSG00000001631",1621.50780446739,-0.110945546693396,0.164582113514366,-0.674104520377982,0.50024486582733,0.688802021438774,889,"KRIT1"
"ENSG00000002016",609.191978344469,0.403141061718092,0.144641712108532,2.7871701450519,0.00531705539649621,0.0451245717255844,5893,"RAD52"
"ENSG00000002330",400.178863766981,0.431547735588624,0.281210818672302,1.53460573681381,0.124880702642761,0.308171936929015,572,"BAD"
"ENSG00000002549",810.021733860641,0.674818807833098,0.31704742316231,2.12844753981057,0.0332999951164971,0.14212566922966,51056,"LAP3"
"ENSG00000002586",1323.24375278559,1.16796683952809,0.453367635333282,2.57620250874212,0.00998921228388577,0.0673104816826712,4267,"CD99"
"ENSG00000002587",118.043777278822,0.0585955544409157,0.654100664172208,0.0895818604848395,0.928619499678568,0.961984271942347,9957,"HS3ST1"
"ENSG00000002746",3266.34711190655,-0.834007514809609,0.586016816364256,-1.42318017422081,0.154683931350437,0.349386680921855,23072,"HECW1"
"ENSG00000002822",770.539465335105,0.202598939082402,0.229886928718749,0.881298211305732,0.378156433977999,0.586723304438886,8379,"MAD1L1"
"ENSG00000002834",3554.31606073724,0.363699563406406,0.201746450818124,1.80275569622924,0.0714265908512139,0.222013139999003,3927,"LASP1"
"ENSG00000002919",480.756566633954,0.257609394695198,0.119117871422664,2.16264269683871,0.0305686716199134,0.134275422729294,29916,"SNX11"
"ENSG00000003056",1291.14277957769,0.355788320436358,0.283526622196072,1.25486741837708,0.20952689343783,0.417372646697777,4074,"M6PR"
"ENSG00000003096",3003.6021257077,-0.380633151947498,0.235681542217083,-1.61503165825732,0.106303839246096,0.280065012392032,90293,"KLHL13"
"ENSG00000003137",686.981450910475,-2.47826268375917,0.668505083319154,-3.70717103818343,0.00020958739906445,0.00454415385400868,56603,"CYP26B1"
"ENSG00000003147",528.528467226941,-0.533787266153161,0.642951055308607,-0.83021446460952,0.40641753852513,0.611592900486005,3382,"ICA1"
"ENSG00000003249",736.880978738852,-0.644659265865785,0.630353300082577,-1.02269515489383,0.306452002942078,0.517499252938052,79007,"DBNDD1"
"ENSG00000003393",3424.37265616874,0.0667018199140991,0.147555416279598,0.452045892966125,0.651235921315105,0.796682459641235,57679,"ALS2"
"ENSG00000003400",24.4142972543234,-1.21746654240307,0.431533005772719,-2.8212593848367,0.00478355074972982,0.0422231592716513,843,"CASP10"
"ENSG00000003402",1254.41644441674,0.151282953989376,0.320110136551576,0.472596574476177,0.636501026851597,0.786983505048803,8837,"CFLAR"
"ENSG00000003436",956.175317955888,1.47701446877283,0.496334658402937,2.97584390645908,0.00292183539355484,0.0298742415789972,7035,"TFPI"
"ENSG00000003509",1012.67606679546,-0.192339846059133,0.181699404854477,-1.0585606827561,0.289799900792403,0.501538925485255,55471,"NDUFAF7"
"ENSG00000003756",6935.27368601382,0.215723028136991,0.12087522116845,1.78467535406915,0.0743139908317938,0.227454407133475,10181,"RBM5"
"ENSG00000003987",1257.26658539556,-1.20928626710851,0.616986109764881,-1.95998945190085,0.0499970231909356,0.180853176233659,9108,"MTMR7"
"ENSG00000003989",77.3498232793743,-2.29344863799992,0.732885851469379,-3.1293394918209,0.00175199760265952,0.0209656902525997,6542,"SLC7A2"
"ENSG00000004059",1283.27360491207,0.409239064679974,0.179687799471327,2.27750056422321,0.0227563509733367,0.111338229962252,381,"ARF5"
"ENSG00000004139",1791.91641866725,-0.469763372867891,0.246457305727869,-1.90606389808785,0.0566419159093372,0.193933048345271,23098,"SARM1"
"ENSG00000004142",1564.0274310991,0.182675368871852,0.166503549606175,1.09712597301335,0.272586327736464,0.484362822480913,26073,"POLDIP2"
"ENSG00000004399",59.3452761468763,0.373097976601914,0.91115106314254,0.409479823592706,0.682187570555659,0.816444702151731,23129,"PLXND1"
"ENSG00000004455",1220.55228589615,0.193956057940918,0.227014339454375,0.854378002760036,0.392895580083323,0.599976536799349,204,"AK2"
"ENSG00000004468",43.3250400595464,4.24816473521696,1.35222897361927,3.14160162080143,0.00168026488076652,0.0204544399539168,952,"CD38"
"ENSG00000004478",2705.68213083865,0.0108023773290839,0.142984365241505,0.0755493603152933,0.939777625866987,0.968627073509378,2288,"FKBP4"
"ENSG00000004487",8085.45211175505,0.116539740420667,0.147799935746226,0.788496556729002,0.430406311859947,0.631915047405904,23028,"KDM1A"
"ENSG00000004534",4707.63823854021,0.310849606254717,0.153751844124061,2.02176180731787,0.0432009651714121,0.166619404087197,10180,"RBM6"
"ENSG00000004660",288.801910031457,-0.122402647833033,0.516054625118906,-0.237189324298431,0.812509918014266,0.897431689005418,84254,"CAMKK1"
"ENSG00000004700",896.126145395799,0.214634045555166,0.274899832448243,0.780771831119892,0.434936704380649,0.636221530285282,5965,"RECQL"
"ENSG00000004766",2503.57507723061,-0.385180516640738,0.126864667299416,-3.03615281417691,0.0023961788777466,0.0259103550488134,55610,"CCDC132"
"ENSG00000004777",575.159929729804,-0.675462761969063,0.559980665794441,-1.20622514888222,0.227730689550255,0.43699203839564,115703,"ARHGAP33"
"ENSG00000004779",762.190383902966,0.083188621978988,0.113467124207655,0.733151761445416,0.46346587297769,0.659523124483551,4706,"NDUFAB1"
"ENSG00000004799",32.6528632447763,1.45780405104138,0.477154789266867,3.05520154849802,0.00224909324389433,0.0248245251159207,5166,"PDK4"
"ENSG00000004838",866.426128354424,3.39360255298749,0.699444716208533,4.85185244000859,1.22313615443729e-06,8.32440965029579e-05,51364,"ZMYND10"
"ENSG00000004864",723.154552873111,0.31513859044892,0.330913166752462,0.952330164259248,0.340929564536845,0.551589300972094,10165,"SLC25A13"
"ENSG00000004866",2039.76323617354,-0.544921475242503,0.314929346204866,-1.73029754708227,0.0835771275852527,0.242864165503668,102466616,"ST7"
