"ensembl","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","hgnc_symbol"
"ENSG00000000003",1709.23142971566,0.315351416520161,0.0906580013253949,3.4784730736373,0.000504279097777063,0.00429978482893311,7105,"TSPAN6"
"ENSG00000000005",2.83135341805719,1.64290564122201,1.27930234710614,1.28421998516485,0.199064994364754,0.409948082108636,64102,"TNMD"
"ENSG00000000419",893.592951936325,-0.0862583245885681,0.0791958657428683,-1.08917711523768,0.276075788634432,0.502964231752839,8813,"DPM1"
"ENSG00000000457",387.895850978153,-0.288734976191145,0.100355222976064,-2.8771295367458,0.00401310818394735,0.0243897614568867,57147,"SCYL3"
"ENSG00000000460",924.904338405557,0.225234673844917,0.13297211144878,1.69384896871159,0.0902939861586397,0.248948495644036,55732,"C1orf112"
"ENSG00000000971",18.9930272508235,-1.62775748326675,0.538688653462429,-3.02170367392058,0.00251356477744775,0.0165546601070199,3075,"CFH"
"ENSG00000001036",1039.15204047685,0.217593191148127,0.173133047301573,1.25679755852221,0.208826950362531,0.422669258284055,2519,"FUCA2"
"ENSG00000001084",710.906216694926,-0.0357724720174619,0.145162827180383,-0.246429975995233,0.805349404078273,0.904321429609901,2729,"GCLC"
"ENSG00000001167",700.322916332589,0.0014169366063055,0.113533626036264,0.0124803254839489,0.990042399480094,0.996428564428122,4800,"NFYA"
"ENSG00000001460",24.5046103891628,1.38056047649446,0.441840920086286,3.12456455193163,0.00178068446262304,0.0123724232019971,90529,"STPG1"
"ENSG00000001461",43.6168227139353,-0.0523210190744305,0.268139155936494,-0.1951263659785,0.845294022213262,0.925434785221846,57185,"NIPAL3"
"ENSG00000001497",881.091267474898,0.0538082768419758,0.122472130801432,0.439351193531668,0.660407085276704,0.821120832237243,81887,"LAS1L"
"ENSG00000001561",73.7475945361926,0.284129854519174,0.306854547715703,0.925943110943941,0.354475545508303,0.582375305292091,22875,"ENPP4"
"ENSG00000001617",5.55727123180767,0.798636296640189,0.652148493382136,1.22462338676633,0.220717152150021,0.437069230407903,6405,"SEMA3F"
"ENSG00000001626",16.7994225399953,3.79519842756852,0.563701985735839,6.73263270948812,1.66620293835812e-11,7.13996199814222e-10,1080,"CFTR"
"ENSG00000001629",1563.04916065091,-0.209363700316863,0.167643965646617,-1.24885914926511,0.211716595227558,0.426223587157078,54467,"ANKIB1"
"ENSG00000001630",66.1735843987272,0.814938245645717,0.274145118124492,2.97265277317703,0.00295238240258014,0.0188732258137123,1595,"CYP51A1"
"ENSG00000001631",1086.56927545625,-0.0508181564742826,0.108911186759871,-0.466601806353715,0.640784794395286,0.809374461465001,889,"KRIT1"
