"","CD28_146","CD28_147","CD28_148","AD28_144","AD28_145","AD28_149"
"TSPAN6",10.2903727981268,10.2847843493272,10.6092294882595,11.3577620876715,10.612125680695,12.3715639563155
"TNMD",6.53997971057592,6.55955882866364,6.55064457481534,6.20003159478288,5.35239340201832,7.60992208559789
"DPM1",9.35428182911164,9.46946851419383,9.48242421599979,9.63719510773428,9.34802823200737,9.66411701205842
"SCYL3",9.92774214651006,10.065067425479,9.7309822995614,9.68264205047134,9.72553757606797,9.6945372642554
"C1orf112",8.1065851623493,8.47169857869186,8.71549250624167,8.95527924634973,8.46559164067624,9.29421726396763
"FGR",4.69369021713362,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363
"CFH",5.57720259086192,5.9191063021519,5.47361308193151,6.50943248847352,5.65517175370181,7.70016132016177
"FUCA2",8.87387399584011,8.73691366920678,9.25464014631819,9.63175292568902,8.91030721908659,10.7012359579522
"GCLC",9.17200880566531,9.23157994175675,9.36835337044916,9.44421681138858,9.24141325883251,9.99123122331855
"NFYA",9.88607830651398,9.78186123824018,10.4219150802266,10.4044278545322,10.2509877950058,10.3863969653103
"STPG1",8.29744983537801,8.10014964592046,6.80245453698652,7.86102728440101,7.98609568421109,9.15523165716046
"NIPAL3",9.37853442123761,9.43517509250787,7.87733365983965,9.01089176181692,9.60723608048417,9.35263477574239
"LAS1L",9.46487660017413,9.4493949421875,9.13116715028471,9.69704379505989,9.46462493126924,9.60839800881214
"ENPP4",9.71956826929337,9.64562694204096,9.05941970941691,8.98549142337188,9.5564080431444,8.38157494733437
"SEMA3F",9.41884892860076,8.89684538435449,8.59230491366169,8.70324765170066,9.52535793388718,6.32067847384202
"CFTR",4.93604197008995,5.12195258835182,4.89459254737282,4.35914531646363,4.77129005736531,4.35914531646363
"ANKIB1",12.2961256466942,12.3930925106504,12.2566838145178,12.2119749391905,12.3527501141307,12.2753953069008
"CYP51A1",7.66554826543129,6.9515115614979,7.39795241231546,7.39340785111364,7.63137146054121,6.85958570585004
"KRIT1",10.6200758814537,10.7059406002699,10.8394573068432,10.5918781520466,10.5314010815931,10.829311819755
"RAD52",9.03523934076669,9.0245484389111,9.27811270555697,9.51982940210558,9.52865806359828,9.54858768062417
"MYH16",4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363
"BAD",8.59588952274796,8.11558970373651,8.84700767188746,9.05021340511687,9.10872121737479,8.75067654295841
"LAP3",9.34938190297005,9.36189019116929,9.33676990261132,9.91430299774581,9.50707082036055,10.4930809120431
"CD99",9.62748300556193,9.45745797530859,10.0044721232237,10.6702460088024,10.0055766171639,11.5485485273924
"HS3ST1",7.72018628609577,7.15804382781776,6.66141145307617,7.5001620700226,7.80615406493658,6.22433782903318
"AOC1",4.35914531646363,4.35914531646363,4.35914531646363,4.63435070154248,4.35914531646363,4.35914531646363
"WNT16",4.83121517338275,4.35914531646363,4.35914531646363,4.35914531646363,4.94005767761629,4.35914531646363
"HECW1",12.1619213177029,12.1759305155815,11.6563714633319,11.272083167924,11.9747124607827,9.57426564423739
"MAD1L1",9.54419203763214,9.1886170053536,9.81815444751581,9.71516753607789,9.89744712745175,9.68783249283328
"LASP1",11.7683421261011,11.614982446047,11.3703407286571,11.8460182318908,11.8939103109639,12.2120085903952
"SNX11",8.91760231042446,8.82379508586143,8.88684586081358,9.21222697508578,9.1392837639172,9.10323195376988
"TMEM176A",4.93604197008995,4.35914531646363,4.35914531646363,4.74775892618177,4.65106939178425,4.35914531646363
"M6PR",10.162214168389,10.1888207702316,10.1568442528019,10.4273725555729,10.1226240189503,10.976106432428
"KLHL13",11.8232175107638,11.8602999787028,11.4395611347329,11.2812311559778,11.6818373327148,11.1427926478416
"CYP26B1",9.83268430863214,9.742820795949,10.7995029649532,8.45410583560538,8.28946662498545,6.46104289464395
"ICA1",9.5160515450863,9.57142533787184,8.86927619264624,9.14692336485741,9.49024226765164,7.19613658853965
"DBNDD1",10.2116181107764,9.76734473197591,9.47664049874622,9.21587059522021,10.0635832424266,7.66613237644683
"ALS2",11.5779741062766,11.7014738461611,11.8044368127205,11.7340467081108,11.7302607947485,11.9394009018142
"CASP10",6.11549979506917,6.09044385623914,6.08129140569628,5.46806639867085,5.73856767623758,5.41617507933143
"CFLAR",10.1368625176643,10.4372082605285,10.1090674806812,10.1618078263273,10.0406599118544,10.9027684104484
"TFPI",8.60827069790383,8.89981002551605,9.5306701323112,10.2407616029774,9.68471006903218,11.1903872253021
"NDUFAF7",10.0535084658784,10.0438143797414,10.2083301265557,9.94643454765632,10.1730317805113,9.72432855162168
"RBM5",12.6479577117956,12.5376002821593,12.6990076387835,12.8167246980705,12.8412622300425,12.9907329136193
"MTMR7",10.9141781193729,10.9524707321568,10.4264198515645,9.71388051567838,10.3898614295908,7.95209874193102
"SLC7A2",7.35521249721184,6.98625834969872,7.66816578317164,6.01067142296754,6.33092239238749,5.05019389507091
"ARF5",10.3442796413194,9.9948174921214,10.0342957280472,10.7458334711338,10.4947697499072,10.4521407735523
"SARM1",11.0516325413081,11.0111217645039,11.0092066788292,10.6682548075344,10.9114767160042,10.1398356278572
"POLDIP2",10.6885496199164,10.4614503354156,10.4249198241628,10.7242732036208,10.6012022685768,10.9020448205582
"PLXND1",5.86282561446119,5.71739306116747,7.19809944180977,6.9783537152655,5.62581903243567,7.07543540462314
"AK2",10.1397014822729,10.1508106663916,10.2376782580765,10.3458315162541,10.0883849173856,10.7087036198622
"CD38",4.83121517338275,5.28817485412177,4.73884369284858,6.29217639916433,4.94005767761629,7.91212713702419
"FKBP4",11.5344261614515,11.3590110245052,11.2669861320588,11.4027628747026,11.5730514907687,11.34426156496
"KDM1A",12.871207119865,12.9048434446182,12.9280046714668,13.1879015060944,13.1438478345463,12.8237110477868
"RBM6",12.115823305839,12.0793941296533,11.8620947263632,12.427792988604,12.2131864823532,12.4656432158672
"CAMKK1",8.72275060461622,8.21446427409174,8.16454633028414,8.42915380219978,8.85610926545577,7.23414095591997
"RECQL",9.68304797458291,9.67875870507149,9.84757229232067,10.0500043461289,9.49193399828318,10.2934312746944
"CCDC132",11.4506238145094,11.5200908241141,11.4148413739298,11.1196583465423,11.2549426115339,10.9911536845221
"HSPB6",4.35914531646363,4.35914531646363,4.35914531646363,4.63435070154248,4.35914531646363,4.35914531646363
"ARHGAP33",9.3833363040657,9.13178469255873,9.93027262211801,9.03996938059517,9.53523572742048,7.62418579937893
"NDUFAB1",9.64357856838766,9.56770611586727,9.5334584250481,9.77686359995585,9.64573418163059,9.67940741627867
"PDK4",5.76444187264791,5.71739306116747,5.347210513538,6.32144390761088,6.19448388061127,6.64665399163247
"SLC22A16",5.10069735682757,4.67357758799739,4.35914531646363,4.35914531646363,4.86307003046385,4.35914531646363
"ZMYND10",7.39435247348355,7.47291255578027,7.73812613407604,10.6216815937404,8.55266102076521,11.5238343810264
"ABCB5",4.93604197008995,4.90163482965664,5.11215886063592,4.35914531646363,4.35914531646363,5.05019389507091
"ARX",4.35914531646363,4.35914531646363,4.35914531646363,4.63435070154248,4.94005767761629,5.05019389507091
"SLC25A13",9.3296137245527,9.4269859781032,9.42050480336168,9.63447658628158,9.16497327590915,10.2011339023374
"ST7",11.1562487327696,11.2737506559942,11.2794881206186,10.9047950653307,11.0889476600242,10.0551297291091
"CDC27",12.0925761123799,12.2055299214953,11.8900819201766,11.954557545831,12.0114163740476,11.804980307173
"SLC4A1",4.93604197008995,4.35914531646363,4.35914531646363,4.35914531646363,4.65106939178425,4.35914531646363
"CALCR",6.00985979576441,6.39210543799285,6.20855722136811,5.33425062111689,5.49895831974973,4.89645055827886
"HCCS",8.38650755076802,8.25681894698114,8.20725712468083,8.42600401730213,8.47933601443278,8.56885160539282
"DVL2",9.72146498814501,9.42081343769404,9.87200374727209,10.3956282903474,10.2479891762797,10.2508658845982
"PRSS22",4.35914531646363,4.35914531646363,4.73884369284858,4.35914531646363,4.35914531646363,4.35914531646363
"UPF1",10.1898695213908,9.72790357238785,10.1854773181096,10.375427299798,10.6707688973533,10.2394524375871
"SKAP2",8.60415550019937,8.54178938838774,8.26228873745202,8.17879856114713,8.44822369012853,7.39338780234918
"SLC25A5",10.8687120062949,10.7410194278752,10.8110318744229,11.0782707193376,10.8175310111245,11.3569893229199
"CCDC109B",6.18907254631381,6.19935158865004,6.84017546084478,8.14849461731031,6.96008449032927,8.47436884893244
"HOXA11",4.35914531646363,4.35914531646363,4.35914531646363,4.63435070154248,4.35914531646363,4.35914531646363
"POLR2J",8.41969810991715,8.02033778377793,8.40964231212225,8.99824767257549,8.69483886180968,9.13810638448359
"DHX33",9.46939948571259,9.36403664146526,9.75267666594499,9.58745917889371,9.38673993438227,9.92721712967762
"MEOX1",4.69369021713362,4.35914531646363,4.35914531646363,4.63435070154248,4.35914531646363,4.35914531646363
"THSD7A",13.1426151982964,13.1873590199004,12.9964941623964,13.1265093843839,13.0852876814671,12.3560625235725
"LIG3",10.7805330510367,10.7034020173622,10.7773408568665,10.8502214798618,10.7119689268116,10.9193115697876
"RPAP3",9.99670199667714,10.0303703358629,9.77640455969338,9.85599772839092,9.83352613568199,10.3304794057449
"ACSM3",6.06384755515677,5.7485845129491,5.58489807865243,6.37802484015514,5.79074889733666,6.1198742533909
"CIAPIN1",10.4714023279994,10.4534148391587,10.4052761336095,10.674220182913,10.560695180539,10.6624520949266
"SPPL2B",8.88747110678654,8.42711429763766,8.65008113587374,9.35453280577163,9.39399703894756,8.94338175237593
"FAM214B",9.83618942070654,9.59901759404474,9.8020617859411,9.8733925243788,9.98290729741661,10.0551297291091
"COPZ2",5.29120817812595,5.58239225866643,5.11215886063592,5.93358147913553,5.84055335441158,6.85958570585004
"PRKAR2B",12.7450342201661,12.8167800565772,12.2986414131219,12.2459669709785,12.7539707371202,11.1796802060885
"MSL3",9.52476885681864,9.42493140281602,9.28805637982016,9.82534030883442,9.66084993588446,9.85425241774374
