,CD28_146,CD28_147,CD28_148,AD28_144,AD28_145,AD28_149
TSPAN6,10.30750157,10.32835371,10.63899385,11.33291107,10.59673872,12.37507809
TNMD,6.587195975,6.623721657,6.606225289,6.231450961,5.416644162,7.632425921
DPM1,9.374052846,9.51456498,9.514524671,9.617091574,9.33712845,9.671994836
SCYL3,9.945706709,10.10897084,9.7624086,9.662331173,9.712889299,9.702309998
C1orf112,8.133520021,8.520175489,8.750506394,8.939144398,8.460869307,9.303554724
CFH,5.645957656,5.992616222,5.549981556,6.531821508,5.708502377,7.721581664
FUCA2,8.8957699,8.784275474,9.287462008,9.611674637,8.902046199,10.70649644
GCLC,9.192510225,9.277299019,9.400801785,9.425065511,9.231089858,9.998082164
NFYA,9.904152429,9.826273913,10.45195703,10.38153624,10.23652611,10.39227069
STPG1,8.322903815,8.150526067,6.854303794,7.85608497,7.986426417,9.1652144
NIPAL3,9.398214573,9.480355492,7.917593774,8.994364534,9.595090201,9.361717789
LAS1L,9.484244621,9.494540311,9.164426745,9.676668489,9.453138614,9.61647384
ENPP4,9.738111616,9.690320678,9.092950042,8.969141699,9.544490243,8.396395174
SEMA3F,9.438381163,8.943618724,8.627932957,8.689073462,9.513583229,6.365538651
ANKIB1,12.31101733,12.43507674,12.28506928,12.1861774,12.33505047,12.27896509
CYP51A1,7.696606965,7.01108301,7.442581935,7.395884801,7.63645748,6.893414857
KRIT1,10.63660196,10.74899212,10.86892515,10.56849586,10.51620195,10.83435774
RAD52,9.056347758,9.070892794,9.310855217,9.500290687,9.516868012,9.556884243
BAD,8.61934413,8.16587848,8.881415966,9.033416962,9.099172529,8.762897886
LAP3,9.369171452,9.407256355,9.369319301,9.893026196,9.495381756,10.49873215
CD99,9.646308787,9.502583624,10.03527356,10.64667621,9.991883844,11.55268167
HS3ST1,7.750676127,7.215521678,6.715298518,7.500774931,7.808777943,6.271444879
HECW1,12.17688625,12.21799348,11.68509299,11.24736118,11.95731133,9.582466384
MAD1L1,9.563288375,9.234459097,9.849369196,9.694712009,9.884134962,9.695628209
LASP1,11.78356519,11.65731242,11.39927792,11.82055989,11.87658366,12.21561711
SNX11,8.939276809,8.870829875,8.921080372,9.194389715,9.129550768,9.113471294
M6PR,10.17961556,10.23253003,10.18734368,10.40441752,10.10854885,10.98092824
KLHL13,11.83840028,11.90250049,11.46844221,11.25649503,11.66472692,11.14738559
CYP26B1,9.850903322,9.787311455,10.82901902,8.442195509,8.286435019,6.50277992
ICA1,9.53524267,9.616283073,8.903586809,9.129492732,9.478632918,7.224345462
DBNDD1,10.22891164,9.81178617,9.508757982,9.198011144,10.04969725,7.68795494
ALS2,11.5933493,11.74375568,11.8330622,11.70871031,11.7130982,11.94319664
CASP10,6.1713119,6.16122684,6.144979574,5.525130013,5.789039848,5.485314336
CFLAR,10.15432065,10.48057308,10.13965833,10.13964994,10.02684939,10.9076994
TFPI,8.631649996,8.946573007,9.562631019,10.21835179,9.672230796,11.19491943
NDUFAF7,10.07116007,10.08775278,10.23873424,9.92503504,10.15880088,9.73200038
RBM5,12.66268656,12.57953826,12.72722054,12.79052366,12.82327561,12.99396486
MTMR7,10.93026861,10.99528077,10.45645471,9.693430654,10.37501722,7.970769805
SLC7A2,7.389847104,7.045462357,7.710190103,6.048162499,6.363160571,5.130929716
ARF5,10.36130054,10.03883846,10.06503562,10.72209195,10.47965927,10.45787552
SARM1,11.06754733,11.05388005,11.03848365,10.64468965,10.895476,10.14628861
POLDIP2,10.70496643,10.50478451,10.45495704,10.70057978,10.58584013,10.90697692
PLXND1,5.924438496,5.794318329,7.244913692,6.989139137,5.680171747,7.105553429
AK2,10.15715322,10.19457786,10.26802949,10.32310638,10.07441855,10.71395108
CD38,4.921027207,5.373044056,4.833164646,6.320790436,5.020333436,7.931208442
FKBP4,11.54983903,11.40150133,11.2960122,11.37784705,11.55606477,11.34861034
KDM1A,12.88585132,12.94668265,12.95614687,13.16152426,13.12572624,12.82700769
RBM6,12.130815,12.12149605,11.89068523,12.40183189,12.19558814,12.46910636
CAMKK1,8.745460284,8.264210462,8.202705772,8.417489785,8.848228965,7.261772537
RECQL,9.701701295,9.723381753,9.87871835,10.02822662,9.480316596,10.29951228
CCDC132,11.4661124,11.56247699,11.44374219,11.09518534,11.23837503,10.99595375
ARHGAP33,9.402998634,9.177794822,9.961232578,9.023242427,9.523415186,7.646514747
NDUFAB1,9.662353745,9.612572283,9.565411379,9.756142031,9.633420521,9.687232156
PDK4,5.828447049,5.794318329,5.426495635,6.349187478,6.230589394,6.68453351
ZMYND10,7.428502404,7.527597696,7.779536989,10.59822683,8.5471673,11.52799204
SLC25A13,9.349478638,9.472186699,9.452790932,9.614385652,9.155088117,10.20743385
ST7,11.17204035,11.31630089,11.3085031,10.88071977,11.07263759,10.06180472
CDC27,12.10758162,12.24758145,11.91865599,11.92898959,11.99398275,11.80888206
CALCR,6.068036034,6.458488474,6.269897504,5.396589695,5.557821026,4.982277083
HCCS,8.411326429,8.306342338,8.24513344,8.414371359,8.474489171,8.582279559
DVL2,9.740002695,9.466029548,9.903093763,10.37276126,10.23353615,10.25704619
UPF1,10.2072101,9.772424562,10.21592334,10.35261726,10.65525175,10.24565985
SKAP2,8.627559766,8.58995359,8.299810744,8.169821801,8.443660189,7.418720515
SLC25A5,10.88486431,10.78403408,10.84053388,11.05386989,10.80170973,11.36132377
CCDC109B,6.243290806,6.268486651,6.891501917,8.139871163,6.977083217,8.488479318
POLR2J,8.444288921,8.07118021,8.446271459,8.981808448,8.688170913,9.148172693
DHX33,9.488751634,9.409397238,9.784049177,9.56758973,9.375640485,9.934251967
