"","TF","statistic"
"1","AHR",-0.941460698111618
"2","AR",2.49946051559168
"3","ARID2",-1.25866292226569
"4","ARID3A",1.47761768703281
"5","ARNT",-0.463670187661749
"6","ARNTL",-0.0985340557592259
"7","ASCL1",-0.880072768714531
"8","ATF1",1.3817089437903
"9","ATF2",1.03003107482561
"10","ATF3",-0.874416772560727
"11","ATF4",1.6429770524352
"12","ATF6",1.34051194018528
"13","ATF7",-0.678687229728642
"14","BACH1",0.11258341083536
"15","BACH2",-0.605660882916453
"16","BATF",0.341042486537526
"17","BCL11A",-0.83554867963114
"18","BCL6",0.619129581245734
"19","BHLHE22",0.431337105301108
"20","BHLHE40",-0.0281144400348731
"21","CDX2",0.642752099539359
"22","CEBPA",1.63967773769151
"23","CEBPB",-0.435086125828151
"24","CEBPD",-0.131007013566992
"25","CEBPG",-2.04652275804022
"26","CLOCK",-0.728298807023313
"27","CREB1",0.0710379184082003
"28","CREB3",1.94379348624683
"29","CREB3L1",1.60169169903398
"30","CREM",-0.820032345779337
"31","CTCF",-0.243707291120722
"32","CTCFL",1.17899989409425
"33","CUX1",0.940452746303964
"34","DUX4",0.151152797498436
"35","E2F1",4.64757572915665
"36","E2F2",3.29050108805472
"37","E2F3",1.80429965502834
"38","E2F4",7.93323799003784
"39","E2F5",1.34754346386679
"40","E2F6",-2.23166906490805
"41","E2F7",2.10210127570716
"42","EBF1",0.23312375664025
"43","EGR1",1.57170751882446
"44","EHF",1.1949615825874
"45","ELF1",0.907252793773639
"46","ELF3",0.600664665629793
"47","ELF5",1.27957136810873
"48","ELK1",1.8060050707652
"49","ELK4",0.799721209747238
"50","EOMES",-1.13883902399338
"51","EPAS1",1.85319085716595
"52","ERG",0.672089103081516
"53","ESR1",2.37756465247145
"54","ESR2",1.62179157081484
"55","ESRRA",1.68674464926567
"56","ETS1",3.07479808068507
"57","ETS2",0.678960336779591
"58","ETV1",-0.967660811395439
"59","ETV4",0.954219928737927
"60","FLI1",-0.382035808555706
"61","FOS",3.18417286407242
"62","FOSL1",1.33849549509355
"63","FOSL2",1.88987463250879
"64","FOXA1",-0.293523275030778
"65","FOXA2",0.546601197936833
"66","FOXJ2",2.64549324921033
"67","FOXK2",0.930365432592359
"68","FOXL2",0.250134602961556
"69","FOXM1",3.92852667804926
"70","FOXO1",-1.02259254353232
"71","FOXO3",1.7087811264175
"72","FOXO4",1.16460073187299
"73","FOXP1",2.23869123083893
"74","FOXP2",0.163891937105533
"75","GABPA",-0.455262489966903
"76","GATA1",1.20573650003473
"77","GATA2",-0.969409566707325
"78","GATA3",0.67512588839439
"79","GATA4",0.880768267400975
"80","GATA6",2.64458162884234
"81","GFI1B",0.863999697147158
"82","GLI2",1.07294987085845
"83","GRHL2",1.80800217550189
"84","HBP1",-0.820250243259151
"85","HHEX",0.463343936055843
"86","HIF1A",4.35820988060022
"87","HINFP",-0.556569145179137
"88","HMBOX1",0.338564786031572
"89","HNF1A",-0.174598737829561
"90","HNF1B",0.0494230637304968
"91","HNF4A",0.570018893717679
"92","HNF4G",1.64921525165175
"93","HOXA9",-2.28045765605059
"94","HOXB13",-1.3834810710886
"95","HSF1",0.923185375564575
"96","IKZF1",0.875061872209736
"97","IRF1",1.36152048308292
"98","IRF2",2.8823042231265
"99","IRF3",4.02151009120703
"100","IRF4",-1.15209296111031
"101","IRF9",0.539979009907638
"102","JUN",4.44759818367006
"103","JUNB",1.42569463079573
"104","JUND",-0.0115796656268613
"105","KDM5B",1.56567002499988
"106","KLF1",2.04432062119626
"107","KLF13",-0.747895806703689
"108","KLF3",1.23211999805856
"109","KLF4",-1.35041602281479
"110","KLF5",3.99545319902988
"111","KLF6",2.99161445332283
"112","KLF9",0.916797043110968
"113","LEF1",1.30895397062361
"114","LHX2",0.806361876102154
