"","P13555_106","P13555_109","P13555_110","P13555_116","P13555_118","P13555_119","P13555_120","P13555_210","P13555_211","P13555_212"
"TSPAN6",10.8384363572825,10.5232656918054,10.4750025241952,10.5811056751323,10.8944969078062,10.9178859419957,11.0581557924849,10.2601468117004,10.1732164589774,10.932555851282
"TNMD",4.81020568041892,4.71053199576477,4.76259711294854,6.00595668740216,5.58675018844661,4.83207515309658,5.16949691998761,4.33057497578978,4.33057497578978,8.1103738029311
"DPM1",9.82176975233708,9.41770088518545,9.68829626134292,9.40956161432527,9.60200494867275,9.6828604146722,9.60674836435343,9.3409516440979,9.14277944129134,9.60195624410046
"SCYL3",9.19212020355645,9.28102192458798,9.34515824055731,9.00482196839313,9.02903124716217,9.22759179317698,9.24401626557536,9.06023400748427,9.02370230352034,8.93350919254858
"C1orf112",9.57652066367714,9.27449002398073,9.42369793302263,9.48726319398128,9.72531488447207,9.9516202680938,9.94191230016635,9.32340638107393,9.02974540057325,9.74812155588692
"CFH",4.67050226832838,4.71053199576477,4.33057497578978,6.66904596789277,5.58675018844661,5.74297521239075,5.4660356986802,4.77880194166747,4.66572829409432,6.3507252146765
"FUCA2",9.01230298419712,8.81123899761297,9.38103207717123,9.41213466196787,9.30356915961466,9.46688980397819,9.46920600975564,8.27655062056802,8.31378525905501,9.73315156368057
"GCLC",9.45019300628217,9.43244257341923,9.35320779443586,9.15069286636485,9.49124105089754,9.55201252365157,9.63083855553677,9.22996937881446,8.99000365297597,9.48963797313043
"NFYA",9.70629680032732,9.53708015712807,9.71664072281577,9.67462166597459,9.65531856355644,9.91537417225556,9.84228788897407,9.71342687104759,9.60188797907391,9.73649169334014
"STPG1",5.94808552740883,5.2484107202343,6.49649360572891,6.34618513980724,6.05856773942189,5.62069244384807,5.16949691998761,5.56541656297302,5.55073370886971,6.3691458943688
"NIPAL3",7.0630816721423,6.47626170667088,6.79605384574881,7.30155044558415,7.08530575091377,7.10847303232754,6.56318523407975,6.6411626555235,6.45936161249345,7.04227396848571
"LAS1L",9.53563012055167,9.52887351735863,9.59975562437863,9.58398594474352,9.57151102312779,9.44161559205535,9.56067300194364,9.67936374066246,9.58558459999745,9.77110345363637
"ENPP4",7.362712546668,6.67600528654765,7.35037185673084,7.34594160300272,7.51671616123193,7.38147958331407,7.35507918848778,7.10995664611935,7.23837547111927,7.07502451280466
"SEMA3F",5.85653232194457,6.05377817311011,6.22536785936184,6.17468057364843,5.92207315401146,5.31917690005135,5.26535123602001,6.16592571766069,6.98277551790115,6.27425556534436
"CFTR",4.33057497578978,4.33057497578978,4.76259711294854,5.5693428452364,5.315401014419,4.94326711770608,4.92789986858822,4.33057497578978,4.33057497578978,6.12807287737411
"ANKIB1",11.0263772383545,11.1226773916062,11.2673607911805,10.9169535924483,10.7960017973457,10.8723015828089,10.8503419887981,10.8146348872343,10.9267813364568,10.7094797322216
"CYP51A1",6.16229423249609,6.08688124049194,6.14740543636066,6.55708305599815,6.03249821929372,5.95296984262176,6.03458461144422,6.28782175826809,6.36139568354061,6.66259638018523
"KRIT1",10.4639181086055,10.4279767316475,10.4262720568885,10.1701255717916,10.3732307548608,10.6411222118878,10.5429431384307,10.4659097775962,10.385780926932,10.2825696119995
"RAD52",8.72475486647548,8.5274898893791,8.71145564060508,8.65941036848197,8.68562651887106,8.88894098356348,8.86482765721654,8.91834607670754,8.83639814983797,8.75702326732455
"BAD",6.66294805527206,6.71658697024177,6.5562358078106,7.2202974494377,6.97515816917899,6.10290823971423,6.54913334396391,7.29544595837237,7.48124197615735,7.55403870643377
"LAP3",9.44787477832422,9.60110272273966,9.47991377927083,9.44517256741334,9.66305174960359,9.63684496994705,9.62285316225587,9.47808060391606,9.20550245816665,9.69588990955829
"CD99",10.1935952006161,10.0193851186006,10.20635160774,10.6535201209508,10.6558349300152,10.4617819153753,10.5112978098878,10.094304321123,9.96691246864822,10.9441531322468
"HS3ST1",5.00582285912278,5.2484107202343,5.28283831555634,6.09325372553309,5.5046369370078,5.25750113319982,5.4293193587106,5.56541656297302,5.46475892294492,6.44029624477829
"HECW1",8.71320236414539,9.77306499647663,9.24920147421608,9.24898680245135,8.62344958707656,8.70125371419349,8.51325976890974,9.1500938117718,9.65948776312457,7.05327751217852
"MAD1L1",8.30441748042429,8.53845637814065,8.69885945796993,9.09410661461485,8.74522230527865,8.22498258952886,8.74616833548039,9.02265735467822,9.28088094439898,9.02384980415919
"LASP1",10.4639181086055,10.5878576011581,10.8887202483069,11.427661498167,11.1155054321132,10.9003809678642,10.8530737121803,10.4975202985738,10.6128078803606,11.829052279669
"SNX11",8.42751750536605,8.65385942271621,8.74859457430422,8.46949624743851,8.45508754872285,8.47033633262737,8.41282843248847,8.31713196434475,8.38639093125607,8.40819648649033
"M6PR",10.5689185511812,10.4771187813865,10.7402311662706,10.2599445372536,10.6095841627173,10.6389015846997,10.660669437558,10.3868807653978,10.0656954892857,10.5054175250053
"KLHL13",9.82355844889816,10.0232837002111,10.0493410685971,9.25186310525006,9.65143635091952,9.88007509093293,9.47276513485378,9.70159614894559,9.49464545708927,8.78313973201008
"CYP26B1",7.49597719750312,8.71793119012105,6.02026690898822,5.77263541012584,5.1397380760095,5.43076458906773,5.30933797680237,9.34312984584735,9.45928627212631,5.3672571736407
"ICA1",7.60934992572536,7.26788642836652,7.94145479201353,7.38896759494916,7.72505789812545,7.81431654061548,8.09364447117301,6.9078037082647,6.95700574299979,7.26618069953389
"DBNDD1",7.0630816721423,7.39554689170093,7.51928536577842,7.37833436693559,7.0374362237135,6.28593903375769,6.26611863309234,7.30455626433422,7.40800703810622,6.89057036566184
"ALS2",10.9941940760126,11.1717863750237,11.1762326110769,10.8747027394556,11.0246857553799,11.1823757209094,11.0276507712971,11.0705040377927,10.9508332983806,10.9310996127837
