ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Score
SLC6A1,-2.0751510129947768,-17.574627668671944,-45.11686067876591,9.167637488188679e-12,9.423414574109143e-8,16.957624753877667,14.579578767685017
PCP4L1,-3.3350015849259407,-15.956713471790486,-41.21232575950968,2.0346964290432246e-11,1.0457322297067652e-7,16.379116030187593,23.280243718610983
TCEAL7,-2.8275154104483278,-18.11396778105047,-37.79353655796868,4.359876144155917e-11,1.4938388961926224e-7,15.79325798393927,19.29976129631449
TXNRD2,-3.217550849918462,-16.532809598570665,-35.04673943015429,8.464448813699658e-11,1.7678506984505819e-7,15.258718912750759,21.72668719888734
DGLUCY,-2.2979130953822438,-16.321328631164903,-34.98374798630311,8.599332125939204e-11,1.7678506984505819e-7,15.245715210843656,15.516783218783376
SMPD3,-1.3779189967444054,-14.781843390637748,-31.557914766533322,2.125777071147371e-10,3.5395384064127665e-7,14.481861697565186,8.889028988799087
CNTN2,-2.8315848873776535,-15.656442131424923,-30.840450757091556,2.601010547725663e-10,3.5395384064127665e-7,14.306590801461834,18.266705232756312
NLRP2,1.1701100304513972,-16.62798025750938,30.397815938479212,2.9526155646986936e-10,3.5395384064127665e-7,14.195564826335204,7.54844225628772
COMT,-2.718658370939373,-15.912782296966551,-29.749423730151957,3.567037841964165e-10,3.5395384064127665e-7,14.028790288583952,17.538210248221187
PNPO,-1.593782473342575,-16.20923748093021,-29.64497557540318,3.6787249491117077e-10,3.5395384064127665e-7,14.001453263934962,10.281575797165653
CPNE4,-1.5154459944790961,-16.469853128224596,-29.493674619412676,3.847472586934973e-10,3.5395384064127665e-7,13.961616972653545,9.776222991127609
SLC17A8,-1.5377553568699334,-18.32607793465654,-29.254426508820732,4.132158855623426e-10,3.5395384064127665e-7,13.89804761771856,9.920141878582037
TCEAL5,-4.167415510653463,-18.66575051972008,-26.455749810084082,9.965776619176311e-10,7.879862912962562e-7,13.098059511364141,25.435742796649993
NUDT19,-1.2024878479736714,-17.87027229210711,-25.850826695713366,1.2199479278503232e-9,8.617786012025877e-7,12.91033322975743,7.2926129663838175
TRIM4,-2.0150667912507068,-18.78665556050185,-25.761123556584696,1.2575813812665449e-9,8.617786012025877e-7,12.88201039834465,12.22058271504968
TUBB4A,-1.5718254549903765,-12.740192432687971,-25.522735655572227,1.364019922191824e-9,8.738315490101056e-7,12.806119320869275,9.523018129782702
RBKS,-1.3941784203534802,-16.010403985741142,-25.343236649840364,1.450780979291226e-9,8.738315490101056e-7,12.748371219483278,8.446730730200121
NRP2,-1.8427085480676944,-12.963465948649908,-25.069597113591037,1.5950958836397565e-9,8.738315490101056e-7,12.659320574799473,11.16418292848022
SLC4A10,-1.199917679919519,-17.852745456227826,-25.03364477293998,1.6152154325510271e-9,8.738315490101056e-7,12.647528318552325,7.269787993216039
RELN,-1.6738652779008092,-15.950999756645512,-24.535396187579124,1.925158499674894e-9,9.11192841198237e-7,12.481853947461744,10.11079858542224
GABRB3,-1.7754033612764957,-16.320698776046427,-24.505906696649525,1.945475482504869e-9,9.11192841198237e-7,12.47191487991109,10.72412817849969
GRM1,-1.1522017190787182,-17.136047472554893,-24.49907911019212,1.950213299577898e-9,9.11192841198237e-7,12.469611572682627,6.959747397348497
DIRAS2,-1.3323330522248078,-15.386761910720146,-23.895672475942902,2.4243218569116978e-9,1.0258633756828951e-6,12.262800492681048,7.979223372179992
GRM5,-1.1469690204027554,-14.799239738843461,-23.849730286822716,2.465362348967843e-9,1.0258633756828951e-6,12.24678662734286,6.8690947803791556
CHCHD2,1.745460030130861,-16.428626625266666,23.817027250216572,2.4950466380068466e-9,1.0258633756828951e-6,12.235363998499508,10.453403857518467
GLS,-1.808546998687584,-13.429924747803561,-23.633815258102533,2.6688723504598033e-9,1.0551284188606276e-6,12.171007590415922,10.809133224691186
PHYHIP,-1.310481641329769,-16.62659057700822,-23.33676070219936,2.980045884736948e-9,1.1345145055263366e-6,12.0653337423342,7.791062279759555
NELL1,1.711409071575149,-16.286177755670813,23.1275167127801,3.2234193526185683e-9,1.1833402687702237e-6,11.989893547192654,10.143333922005395
CLTC,-0.8568268143157631,-8.276352363336509,-22.589208212080763,3.957513529930004e-9,1.372949163644421e-6,11.791894608794305,5.023014856146958
DPP6,-2.394511390027091,-18.269071093081443,-22.556964351714132,4.007050774329471e-9,1.372949163644421e-6,11.77985191665067,14.037453175323563
PCDHGB4,-1.5025950113148951,-17.423516693104236,-22.261300817088845,4.494846200374297e-9,1.4723397024498921e-6,11.668439140134442,8.763122050316554
CDH7,-1.0492908030527701,-16.974098239256183,-22.161786693405745,4.673596160747038e-9,1.4723397024498921e-6,11.630535379577129,6.119455544697736
ME3,-1.5064202459884264,-17.338332974194802,-22.13295920183579,4.726842122856935e-9,1.4723397024498921e-6,11.619516829429251,8.785430788241833
CALB2,-2.7629311417447067,-11.715776029860022,-21.95568881221227,5.0694679324213516e-9,1.5326194375693845e-6,11.551376569484614,16.06524456748925
D2HGDH,-0.9868704627457934,-15.005697734449083,-21.78516423782939,5.425277776571741e-9,1.5810450693357517e-6,11.485200654142051,5.724890572293265
ATP8A1,-1.3036389399192085,-13.270984448543528,-21.73404979922969,5.537272351015377e-9,1.5810450693357517e-6,11.465243141707024,7.562482168179246
GRIK3,-1.458772764408021,-18.564500757298052,-21.64894365889785,5.7294890849808055e-9,1.5917140082302082e-6,11.431888369107284,8.458161366346273
PACSIN1,-1.946753697263059,-15.357471069874642,-21.575073127412583,5.902351975781823e-9,1.596586209448983e-6,11.402809410210317,11.284956678778597
ALDH1L2,-1.3417804597116607,-16.441362804555183,-21.421603788562376,6.280317949212143e-9,1.6552663641013234e-6,11.342014062279176,7.757010100147859
PDHB,-0.8184500263323091,-12.409551524758667,-21.19046152774262,6.901368760357899e-9,1.7734792371929713e-6,11.249462208524292,4.707048423034531
CKMT1A; CKMT1B,-1.2823166275310331,-13.231983044441368,-20.894848734392728,7.797303117449692e-9,1.943249195003793e-6,11.12933329606025,7.323914876646311
TCEAL9,-3.326345824975224,-21.724609882741024,-20.851231950913256,7.940117345087977e-9,1.943249195003793e-6,11.11143846184298,18.9983293902323
RNASEL,-0.8691531424145147,-16.86828077306119,-20.730487219284324,8.350861808199276e-9,1.9962443843367525e-6,11.061668783791887,4.95398716727985
SEMA5A,-1.1649618780321163,-15.78669555403602,-20.649274586254286,8.640390718073635e-9,2.0185130952517932e-6,11.028001350417725,6.634421116063665
PDE12,-0.8066047421673765,-13.287061716329793,-20.04435116113812,1.118369144517803e-8,2.5546036525552214e-6,10.772239378122183,4.511079363084742
PDHA1,-0.7979845650998829,-11.194055388832412,-19.953773942069198,1.163167735998627e-8,2.5991741648543233e-6,10.73316929500881,4.456875159041863
SCG2,-1.9827732387910437,-12.816281367694115,-19.70716027465291,1.2955773845273897e-8,2.833455305437668e-6,10.625743273732247,10.99979864573167
SLC7A14,-1.2932130559421449,-15.70655254459981,-19.567555814285342,1.3779007855372888e-8,2.9067426896064415e-6,10.56424019272636,7.159994884680299
SLC2A13,-1.0241795620969452,-14.980619652999168,-19.554903228372723,1.3856444380845962e-8,2.9067426896064415e-6,10.55864108961114,5.670465815291228
MAP1LC3A,-1.7380268695300067,-12.867049892439564,-19.48430088184835,1.4297518815966638e-8,2.9141664385172284e-6,10.527320969100398,9.620822791668438
ARMCX1,-0.9976753437084813,-16.44960589559188,-19.45907948481566,1.4458847004998409e-8,2.9141664385172284e-6,10.516100781403647,5.522617546201569
PHF24,-2.2372110937575798,-16.989686949214388,-19.36938378113109,1.5049179119509892e-8,2.9748175417200423e-6,10.476062315858506,12.364035851439615
IQSEC1,-0.8070272569665491,-12.91617219319252,-19.262902443555546,1.5785003579156018e-8,3.061397203587636e-6,10.428254129119338,4.4500131144062305
SLC12A5,-1.2259703000657858,-15.238481198259041,-19.12189686792542,1.682162584918447e-8,3.1369962692099576e-6,10.364477773454965,6.747110380134259
FBXO41,-0.8873117789882716,-15.038170183257936,-19.10547512813322,1.694718970263757e-8,3.1369962692099576e-6,10.357015367772874,4.8833079513475255
GRM7,-1.3407991190614972,-15.160894271762613,-19.086915070924324,1.709035811613558e-8,3.1369962692099576e-6,10.34857244876192,7.379069177621399
SFT2D3,-1.4206663241266604,-17.593185141091197,-18.796512411890543,1.9514737607745543e-8,3.519157681930113e-6,10.21523872628147,7.747690847702661
LRRC24,-1.0619509603160466,-21.8121465790929,-18.63798355191377,2.0997737896746028e-8,3.721305997252628e-6,10.141462567884194,5.765655252025185
CPNE7,-1.8196294694708683,-16.75665248916262,-18.482909469305024,2.2570442580152812e-8,3.875826681927173e-6,10.068604708636997,9.847171710126226
ACAD8,-0.808708373890223,-13.973205353535162,-18.444089023021863,2.298432622143724e-8,3.875826681927173e-6,10.05025794288617,4.376435068085425
GABRA2,-1.0547397958632345,-19.781921415831764,-18.42559273691656,2.318448279670277e-8,3.875826681927173e-6,10.041501191891534,5.707867482707326
SLC9A1,-0.8781257894857823,-16.367943019600038,-18.407888511862364,2.337788250603023e-8,3.875826681927173e-6,10.033110157203584,4.752096829180909
SGSM1,-1.4480088127617385,-17.36364207624545,-18.364162071476002,2.3863268554730397e-8,3.893500594826567e-6,10.012346764042114,7.833234998730557
ALCAM,-0.7311216627917219,-12.057173958635724,-18.30618554905481,2.4524179682954598e-8,3.938813171267036e-6,9.984730913817007,3.9514454490470543
SYNPR,-2.138926633177176,-16.862984586372363,-18.24751980892078,2.5213702020073262e-8,3.987256047143586e-6,9.956686639779836,11.548761914434358
EPCAM,-1.1544675763957102,-20.297049287864102,-18.2130896115793,2.5628381840599274e-8,3.9914263172654534e-6,9.940180673330193,6.232822538620255
SDR39U1,-0.7806678833794365,-14.7503213676537,-18.151895159221272,2.638423404109876e-8,4.047814055350062e-6,9.910757356818383,4.20996971557756
LIN7B,-1.05425120255644,-17.751626040185887,-18.046859393475966,2.7739987790711127e-8,4.158793769954004e-6,9.859994743801487,5.672960105665611
DYNC1I1,-1.588957178395722,-14.455085816027122,-18.03358251568873,2.7916798339023865e-8,4.158793769954004e-6,9.85355468116839,8.550230401247612
GABRA3,-1.8841933605196868,-15.922959706705699,-17.976384505426314,2.8692954560499684e-8,4.1679417909097275e-6,9.82574966244053,10.137107915534306
NDUFAF6,-0.7877866257104742,-18.72879507790748,-17.96697238835154,2.882295467753871e-8,4.1679417909097275e-6,9.821164801750392,4.238353773329874
CA8,-1.771552186896507,-14.72718942441884,-17.940319192651003,2.9194650155219418e-8,4.1679417909097275e-6,9.808166870575363,9.531089575444375
PEG10,-0.8254919941891004,-12.494216687023066,-17.87642023192007,3.010762474119959e-8,4.239401023490282e-6,9.776917531086703,4.435117122196292
IAH1,-2.502037378121317,-16.225726116137587,-17.74882236943616,3.202710224980128e-8,4.448737621969019e-6,9.71414322606039,13.390311583654258
PTPRN2,-1.7254911936268318,-16.829906173221012,-17.72020491006377,3.247601401131711e-8,4.450945973631048e-6,9.699995478159188,9.234048389332195
TMEM30A,-0.7214810111766976,-13.855004939043006,-17.671614444806583,3.325432358493926e-8,4.467083460685011e-6,9.67591544086308,3.8599060461413384
CLVS1,-0.8333235499842111,-14.76019001396752,-17.658805520819012,3.3462926984409564e-8,4.467083460685011e-6,9.669555482141902,4.4582609370827315
PALM2AKAP2,-1.3350125901407264,-14.415803078574674,-17.540969021827063,3.545163911897875e-8,4.671889724410032e-6,9.610805939499492,7.116294513386632
SHISA4,-0.9929260064427936,-17.538031375102687,-17.402774237651325,3.7952896544133835e-8,4.938200298444958e-6,9.541348251732348,5.268893637801127
LYRM1,-0.9037298811034553,-16.31852604131534,-17.333114086209516,3.9287506236136006e-8,5.00575560930535e-6,9.506105676033616,4.790247669596025
RCC2,0.750540626721822,-12.489145646869959,17.3250125560648,3.944607494442391e-8,5.00575560930535e-6,9.501996818758734,3.978263376332662
GPD1L,-0.7946906479298637,-13.011580105587601,-17.215605175751783,4.1658532301034655e-8,5.2220494331992105e-6,9.446300841914397,4.197682375149703
GABRA5,-1.2137181731760869,-18.611252595646057,-17.136581175756465,4.3342237429526184e-8,5.251173492416581e-6,9.405829875466658,6.408120796975862
RAP1GAP,-1.0349689326376499,-14.841026502443585,-17.133432490382873,4.3410871482101216e-8,5.251173492416581e-6,9.404213086705155,5.464370632355218
ZNF423,0.7416440761406129,-13.255129020820869,17.121720536628924,4.36672259182604e-8,5.251173492416581e-6,9.398196367261505,3.915690588890201
SLC1A6,-1.4193581743865913,-22.363514641346246,-17.10959863086068,4.393432438445627e-8,5.251173492416581e-6,9.391964295620266,7.49384728403901
COX20,-0.8489000673761495,-17.49930464913402,-17.05402188001208,4.518236336550078e-8,5.282746349964872e-6,9.363329350104124,4.479764706458548
NA,-0.6985707912732835,-17.676605912516774,-17.029610325476092,4.5742949614279955e-8,5.282746349964872e-6,9.350719436934344,3.6864560340790002
PRKAR1B,-1.471566996841073,-18.77584651987715,-17.012144067573917,4.614878176868575e-8,5.282746349964872e-6,9.341685017311015,7.765665416912713
CTSF,-1.5278198773176541,-19.76632670133309,-17.007633911785412,4.6254224291938756e-08,5.282746349964872e-6,9.339350492856905,8.062519756169065
TNPO3,0.7054083149846413,-12.41639684832297,16.968043020839794,4.71913786365226e-8,5.33055143961336e-6,9.318828579647203,3.7197787802181295
ALDH6A1,-1.3740172384275873,-13.030234464455212,-16.82614426638537,5.0727522236647905e-8,5.618342847685721e-6,9.244843909486647,7.214128790047345
SNPH,-0.9616876417986422,-15.477353747912495,-16.821163016616207,5.085688964332544e-8,5.618342847685721e-6,9.242234394721162,5.049236872509553
NCAM2,-1.3869097845575045,-12.585568959614418,-16.80120316671329,5.137895006152911e-8,5.618342847685721e-6,9.231769635453674,7.281819708044333
CLTA,-0.9085543605569235,-11.249321341345214,-16.744601610225068,5.289202779636241e-8,5.678867961915676e-6,9.20202027692201,4.766038342191504
PLCXD3,-1.4189090207617916,-18.506088562129886,-16.731753970515655,5.3242317614074435e-8,5.678867961915676e-6,9.195252431148425,7.443225293516606
HMX1,0.9608537098866776,-22.128673317350138,16.719099399667723,5.3589862078589405e-8,5.678867961915676e-6,9.188580768672491,5.040387038316284
STXBP6,-1.439649270060059,-17.67160809480857,-16.571107562680574,5.784675974839683e-8,6.036105414737415e-6,9.110148285823204,7.513879640539891
CACNA1E,-1.0133142692192916,-15.352471670455268,-16.561511749659303,5.8135464155949426e-8,6.036105414737415e-6,9.105036533159542,5.288733593174229
CYRIA,-0.908470561684215,-14.72334379070315,-16.52871577343676,5.913431792555478e-8,6.0784165395677756e-06,9.087541673829772,4.738772812536385
MAIP1,-0.6192543493472442,-15.01172976170923,-16.471167333298183,6.093340905120953e-8,6.119686295623608e-6,9.056751812236048,3.228340641918327
NDUFA10,-0.7132704628109874,-13.163130341271952,-16.465370142533253,6.111798378027862e-8,6.119686295623608e-6,9.053643726409447,3.7184721047173257
FECH,-1.2623203226198711,-14.968679458975146,-16.45898838298835,6.132188816511641e-8,6.119686295623608e-6,9.050220864911886,6.580817728496944
PPIL3,0.8040442145745672,-12.940815888702765,16.394688184933305,6.341901250394696e-8,6.268115668539143e-6,9.015653257642843,4.18333189267394
VAT1L,-1.7282066595663679,-11.036878900075768,-16.32240610616399,6.587200199760703e-8,6.412356240021964e-6,8.976619642305558,8.974546694644289
HNMT,0.9869273647484373,-15.830564873755234,16.31509101599168,6.612605909546922e-8,6.412356240021964e-6,8.972658991204547,5.125096394073318
TRIM67,-0.6607482666136786,-13.375695624297457,-16.241524454441475,6.874241212085115e-8,6.603768730749804e-6,8.932720867716487,3.422813552164684
TSPO,-2.4386002078058375,-17.88017803118857,-16.15088431017226,7.212520477469957e-8,6.864583147029045e-6,8.883245604571496,12.591433758586152
SLC18B1,-0.8268013529492961,-19.11196781587221,-16.131521639837512,7.28715428969267e-8,6.87198705905972e-6,8.872638007173933,4.268707312253853
ACAT1,-0.7632200209633719,-11.222995547774335,-16.105775941554164,7.387722195080752e-8,6.903490585748642e-6,8.858512386257729,3.938926066781442
TNR,-1.5682133953186792,-18.680287062867848,-16.037014577351833,7.663949622026015e-8,7.040660227042196e-6,8.82066692381349,8.080041705392524
PXMP2,1.0174827875513408,-16.036661812303823,16.03517276108881,7.671504479314389e-8,7.040660227042196e-6,8.819650822155214,5.242464694202673
NDUFA2,-0.6756421354170055,-14.571806657484565,-15.996481154939469,7.832137404972221e-8,7.124472600505262e-6,8.798276356386257,3.4776971433820987
RIT2,-1.8159516221980105,-19.14882576691389,-15.976584253320992,7.916192162551562e-8,7.137766599900659e-6,8.787263149359706,9.3456818122813
FRRS1L,-0.5818708909298991,-15.234805465286948,-15.920637374251447,8.15795335214498e-8,7.291791522321587e-6,8.756217097816826,2.9891672156695024
GABBR2,-0.7155503257543874,-15.111337566549263,-15.825675721883671,8.587286409902203e-8,7.609372155809029e-6,8.703253576485512,3.6626525157641097
NDUFS3,-0.608928986447058,-11.809556755072936,-15.768140860809039,8.8595718020907e-8,7.783550303734213e-6,8.67099938398415,3.1109099628332486
CERS4,-0.799770241048396,-18.139096307197562,-15.7233630569982,9.078116346478991e-8,7.85839296912686e-6,8.645810094984117,4.082560163250518
SORCS3,-0.6912289123017938,-15.94335714736648,-15.71941654348707,9.097662840024286e-8,7.85839296912686e-6,8.643586370225211,3.5284929048510625
SLC1A5,0.8076110698916317,-15.480655812675202,15.67454502455344,9.323218969685959e-8,7.986113982450163e-6,8.618261038418314,4.116930277235852
SCML2,0.9758889009623815,-16.358868169170844,15.605358209211886,9.683258053310377e-8,8.225967729750196e-6,8.579061106696027,4.9622125687532685
NDUFS1,-0.7167718566000758,-11.289216437774474,-15.554548398197198,9.957489376414175e-8,8.389592893455843e-6,8.550155768363627,3.6385196689219947
ALDOC,-1.4167635593227246,-13.461945112409042,-15.535140204643586,1.0064504449805957e-7,8.410816360939465e-6,8.539088195943542,7.190304365564811
CISD1,-0.7647814926349135,-14.09619067398229,-15.473298637809334,1.0414094621272774e-7,8.632780533230874e-6,8.503725114535897,3.8727382259756653
