	Sample_ID	Sample_Name	Day	StatusHNRNPU	ReplicateNumber
1	P13555_101	CTRL D0	D0	HNRNPU_WT	1
2	P13555_102	CTRL D0	D0	HNRNPU_WT	2
3	P13555_103	CTRL D0	D0	HNRNPU_WT	3
4	P13555_104	CTRL D0	D0	HNRNPU_WT	4
5	P13555_105	CTRL D0	D0	HNRNPU_WT	5
6	P13555_106	CTRL D5	D5	HNRNPU_WT	1
7	P13555_109	CTRL D5	D5	HNRNPU_WT	4
8	P13555_110	CTRL D5	D5	HNRNPU_WT	5
9	P13555_111	HNRNPUdel D0	D0	HNRNPU_KD	1
10	P13555_112	HNRNPUdel D0	D0	HNRNPU_KD	2
11	P13555_113	HNRNPUdel D0	D0	HNRNPU_KD	3
12	P13555_114	HNRNPUdel D0	D0	HNRNPU_KD	4
13	P13555_115	HNRNPUdel D0	D0	HNRNPU_KD	5
14	P13555_116	HNRNPUdel D5	D5	HNRNPU_KD	1
15	P13555_118	HNRNPUdel D5	D5	HNRNPU_KD	3
16	P13555_119	HNRNPUdel D5	D5	HNRNPU_KD	4
17	P13555_120	HNRNPUdel D5	D5	HNRNPU_KD	5
18	P13555_122	siNTC D0	D0	HNRNPU_WT	2
19	P13555_123	siNTC D0	D0	HNRNPU_WT	3
20	P13555_124	siNTC D0	D0	HNRNPU_WT	4
21	P13555_126	siNTC D5	D5	HNRNPU_WT	1
22	P13555_127	siNTC D5	D5	HNRNPU_WT	2
23	P13555_128	siNTC D5	D5	HNRNPU_WT	3
24	P13555_129	siNTC D5	D5	HNRNPU_WT	4
25	P13555_130	siNTC D5	D5	HNRNPU_WT	5
26	P13555_131	siHNRNPU D0	D0	HNRNPU_KD	1
27	P13555_132	siHNRNPU D0	D0	HNRNPU_KD	2
28	P13555_133	siHNRNPU D0	D0	HNRNPU_KD	3
29	P13555_134	siHNRNPU D0	D0	HNRNPU_KD	4
30	P13555_135	siHNRNPU D0	D0	HNRNPU_KD	5
31	P13555_136	siHNRNPU D5	D5	HNRNPU_KD	5
32	P13555_137	siHNRNPU D5	D5	HNRNPU_KD	2
33	P13555_139	siHNRNPU D5	D5	HNRNPU_KD	4
34	P13555_140	siHNRNPU D5	D5	HNRNPU_KD	1
35	P13555_210	CTRL D5	D5	HNRNPU_WT	2
36	P13555_211	CTRL D5	D5	HNRNPU_WT	3
37	P13555_212	HNRNPUdel D5	D5	HNRNPU_KD	2
38	P13555_213	siNTC D0	D0	HNRNPU_WT	1
39	P13555_214	siNTC D0	D0	HNRNPU_WT	5
40	P13555_215	siHNRNPU D5	D5	HNRNPU_KD	3
41	P16902_146	CTRL D28	D28	HNRNPU_WT	2
42	P16902_147	CTRL D28	D28	HNRNPU_WT	3
43	P16902_148	CTRL D28	D28	HNRNPU_WT	1
44	P16902_144	HNRNPU D28	D28	HNRNPU_KD	2
45	P16902_145	HNRNPU D28	D28	HNRNPU_KD	3
46	P16902_149	HNRNPU D28	D28	HNRNPU_KD	1
47	P21001_118	siNTC D28	D28	HNRNPU_WT	3
48	P21001_110	siNTC D28	D28	HNRNPU_WT	1
49	P21001_113	siHNRNPU D28	D28	HNRNPU_KD	2
50	P21001_120	siNTC D28	D28	HNRNPU_WT	4
51	P21001_119	siHNRNPU D28	D28	HNRNPU_KD	3
52	P21001_112	siNTC D28	D28	HNRNPU_WT	2
53	P21001_121	siHNRNPU D28	D28	HNRNPU_KD	4
