GeneId	CD28_146	CD28_147	CD28_148	AD28_144	AD28_145	AD28_149
ENSG00000000003	1093	1233	1064	3449	1808	5478
ENSG00000000005	51	59	40	51	12	163
ENSG00000000419	554	683	472	1009	725	803
ENSG00000000457	842	1053	566	1043	956	821
ENSG00000000460	213	322	266	609	372	612
ENSG00000000938	1	0	0	0	0	0
ENSG00000000971	14	27	9	73	21	176
ENSG00000001036	387	395	399	1005	523	1692
ENSG00000001084	484	573	434	876	670	1018
ENSG00000001167	817	858	931	1755	1397	1352
ENSG00000001460	248	240	52	258	254	552
ENSG00000001461	564	666	137	635	877	639
ENSG00000001497	601	673	364	1054	790	771
ENSG00000001561	724	777	345	623	845	306
ENSG00000001617	581	446	242	503	826	46
ENSG00000001626	3	6	2	0	2	0
ENSG00000001629	4500	5454	3394	6279	6155	5122
ENSG00000001630	148	88	91	173	189	82
ENSG00000001631	1383	1665	1253	2006	1707	1853
ENSG00000002016	437	491	406	926	828	738
ENSG00000002079	0	0	0	0	0	0
ENSG00000002330	313	243	294	654	607	407
ENSG00000002549	552	631	424	1234	815	1459
ENSG00000002586	677	677	690	2121	1171	3078
ENSG00000002587	155	107	45	190	219	41
ENSG00000002726	0	0	0	1	0	0
ENSG00000002745	2	0	0	0	4	0
ENSG00000002746	4097	4686	2229	3247	4725	752
ENSG00000002822	637	555	603	1068	1083	817
ENSG00000002834	3110	3163	1823	4860	4465	4900
ENSG00000002919	400	422	303	738	621	531
ENSG00000002933	3	0	0	2	1	0
ENSG00000003056	997	1151	770	1784	1274	2056
ENSG00000003096	3232	3757	1914	3268	3848	2313
ENSG00000003137	786	834	1218	415	324	54
ENSG00000003147	624	736	299	703	805	113
ENSG00000003249	1033	849	470	740	1221	171
ENSG00000003393	2721	3361	2473	4493	3981	4049
ENSG00000003400	31	34	23	17	24	12
ENSG00000003402	979	1375	744	1475	1201	1952
ENSG00000003436	316	447	489	1561	928	2392
ENSG00000003509	922	1037	799	1263	1321	839
ENSG00000003756	5753	6033	4622	9577	8655	8437
ENSG00000003987	1704	1983	934	1067	1543	217
ENSG00000003989	113	91	115	40	53	5
ENSG00000004059	1136	1001	705	2238	1663	1417
ENSG00000004139	1878	2067	1413	2118	2236	1133
ENSG00000004142	1452	1399	933	2204	1794	1951
ENSG00000004399	22	20	76	118	20	101
ENSG00000004455	981	1120	816	1683	1243	1701
ENSG00000004468	2	9	1	57	4	210
ENSG00000004478	2639	2642	1695	3560	3565	2666
ENSG00000004487	6722	7794	5422	12403	10686	7510
ENSG00000004534	3967	4380	2575	7301	5583	5850
ENSG00000004660	345	263	173	407	502	117
ENSG00000004700	705	796	616	1361	806	1265
ENSG00000004766	2488	2959	1881	2916	2850	2078
ENSG00000004776	0	0	0	1	0	0
ENSG00000004777	566	532	654	649	832	165
ENSG00000004779	685	734	490	1117	902	812
ENSG00000004799	19	20	7	59	45	66
ENSG00000004809	5	1	0	0	3	0
ENSG00000004838	117	142	122	2049	398	3025
ENSG00000004846	3	3	4	0	0	5
ENSG00000004848	0	0	0	1	4	5
ENSG00000004864	544	662	451	1007	633	1184
ENSG00000004866	2022	2488	1710	2505	2535	1066
ENSG00000004897	3903	4784	2626	5244	4848	3685
ENSG00000004939	3	0	0	0	1	0
ENSG00000004948	27	49	27	13	16	3
ENSG00000004961	266	272	179	406	376	354
ENSG00000004975	725	659	627	1744	1394	1227
ENSG00000005001	0	0	1	0	0	0
ENSG00000005007	1017	825	786	1719	1885	1217
ENSG00000005020	315	340	187	334	367	135
ENSG00000005022	1650	1707	1228	2832	2092	2690
ENSG00000005059	34	39	54	326	103	329
ENSG00000005073	0	0	0	1	0	0
ENSG00000005075	273	225	210	629	444	545
ENSG00000005100	603	632	575	973	746	972
ENSG00000005102	1	0	0	1	0	0
ENSG00000005108	8121	9489	5687	11884	10259	5419
ENSG00000005156	1550	1662	1199	2410	1941	1975
ENSG00000005175	885	1027	585	1183	1034	1299
ENSG00000005187	29	21	11	63	26	36
ENSG00000005189	313	350	223	378	344	263
ENSG00000005194	1244	1391	920	2127	1743	1646
ENSG00000005206	391	311	253	820	750	471
ENSG00000005238	788	751	596	1198	1152	1066
ENSG00000005243	8	16	4	36	28	82
ENSG00000005249	6156	7330	3495	6430	8144	2374
ENSG00000005302	628	661	409	1157	912	922
ENSG00000005339	2326	2856	2669	3512	3002	2275
ENSG00000005379	1594	1370	823	1596	2273	548
ENSG00000005381	0	1	2	0	4	0
ENSG00000005421	3	5	3	7	9	1
ENSG00000005436	499	621	487	909	580	1108
ENSG00000005448	395	378	304	1244	653	1451
ENSG00000005469	288	384	323	404	299	493
ENSG00000005471	19	22	37	31	8	32
ENSG00000005483	3997	5461	3588	5105	5323	2916
ENSG00000005486	1403	1266	952	2349	2176	2016
ENSG00000005513	112	91	218	101	144	44
