name,solution
aD1,0
aD2,0
aD3,0
aD4,0
aD5,0
aD6,0
aD7,0
aD8,0
aD9,0
aD10,0
aD11,0
aD12,0
aD13,0
aD14,0
aD15,0
aD16,0
aD17,0
aD18,0
aD19,0
aD20,0
aD21,0
aD22,0
aD23,0
aD24,0
aD25,0
aD26,0
aD27,0
aD28,0
aD29,0
aD30,0
aD31,0
aD32,0
nU1,0
nU2,0
nU3,0
nU4,0
nU5,0
nU6,0
nU7,0
nU8,0
nU9,0
nU10,0
nU11,0
nU12,0
nU13,0
nU14,0
nU15,0
nU16,0
nU17,0
nU18,0
nU19,0
nU20,0
nU21,0
nU22,0
nU23,0
nU24,0
nU25,0
nU26,0
nU27,0
nU28,0
nU29,0
nU30,0
nU31,0
nU32,0
nU33,0
nU34,0
nU35,0
nU36,0
nU37,0
nU38,0
nU39,0
nU40,0
nU41,0
nU42,0
nU43,0
nU44,0
nU45,0
nU46,0
nU47,0
nU48,0
nU49,0
nU50,0
nU51,0
nU52,0
nU53,0
nU54,0
nU55,0
nU56,0
nU57,0
nU58,0
nU59,0
nU60,0
nU61,0
nU62,0
nU63,0
nU64,0
nU65,0
nU66,0
nU67,0
nU68,0
nU69,0
nU70,0
nU71,0
nU72,0
nU73,0
nU74,0
nU75,0
nU76,0
nU77,0
nU78,0
nU79,0
nU80,0
nU81,0
nU82,0
nU83,0
nU84,0
nU85,0
nU86,0
nU87,0
nU88,0
nU89,0
nU90,0
nU91,0
nU92,0
nU93,0
nU94,0
nU95,0
nU96,0
nU97,0
nU98,0
nU99,0
nU100,0
nU101,0
nU102,0
nU103,0
nU104,0
nU105,0
nU106,0
nU107,0
nU108,0
nU109,0
nU110,0
nU111,0
nU112,0
nU113,0
nU114,0
nU115,0
nU116,0
nU117,0
nU118,0
nU119,0
nU120,0
nU121,0
nU122,0
nU123,0
nU124,0
nU125,1
nU126,0
nU127,0
nU128,0
nU129,0
nU130,0
nU131,0
nU132,0
nU133,0
nU134,0
nU135,0
nU136,0
nU137,0
nU138,0
nU139,0
nU140,0
nU141,0
nU142,0
nU143,0
nU144,0
nU145,0
nU146,0
nU147,0
nU148,0
nU149,0
nU150,0
nU151,0
nU152,0
nU153,0
nU154,0
nU155,0
nU156,0
nU157,0
nU158,0
nU159,0
nU160,0
nU161,0
nU162,0
nU163,0
nU164,0
nU165,0
nU166,0
nU167,0
nU168,0
nU169,0
nU170,0
nU171,0
nU172,0
nU173,0
nU174,0
nU175,0
nU176,0
nU177,0
nU178,0
nU179,0
nU180,0
nU181,0
nU182,0
nU183,0
nU184,0
nU185,0
nU186,0
nU187,0
nU188,0
nU189,0
nU190,0
nU191,0
nU192,0
nU193,0
nU194,0
nU195,0
nU196,0
nU197,0
nU198,0
nU199,0
nU200,0
nU201,0
nU202,0
nU203,0
nU204,0
nU205,0
nU206,0
nU207,0
nU208,0
nU209,0
nU210,0
nU211,0
nU212,0
nU213,0
nU214,0
nU215,0
nU216,0
nU217,0
nU218,0
nU219,0
nU220,0
nU221,0
nU222,0
nU223,0
nU224,0
nU225,0
nU226,0
nU227,0
nU228,0
nU229,0
nU230,0
nU231,0
nU232,0
nU233,0
nU234,0
nU235,0
nU236,0
nU237,1
nU238,0
nU239,0
nU240,0
nU241,0
nU242,0
nU243,0
nU244,0
nU245,0
nU246,0
nU247,0
nU248,0
nU249,0
nU250,0
nU251,0
nU252,1
nU253,0
nU254,0
nU255,0
nU256,0
nU257,0
nU258,0
nU259,0
nU260,0
nU261,0
nU262,0
nU263,0
nU264,0
nU265,0
nU266,0
nU267,0
nU268,0
nU269,0
nU270,0
nU271,0
nU272,0
nU273,0
nU274,0
nU275,0
nU276,0
nU277,0
nU278,0
nU279,0
nU280,0
nU281,0
nU282,0
nU283,0
nU284,0
nU285,0
nU286,0
nU287,0
nU288,0
nU289,0
nU290,0
nU291,0
nU292,0
nU293,0
nU294,0
nU295,0
nU296,0
nU297,0
nU298,0
nU299,0
nU300,0
nU301,0
nU302,0
nU303,0
nU304,0
nU305,0
nU306,0
nU307,0
nU308,0
nU309,0
nU310,0
nU311,0
nU312,0
nU313,0
nU314,0
nU315,0
nU316,0
nU317,0
nU318,0
nU319,0
nU320,0
nU321,0
nU322,0
nU323,0
nU324,0
nU325,0
nU326,0
nU327,0
nU328,1
nU329,1
nU330,0
nU331,0
nU332,0
nU333,0
nU334,0
nU335,0
nU336,0
nU337,0
nU338,0
nU339,0
nU340,0
nU341,0
nU342,0
nU343,0
nU344,0
nU345,0
nU346,0
nU347,0
nU348,0
nU349,0
nU350,0
nU351,0
nU352,0
nU353,0
nU354,0
nU355,0
nU356,0
nU357,0
nU358,0
nU359,0
nU360,0
nU361,0
nU362,0
nU363,0
nU364,0
nU365,0
nU366,0
nU367,0
nU368,0
nU369,0
nU370,0
nU371,0
nU372,0
nU373,0
nU374,0
nU375,0
nU376,0
nU377,0
nU378,0
nU379,0
nU380,0
nU381,0
nU382,0
nU383,0
nU384,0
nU385,0
nU386,0
nU387,0
nU388,0
nU389,0
nU390,0
nU391,0
nU392,0
nU393,0
nU394,0
nU395,0
nU396,0
nU397,0
nU398,0
nU399,0
nU400,0
nU401,0
nU402,0
nU403,0
nU404,0
nU405,0
nU406,0
nU407,1
nU408,0
nU409,0
nU410,0
nU411,0
nU412,0
nU413,0
nU414,0
nU415,0
nU416,0
nU417,0
nU418,0
nU419,0
nU420,0
nU421,0
nU422,0
nU423,0
nU424,0
nU425,1
nU426,0
nU427,0
nU428,0
nU429,0
nU430,0
nU431,0
nU432,0
nU433,0
nU434,0
nU435,0
nU436,1
nU437,0
nU438,0
nU439,0
nU440,0
nU441,0
nU442,0
nU443,0
nU444,0
nU445,0
nU446,0
nU447,0
nU448,0
nU449,0
nU450,0
nU451,0
nU452,1
nU453,0
nU454,0
nU455,0
nU456,0
nU457,0
nU458,0
nU459,0
nU460,0
