"Node1","Sign","Node2","Weight"
"A2M",NA," 1",0
"A2M",NA,"-1",0
"AAAS_AHCTF1_GLE1_NDC1_NUP107_NUP133_NUP153_NUP155_NUP160_NUP188_NUP205_NUP210_NUP214_NUP35_NUP37_NUP42_NUP43_NUP50_NUP54_NUP58_NUP62_NUP85_NUP88_NUP93_NUP98_POM121_RAE1_RANBP2_SEC13_SEH1L_TPR",NA," 1",0
"AAK1",NA," 1",0
"AANAT",NA," 1",0
"AATK",NA," 1",0
"AATK",NA,"-1",0
"ABCA7",NA," 1",0
"ABCC4",NA," 1",0
"ABCE1",NA,"-1",0
"ABI1",NA," 1",0
"ABI1_BRK1_CYFIP1_NCKAP1_WASF1",NA," 1",0
"ABI1_BRK1_CYFIP1_NCKAP1_WASF2",NA," 1",0
"ABI1_EPS8_SOS1",NA," 1",0
"ABL1",NA," 1",0
"ABL1",NA,"-1",0
"ABL2",NA," 1",0
"ABL2",NA,"-1",0
"ABR",NA,"-1",0
"ABRAXAS1",NA," 1",0
"ACAA2",NA,"-1",0
"ACAN",NA," 1",0
"ACAT1",NA," 1",0
"ACAT1",NA,"-1",0
"ACD",NA," 1",0
"ACD",NA,"-1",0
"ACD_POT1_TERF1_TERF2_TERF2IP_TINF2",NA,"-1",0
"ACE",NA," 1",0
"ACE2",NA," 1",0
"ACOX1",NA,"-1",0
"ACP1",NA," 1",0
"ACP1",NA,"-1",0
"ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4",NA," 1",0
"ACTB",NA," 1",0
"ACTB",NA,"-1",0
"ACTB_ACTL6A_ACTR5_ACTR8_INO80_INO80B_INO80C_INO80D_INO80E_MCRS1_NFRKB_RUVBL1_RUVBL2_TFPT_UCHL5_YY1",NA," 1",0
"ACTB_ACTL6A_BRD8_DMAP1_EP400_EPC1_EPC2_ING3_KAT5_MBTD1_MEAF6_MORF4L1_MORF4L2_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4",NA,"-1",0
"ACTL6A",NA," 1",0
"ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1",NA," 1",0
"ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1",NA," 1",0
"ACTN1",NA,"-1",0
"ACTR2",NA," 1",0
"ACTR2_ACTR3_ARPC1A_ARPC1B_ARPC2_ARPC3_ARPC4_ARPC5_ARPC5L",NA," 1",0
"ACVR1",NA," 1",0
"ACVR1B",NA," 1",0
"ACVR1C",NA," 1",0
"ACVR2A",NA," 1",0
"ACVR2B",NA," 1",0
"ACVRL1",NA," 1",0
"ADA",NA," 1",0
"ADAM10",NA," 1",0
"ADAM12",NA," 1",0
"ADAM15",NA," 1",0
"ADAM17",NA," 1",0
"ADAM17",NA,"-1",0
"ADAM2",NA," 1",0
"ADAM23",NA," 1",0
"ADAM9",NA," 1",0
"ADAM9",NA,"-1",0
"ADAMTS1",NA," 1",0
"ADAMTS13",NA,"-1",0
"ADAMTS4",NA,"-1",0
"ADAMTS5",NA,"-1",0
"ADARB1",NA," 1",0
"ADCK5",NA," 1",0
"ADCY5",NA," 1",0
"ADCYAP1",NA," 1",0
"ADD1_ADD2_EPB41_GYPC_SLC2A1_SLC4A1_STOM",NA," 1",0
"ADGRG1",NA," 1",0
"ADGRV1",NA," 1",0
"ADGRV1",NA,"-1",0
"ADIPOQ",NA," 1",0
"ADIPOR1",NA," 1",0
"ADIPOR2",NA," 1",0
"ADM",NA," 1",0
"ADM2",NA," 1",0
"ADNP",NA," 1",0
"ADNP",NA,"-1",0
"ADORA1",NA," 1",0
"ADORA2A",NA," 1",0
"ADORA2B",NA," 1",0
"ADORA3",NA," 1",0
"ADRA1A",NA," 1",0
"ADRA1B",NA," 1",0
"ADRA1D",NA," 1",0
"ADRA2A",NA," 1",0
"ADRA2B",NA," 1",0
"ADRA2C",NA," 1",0
"ADRB1",NA," 1",0
"ADRB2",NA," 1",0
"ADRB3",NA," 1",0
"ADRM1",NA," 1",0
"ADRM1_PSMA1_PSMA2_PSMA3_PSMA4_PSMA5_PSMA6_PSMA7_PSMB1_PSMB2_PSMB3_PSMB4_PSMB5_PSMB6_PSMB7_PSMC1_PSMC2_PSMC3_PSMC4_PSMC5_PSMC6_PSMD1_PSMD11_PSMD12_PSMD13_PSMD14_PSMD2_PSMD3_PSMD4_PSMD6_PSMD7_PSMD8_SEM1",NA,"-1",0
"AEBP2_EED_EZH2_RBBP4_SUZ12",NA," 1",0
"AEBP2_EED_EZH2_RBBP4_SUZ12",NA,"-1",0
"AFAP1L2",NA," 1",0
"AFDN",NA," 1",0
"AFF2",NA," 1",0
"AGRN",NA," 1",0
"AGRP",NA,"-1",0
"AGT",NA," 1",0
"AGTR1",NA," 1",0
"AGTR2",NA," 1",0
"AHCYL1",NA," 1",0
"AHCYL1",NA,"-1",0
"AHCYL2",NA,"-1",0
"AHSA1",NA," 1",0
"AHSP",NA," 1",0
"AIM2_CASP1_PYCARD",NA," 1",0
"AIMP1",NA," 1",0
"AKAP11",NA," 1",0
"AKAP12",NA," 1",0
"AKAP13",NA," 1",0
"AKAP5",NA," 1",0
"AKAP8",NA," 1",0
"AKAP8L",NA," 1",0
"AKAP9",NA," 1",0
"AKT1",NA," 1",0
"AKT1",NA,"-1",0
"AKT1S1",NA,"-1",0
"AKT1S1_DEPTOR_MLST8_MTOR_RPTOR",NA," 1",0
"AKT1S1_DEPTOR_MLST8_MTOR_RPTOR",NA,"-1",0
"AKT2",NA," 1",0
"AKT2",NA,"-1",0
"AKT3",NA," 1",0
