"Node","NodeType","ZeroAct","UpAct","DownAct","AvgAct"
" 1","",100,0,0,0
"-1","",100,0,0,0
"A2M","",100,0,0,0
"AAAS_AHCTF1_GLE1_NDC1_NUP107_NUP133_NUP153_NUP155_NUP160_NUP188_NUP205_NUP210_NUP214_NUP35_NUP37_NUP42_NUP43_NUP50_NUP54_NUP58_NUP62_NUP85_NUP88_NUP93_NUP98_POM121_RAE1_RANBP2_SEC13_SEH1L_TPR","",100,0,0,0
"AAK1","",100,0,0,0
"AANAT","",100,0,0,0
"AATK","",100,0,0,0
"ABCA7","",100,0,0,0
"ABCC4","",100,0,0,0
"ABCE1","",100,0,0,0
"ABI1","",100,0,0,0
"ABI1_BRK1_CYFIP1_NCKAP1_WASF1","",100,0,0,0
"ABI1_BRK1_CYFIP1_NCKAP1_WASF2","",100,0,0,0
"ABI1_EPS8_SOS1","",100,0,0,0
"ABL1","",100,0,0,0
"ABL2","",100,0,0,0
"ABR","",100,0,0,0
"ABRAXAS1","",100,0,0,0
"ACAA2","",100,0,0,0
"ACAN","",100,0,0,0
"ACAT1","",100,0,0,0
"ACD","",100,0,0,0
"ACD_POT1_TERF1_TERF2_TERF2IP_TINF2","",100,0,0,0
"ACE","",100,0,0,0
"ACE2","",100,0,0,0
"ACOX1","",100,0,0,0
"ACP1","",100,0,0,0
"ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4","",100,0,0,0
"ACTB","",100,0,0,0
"ACTB_ACTL6A_ACTR5_ACTR8_INO80_INO80B_INO80C_INO80D_INO80E_MCRS1_NFRKB_RUVBL1_RUVBL2_TFPT_UCHL5_YY1","",100,0,0,0
"ACTB_ACTL6A_BRD8_DMAP1_EP400_EPC1_EPC2_ING3_KAT5_MBTD1_MEAF6_MORF4L1_MORF4L2_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4","",100,0,0,0
"ACTL6A","",100,0,0,0
"ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1","",100,0,0,0
