"","TF","score"
"AHR","AHR",0.177593463890086
"AP1","AP1",1.88766177074173
"AR","AR",1.12690385217978
"ARNT","ARNT",0.266182632909202
"ASCL1","ASCL1",2.56768424849293
"ATF1","ATF1",1.72952203938242
"ATF2","ATF2",0.942674230393272
"ATF3","ATF3",-0.740178056670239
"ATF4","ATF4",2.5395306184079
"ATF6","ATF6",1.47505872125457
"BCL6","BCL6",-0.445446572364311
"BMAL1","BMAL1",0.443420873785694
"BRCA1","BRCA1",0.792594424436666
"CEBPA","CEBPA",-0.175190370064211
"CEBPB","CEBPB",0.650464833383435
"CEBPD","CEBPD",-0.584089317495279
"CEBPG","CEBPG",1.53239731983451
"CLOCK","CLOCK",-1.20213961655632
"CREB1","CREB1",0.947843334720872
"CREM","CREM",-1.62899457985984
"CTCF","CTCF",1.42415223078408
"CTNNB1","CTNNB1",2.63401138772114
"CUX1","CUX1",2.54769478398928
"DDIT3","DDIT3",-0.333710459807733
"DNMT1","DNMT1",1.47478030348251
"DNMT3A","DNMT3A",1.25528037904349
"DNMT3B","DNMT3B",0.080661406298968
"E2F1","E2F1",2.87474142870833
"E2F2","E2F2",1.57515431172073
"E2F3","E2F3",1.46390375992102
"E2F4","E2F4",4.78275828618906
"E2F6","E2F6",0.607761829111668
"EGR1","EGR1",0.346556286369459
"EGR2","EGR2",1.84658026433547
"ELF1","ELF1",-0.545548635726256
"ELK1","ELK1",0.940085080421391
"EP300","EP300",1.85282168597933
"EPAS1","EPAS1",1.61627930694422
"ERG","ERG",1.16865011411487
"ESR1","ESR1",0.934994947198948
"ESR2","ESR2",1.8322954547738
"ETS1","ETS1",2.27925578891446
"ETS2","ETS2",-0.0377669797959675
"ETV4","ETV4",0.822077142788692
"EWSR1","EWSR1",1.17998919958642
"EZH2","EZH2",0.249522741032361
"FLI1","FLI1",2.22548124256913
"FOS","FOS",1.28052443662991
"FOXA1","FOXA1",-0.418852125623917
"FOXA2","FOXA2",-1.38933504352698
"FOXM1","FOXM1",2.53526793302578
"FOXN1","FOXN1",2.18002140725299
"FOXO1","FOXO1",-0.10371464616241
"FOXO3","FOXO3",0.446471494628957
"GABPA","GABPA",0.632655574686338
"GATA1","GATA1",1.31810187133929
"GATA2","GATA2",-1.40361530993024
"GATA3","GATA3",0.902695099152118
"GATA4","GATA4",1.1887293248028
"GATA6","GATA6",0.244653245510703
"GFI1","GFI1",-0.033557291339913
"GLI1","GLI1",1.29428012883688
"GLI2","GLI2",1.49935816365432
"HBP1","HBP1",1.33222495255603
"HDAC1","HDAC1",-1.52107973017556
"HES1","HES1",0.120338842215899
"HIF1A","HIF1A",1.24056482485091
"HMGA1","HMGA1",1.87100528248313
"HNF1A","HNF1A",-0.141807558320028
"HNF4A","HNF4A",0.139409215449519
"HOXA10","HOXA10",-0.276854322694656
"HOXA9","HOXA9",0.682261647838878
"HR","HR",1.87697927972849
"HSF1","HSF1",1.16460845813848
"ID1","ID1",0.31462333405624
"ID2","ID2",-0.359127146313532
"IRF1","IRF1",0.354107183090916
"IRF3","IRF3",1.94484612257268
"IRF8","IRF8",1.58382247329477
"JUN","JUN",1.14151060074783
"JUNB","JUNB",0.320732521710762
"JUND","JUND",0.379596652585998
"KAT5","KAT5",0.919314513654228
"KAT7","KAT7",0.652493761926609
"KLF2","KLF2",1.29427304961638
"KLF4","KLF4",-0.656367246546893
"KLF5","KLF5",1.48455052803379
"KLF6","KLF6",0.187530697563116
"KMT2A","KMT2A",-0.0822432566864441
"LEF1","LEF1",0.714093690474021
"MAX","MAX",0.459915837234148
"MBD2","MBD2",0.284766341738909
"MEF2A","MEF2A",-1.62476198459704
"MEF2C","MEF2C",-0.430114575216331
"MITF","MITF",-1.85249913046746
"MTA1","MTA1",1.01828214075472
"MYB","MYB",2.99363650271621
"MYBL2","MYBL2",2.21732039841302
"MYC","MYC",5.0224844128459
"MYCN","MYCN",2.27873207535833
"MYOD1","MYOD1",1.64492711467761
