,Node1,Sign,Node2,Weight
1,A2M,-1,MMP2,0
2,A2M,-1,MMP9,0
3,A2M,1,LRP1,0
4,AAAS_AHCTF1_GLE1_NDC1_NUP107_NUP133_NUP153_NUP155_NUP160_NUP188_NUP205_NUP210_NUP214_NUP35_NUP37_NUP42_NUP43_NUP50_NUP54_NUP58_NUP62_NUP85_NUP88_NUP93_NUP98_POM121_RAE1_RANBP2_SEC13_SEH1L_TPR,1,XPOT,0
5,AAK1,1,AP1M1,0
6,AAK1,1,AP2M1,0
7,AAK1,1,NUMB,0
8,AANAT,1,MTNR1A,0
9,AANAT,1,MTNR1B,0
10,AATK,-1,STK39,0
11,AATK,1,CDK5R1,0
12,ABCA7,1,APOA1,0
13,ABCC4,1,BLOC1S1_BLOC1S2_BLOC1S3_BLOC1S4_BLOC1S5_BLOC1S6_DTNBP1_SNAPIN,0
14,ABCE1,-1,CHEBI_33699_FAU_RPL10_RPL10A_RPL10L_RPL11_RPL12_RPL13_RPL13A_RPL14_RPL15_RPL17_RPL18_RPL18A_RPL19_RPL21_RPL22_RPL22L1_RPL23_RPL23A_RPL24_RPL26_RPL26L1_RPL27_RPL27A_RPL28_RPL29_RPL3_RPL30_RPL31_RPL32_RPL34_RPL35_RPL35A_RPL36_RPL36A_RPL36AL_RPL37_RPL37A_RPL38_RPL39_RPL39L_RPL3L_RPL4_RPL41_RPL5_RPL6_RPL7_RPL7A_RPL8_RPL9P7_RPLP0_RPLP1_RPLP2_RPS10_RPS11_RPS12_RPS13_RPS14_RPS15_RPS15A_RPS16_RPS17_RPS18_RPS19_RPS2_RPS20_RPS21_RPS23_RPS24_RPS25_RPS26_RPS27_RPS27A_RPS27L_RPS28_RPS29_RPS3_RPS3A_RPS4X_RPS4Y1_RPS4Y2_RPS5_RPS6_RPS7_RPS8_RPS9_RPSA_UBA52,0
15,ABI1,1,CBL,0
16,ABI1_BRK1_CYFIP1_NCKAP1_WASF1,1,ACTR2_ACTR3_ARPC1A_ARPC2_ARPC3_ARPC4_ARPC5,0
17,ABI1_BRK1_CYFIP1_NCKAP1_WASF2,1,ACTR2_ACTR3_ARPC1A_ARPC2_ARPC3_ARPC4_ARPC5,0
18,ABI1_EPS8_SOS1,1,RAC1,0
19,ABL1,-1,BTK,0
20,ABL1,-1,CDKN1B,0
21,ABL1,-1,CRK,0
22,ABL1,-1,CTNNB1,0
23,ABL1,-1,DDB2,0
24,ABL1,-1,ERCC3,0
25,ABL1,-1,GMFG,0
26,ABL1,-1,GRB2,0
27,ABL1,-1,KAT5,0
28,ABL1,-1,LASP1,0
29,ABL1,-1,MDM2,0
30,ABL1,-1,MDM4,0
31,ABL1,-1,MYOD1,0
32,ABL1,-1,PDP1,0
33,ABL1,-1,PLCG1,0
34,ABL1,-1,PRDX1,0
35,ABL1,-1,PRDX2,0
36,ABL1,-1,PRKN,0
37,ABL1,-1,PSMA7,0
38,ABL1,-1,RAD9A,0
39,ABL1,-1,RB1,0
40,ABL1,-1,ROBO1,0
41,ABL1,-1,SPTLC1,0
42,ABL1,-1,STX17,0
43,ABL1,-1,TERT,0
44,ABL1,-1,TFEB,0
45,ABL1,-1,UBE3A,0
46,ABL1,-1,WRN,0
47,ABL1,-1,YTHDC1,0
48,ABL1,1,ABI1,0
49,ABL1,1,ABL2,0
50,ABL1,1,AHSA1,0
51,ABL1,1,APBB1,0
52,ABL1,1,APP,0
53,ABL1,1,ARHGAP35,0
54,ABL1,1,ATR,0
55,ABL1,1,BCAR1,0
56,ABL1,1,BCR,0
57,ABL1,1,CASP9,0
58,ABL1,1,CAT,0
59,ABL1,1,CAV1,0
60,ABL1,1,CBL,0
61,ABL1,1,CD19,0
62,ABL1,1,CDK5,0
63,ABL1,1,CEBPB,0
64,ABL1,1,CHRNB1,0
65,ABL1,1,CKMT1B,0
66,ABL1,1,CLASP2,0
67,ABL1,1,CRKL,0
68,ABL1,1,CTNNB1,0
69,ABL1,1,CTNND1,0
70,ABL1,1,CTTN,0
71,ABL1,1,CUL4A,0
72,ABL1,1,DDX5,0
73,ABL1,1,DGCR8,0
74,ABL1,1,DLG4,0
75,ABL1,1,DNM1L,0
76,ABL1,1,DNM2,0
77,ABL1,1,DOK1,0
78,ABL1,1,EGFR,0
79,ABL1,1,ENAH,0
80,ABL1,1,EPHB2,0
81,ABL1,1,ERCC6,0
82,ABL1,1,ESR1,0
83,ABL1,1,GLO1,0
84,ABL1,1,GMNN,0
85,ABL1,1,GPX1,0
86,ABL1,1,GRAP,0
87,ABL1,1,HCLS1,0
88,ABL1,1,HDAC2,0
89,ABL1,1,HIPK2,0
90,ABL1,1,HSPA1A,0
91,ABL1,1,IRF3,0
92,ABL1,1,IRS1,0
93,ABL1,1,JAK2,0
94,ABL1,1,JUN,0
95,ABL1,1,MAP2K6,0
96,ABL1,1,MAP3K1,0
97,ABL1,1,MAP4K1,0
98,ABL1,1,MAVS,0
99,ABL1,1,MET,0
100,ABL1,1,MICAL1,0
101,ABL1,1,MLH1,0
102,ABL1,1,MTOR,0
103,ABL1,1,MUC1,0
104,ABL1,1,MYC,0
105,ABL1,1,MYLK,0
106,ABL1,1,NCK1,0
107,ABL1,1,NCOA3,0
108,ABL1,1,NEDD9,0
109,ABL1,1,NFKBIA,0
110,ABL1,1,NOS3,0
111,ABL1,1,PAX7,0
112,ABL1,1,PCNA,0
113,ABL1,1,PDGFRB,0
114,ABL1,1,PLK1,0
115,ABL1,1,PLSCR1,0
116,ABL1,1,PPARG,0
117,ABL1,1,PRKCD,0
118,ABL1,1,PRKD1,0
119,ABL1,1,PRKD2,0
120,ABL1,1,PSTPIP1,0
121,ABL1,1,PTPN11,0
122,ABL1,1,PTPN6,0
123,ABL1,1,PXN,0
124,ABL1,1,RACK1,0
125,ABL1,1,RAD51,0
126,ABL1,1,RAD52,0
127,ABL1,1,RAPGEF1,0
128,ABL1,1,RAPH1,0
129,ABL1,1,RBM39,0
130,ABL1,1,RIN1,0
131,ABL1,1,SHC1,0
132,ABL1,1,SNCA,0
133,ABL1,1,SORBS1,0
134,ABL1,1,SORBS2,0
135,ABL1,1,SORBS3,0
136,ABL1,1,SOS1,0
137,ABL1,1,STAT1,0
138,ABL1,1,STAT3,0
139,ABL1,1,STAT5A,0
140,ABL1,1,STAT5B,0
141,ABL1,1,STAT6,0
142,ABL1,1,STH,0
143,ABL1,1,STK3,0
144,ABL1,1,STK4,0
145,ABL1,1,SYK,0
146,ABL1,1,SYNJ2,0
147,ABL1,1,TARDBP,0
148,ABL1,1,TOP1,0
149,ABL1,1,TP53BP1,0
150,ABL1,1,TP63,0
151,ABL1,1,TP73,0
152,ABL1,1,TRIP10,0
153,ABL1,1,TUB,0
154,ABL1,1,VAV1,0
155,ABL1,1,VAV2,0
156,ABL1,1,VCL,0
157,ABL1,1,WASF2,0
158,ABL1,1,WASF3,0
159,ABL1,1,WASL,0
160,ABL1,1,YAP1,0
161,ABL1,1,ZDHHC16,0
162,ABL1,1,ZNF746,0
163,ABL2,-1,CRK,0
164,ABL2,-1,PSMA7,0
165,ABL2,1,CAT,0
166,ABL2,1,CEBPB,0
167,ABL2,1,CTTN,0
168,ABL2,1,GPX1,0
169,ABL2,1,IRF3,0
170,ABL2,1,LGALS3,0
171,ABL2,1,NFKBIB,0
172,ABL2,1,RAPH1,0
173,ABL2,1,RIN1,0
174,ABL2,1,SIVA1,0
175,ABL2,1,SORBS2,0
176,ABL2,1,WASL,0
177,ABR,-1,RAC1,0
178,ABRAXAS1,1,BRCA1,0
179,ACAA2,-1,BNIP3,0
180,ACAN,1,ITGA5_ITGB1,0
181,ACAN,1,ITGAV_ITGB3,0
182,ACAT1,-1,IDH2,0
183,ACAT1,-1,PDHA1,0
184,ACAT1,-1,PDHA2,0
185,ACAT1,-1,PDP1,0
186,ACAT1,1,ME1,0
187,ACD,-1,RPA1,0
188,ACD,-1,RPA2,0
189,ACD,-1,RPA3,0
190,ACD,1,TERT,0
191,ACD_POT1_TERF1_TERF2_TERF2IP_TINF2,-1,ATM,0
192,ACE,1,AGT,0
193,ACE2,1,AGT,0
194,ACE2,1,APLN,0
195,ACOX1,-1,TP73,0
196,ACP1,-1,AKT1,0
197,ACP1,-1,AKT2,0
198,ACP1,-1,AKT3,0
199,ACP1,-1,PDGFRB,0
200,ACP1,-1,PTK2,0
201,ACP1,1,CTNNB1,0
202,ACP1,1,EPHA2,0
203,ACP1,1,PKM,0
204,ACP1,1,SRC,0
205,ACP1,1,ZAP70,0
206,ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,1,ATM,0
207,ACTA1_ACTL6A_ALKBH3_BRD2_BRD8_DMAP1_EP400_EPC1_ING3_KAT5_MORF4L1_MRGBP_RUVBL1_RUVBL2_TRRAP_VPS72_YEATS4,1,H2AX,0
